_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.1,GO:0050795,regulation of behavior,M1,1,0
1,-2.1,GO:0044773,mitotic DNA damage checkpoint signaling,M1,1,0
1,-2.4,GO:1905508,protein localization to microtubule organizing center,M1,1,0
1,-2.2,GO:0002483,antigen processing and presentation of endogenous peptide antigen,M1,1,0
1,-2.2,GO:0051932,"synaptic transmission, GABAergic",M1,1,0
1,-8.3,GO:0006397,mRNA processing,M1,1,0
1,-2.8,GO:0048385,regulation of retinoic acid receptor signaling pathway,M1,1,0
1,-2.8,GO:1903798,regulation of miRNA processing,M1,1,0
1,-8.4,GO:0006259,DNA metabolic process,M1,1,0
1,-2.5,GO:0071559,response to transforming growth factor beta,M1,1,0
1,-3.4,GO:0006284,base-excision repair,M1,1,0
1,-3.1,GO:0031297,replication fork processing,M1,1,0
1,-3.9,GO:0010564,regulation of cell cycle process,M1,1,0
1,-2.9,GO:0090130,tissue migration,M1,1,0
1,-2.7,GO:0030308,negative regulation of cell growth,M1,1,0
1,-2.2,GO:1902749,regulation of cell cycle G2/M phase transition,M1,1,0
1,-3.2,GO:0009304,tRNA transcription,M1,1,0
1,-4.7,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-2.2,GO:2000278,regulation of DNA biosynthetic process,M1,1,0
1,-2,GO:0007605,sensory perception of sound,M1,1,0
1,-2.2,GO:0035239,tube morphogenesis,M1,1,0
1,-2.8,GO:0045786,negative regulation of cell cycle,M1,1,0
1,-4.4,GO:0051054,positive regulation of DNA metabolic process,M1,1,0
1,-2.5,GO:0000076,DNA replication checkpoint signaling,M1,1,0
1,-2.8,GO:0043434,response to peptide hormone,M1,1,0
1,-2.7,GO:0001568,blood vessel development,M1,1,0
1,-2.6,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-2.9,GO:0046605,regulation of centrosome cycle,M1,1,0
1,-2.9,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-2.5,GO:0032774,RNA biosynthetic process,M1,1,0
1,-2.3,GO:0000077,DNA damage checkpoint signaling,M1,1,0
1,-2.7,GO:0008406,gonad development,M1,1,0
1,-2.4,GO:0010631,epithelial cell migration,M1,1,0
1,-2.4,GO:0006261,DNA-templated DNA replication,M1,1,0
1,-4.2,GO:0071354,cellular response to interleukin-6,M1,1,0
1,-3,GO:0060967,negative regulation of gene silencing by regulatory ncRNA,M1,1,0
1,-2.7,GO:0035065,regulation of histone acetylation,M1,1,0
1,-2.2,GO:0044786,cell cycle DNA replication,M1,1,0
1,-3.9,GO:0045739,positive regulation of DNA repair,M1,1,0
1,-2.5,GO:0060396,growth hormone receptor signaling pathway,M1,1,0
1,-2.1,GO:0045229,external encapsulating structure organization,M1,1,0
1,-2.2,GO:0098781,ncRNA transcription,M1,1,0
1,-2.8,GO:0030522,intracellular receptor signaling pathway,M1,1,0
1,-2.2,GO:2000737,negative regulation of stem cell differentiation,M1,1,0
1,-3.9,GO:0034660,ncRNA metabolic process,M1,1,0
1,-4.8,GO:0009725,response to hormone,M1,1,0
1,-3,GO:0060149,negative regulation of post-transcriptional gene silencing,M1,1,0
1,-2.2,GO:1901990,regulation of mitotic cell cycle phase transition,M1,1,0
1,-2.2,GO:0097435,supramolecular fiber organization,M1,1,0
1,-3.6,GO:0048545,response to steroid hormone,M1,1,0
1,-2.5,GO:0046700,heterocycle catabolic process,M1,1,0
1,-2.4,GO:0015695,organic cation transport,M1,1,0
1,-2.5,GO:0042698,ovulation cycle,M1,1,0
1,-5.1,GO:0006264,mitochondrial DNA replication,M1,1,0
1,-2.5,GO:0000729,DNA double-strand break processing,M1,1,0
1,-8,GO:0016071,mRNA metabolic process,M1,1,0
1,-3.3,GO:0045911,positive regulation of DNA recombination,M1,1,0
1,-2.7,GO:0045137,development of primary sexual characteristics,M1,1,0
1,-2.5,GO:1902750,negative regulation of cell cycle G2/M phase transition,M1,1,0
1,-2.2,GO:0032355,response to estradiol,M1,1,0
1,-2.2,GO:0042073,intraciliary transport,M1,1,0
1,-2.4,GO:0090132,epithelium migration,M1,1,0
1,-2.5,GO:0008286,insulin receptor signaling pathway,M1,1,0
1,-2.1,GO:0071417,cellular response to organonitrogen compound,M1,1,0
1,-2.4,GO:0071539,protein localization to centrosome,M1,1,0
1,-2,GO:0006399,tRNA metabolic process,M1,1,0
1,-3.2,GO:0060147,regulation of post-transcriptional gene silencing,M1,1,0
1,-2.4,GO:1901652,response to peptide,M1,1,0
1,-2.7,GO:1905168,positive regulation of double-strand break repair via homologous recombination,M1,1,0
1,-2.6,GO:0030705,cytoskeleton-dependent intracellular transport,M1,1,0
1,-2.3,GO:1903241,U2-type prespliceosome assembly,M1,1,0
1,-4,GO:0032259,methylation,M1,1,0
1,-8.6,GO:0008380,RNA splicing,M1,1,0
1,-2.1,GO:0030198,extracellular matrix organization,M1,1,0
1,-2.3,GO:0050919,negative chemotaxis,M1,1,0
1,-2.2,GO:0060259,regulation of feeding behavior,M1,1,0
1,-2.3,GO:1901991,negative regulation of mitotic cell cycle phase transition,M1,1,0
1,-3.1,GO:0000018,regulation of DNA recombination,M1,1,0
1,-2.4,GO:0019400,alditol metabolic process,M1,1,0
1,-2.1,GO:0044774,mitotic DNA integrity checkpoint signaling,M1,1,0
1,-2.2,GO:0090263,positive regulation of canonical Wnt signaling pathway,M1,1,0
1,-2.5,GO:0006979,response to oxidative stress,M1,1,0
1,-2.3,GO:0043583,ear development,M1,1,0
1,-2.7,GO:0048511,rhythmic process,M1,1,0
1,-2.3,GO:0007346,regulation of mitotic cell cycle,M1,1,0
1,-4,GO:0070741,response to interleukin-6,M1,1,0
1,-4.5,GO:0000002,mitochondrial genome maintenance,M1,1,0
1,-6.1,GO:0000398,"mRNA splicing, via spliceosome",M1,1,0
1,-3.5,GO:0006929,substrate-dependent cell migration,M1,1,0
1,-3.1,GO:0097190,apoptotic signaling pathway,M1,1,0
1,-2.6,GO:0071560,cellular response to transforming growth factor beta stimulus,M1,1,0
1,-2.2,GO:0042398,cellular modified amino acid biosynthetic process,M1,1,0
1,-2.1,GO:0070828,heterochromatin organization,M1,1,0
1,-2,GO:0006260,DNA replication,M1,1,0
1,-2.2,GO:0050714,positive regulation of protein secretion,M1,1,0
1,-6.1,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",M1,1,0
1,-3.2,GO:0120163,negative regulation of cold-induced thermogenesis,M1,1,0
1,-2.7,GO:0031570,DNA integrity checkpoint signaling,M1,1,0
1,-2.8,GO:0048871,multicellular organismal-level homeostasis,M1,1,0
1,-2.8,GO:0035196,miRNA processing,M1,1,0
1,-2.1,GO:0007548,sex differentiation,M1,1,0
1,-2.3,GO:0051276,chromosome organization,M1,1,0
1,-2.7,GO:0046677,response to antibiotic,M1,1,0
1,-7.4,GO:0006281,DNA repair,M1,1,0
1,-2.2,GO:0003007,heart morphogenesis,M1,1,0
1,-6.6,GO:0006325,chromatin organization,M1,1,0
1,-2.5,GO:0071378,cellular response to growth hormone stimulus,M1,1,0
1,-4.5,GO:0001667,ameboidal-type cell migration,M1,1,0
1,-3,GO:0043401,steroid hormone mediated signaling pathway,M1,1,0
1,-3.2,GO:0060966,regulation of gene silencing by regulatory ncRNA,M1,1,0
1,-2.4,GO:0071375,cellular response to peptide hormone stimulus,M1,1,0
1,-2.6,GO:0000075,cell cycle checkpoint signaling,M1,1,0
1,-2.4,GO:0009314,response to radiation,M1,1,0
1,-2.2,GO:0043484,regulation of RNA splicing,M1,1,0
1,-6,GO:0000375,"RNA splicing, via transesterification reactions",M1,1,0
1,-2.1,GO:0044818,mitotic G2/M transition checkpoint,M1,1,0
1,-2.1,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-2,GO:0090497,mesenchymal cell migration,M1,1,0
1,-2.5,GO:0001944,vasculature development,M1,1,0
1,-3.3,GO:0034470,ncRNA processing,M1,1,0
1,-2.1,GO:0071383,cellular response to steroid hormone stimulus,M1,1,0
1,-4,GO:0051052,regulation of DNA metabolic process,M1,1,0
1,-2.5,GO:1901983,regulation of protein acetylation,M1,1,0
1,-2,GO:1901361,organic cyclic compound catabolic process,M1,1,0
1,-2.3,GO:0042770,signal transduction in response to DNA damage,M1,1,0
1,-2.1,GO:0043062,extracellular structure organization,M1,1,0
1,-2.4,GO:0010586,miRNA metabolic process,M1,1,0
1,-3,GO:0070102,interleukin-6-mediated signaling pathway,M1,1,0
1,-2.3,GO:0019439,aromatic compound catabolic process,M1,1,0
1,-2.8,GO:2000781,positive regulation of double-strand break repair,M1,1,0
1,-3.8,GO:1901987,regulation of cell cycle phase transition,M1,1,0
1,-2.5,GO:0006071,glycerol metabolic process,M1,1,0
1,-2.2,GO:0010827,regulation of glucose transmembrane transport,M1,1,0
1,-3,GO:1901988,negative regulation of cell cycle phase transition,M1,1,0
1,-2.3,GO:1900180,regulation of protein localization to nucleus,M1,1,0
1,-4,GO:0032042,mitochondrial DNA metabolic process,M1,1,0
1,-2,GO:0051058,negative regulation of small GTPase mediated signal transduction,M1,1,0
1,-2.3,GO:0007423,sensory organ development,M1,1,0
1,-2,GO:0034067,protein localization to Golgi apparatus,M1,1,0
1,-8.5,GO:0006974,DNA damage response,M1,1,0
1,-3.1,GO:0080135,regulation of cellular response to stress,M1,1,0
1,-3.3,GO:1900368,regulation of post-transcriptional gene silencing by regulatory ncRNA,M1,1,0
1,-3.3,GO:0060964,regulation of miRNA-mediated gene silencing,M1,1,0
1,-2.4,GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,M1,1,0
1,-2.3,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-2.8,GO:0120161,regulation of cold-induced thermogenesis,M1,1,0
1,-2.9,GO:0045005,DNA-templated DNA replication maintenance of fidelity,M1,1,0
1,-2.5,GO:0044270,cellular nitrogen compound catabolic process,M1,1,0
1,-2.6,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-2.2,GO:0033260,nuclear DNA replication,M1,1,0
1,-3,GO:1900369,negative regulation of post-transcriptional gene silencing by regulatory ncRNA,M1,1,0
1,-3.1,GO:0007507,heart development,M1,1,0
1,-2.3,GO:0006282,regulation of DNA repair,M1,1,0
1,-2,GO:0006874,intracellular calcium ion homeostasis,M1,1,0
1,-2.4,GO:0007059,chromosome segregation,M1,1,0
1,-2.1,GO:0001755,neural crest cell migration,M1,1,0
1,-5.4,GO:0006338,chromatin remodeling,M1,1,0
1,-3.1,GO:0060965,negative regulation of miRNA-mediated gene silencing,M1,1,0
1,-2.7,GO:0070920,regulation of regulatory ncRNA processing,M1,1,0
1,-2.9,GO:0034655,nucleobase-containing compound catabolic process,M1,1,0
1,-2.5,GO:2000573,positive regulation of DNA biosynthetic process,M1,1,0
1,-3.3,GO:0042797,tRNA transcription by RNA polymerase III,M1,1,0
1,-2.2,GO:2000756,regulation of peptidyl-lysine acetylation,M1,1,0
1,-2.3,GO:0006304,DNA modification,M1,1,0
1,-2.2,GO:0006351,DNA-templated transcription,M1,1,0
1,-2.4,GO:0070918,regulatory ncRNA processing,M1,1,0
1,-2.2,GO:0045814,"negative regulation of gene expression, epigenetic",M1,1,0
1,-3.2,GO:0043542,endothelial cell migration,M1,1,0
