_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-8.581730422913871,GO:0008152,metabolic process,M1,1,GO:0008380 RNA splicing
1,-8.514637043311657,GO:0050896,response to stimulus,M1,1,GO:0006974 DNA damage response
1,-6.561586229371018,GO:0009987,cellular process,M1,1,GO:0006325 chromatin organization
1,-4.434759049422221,GO:0048518,positive regulation of biological process,M1,1,GO:0051054 positive regulation of DNA metabolic process
1,-3.902519489627779,GO:0050789,regulation of biological process,M1,1,GO:0010564 regulation of cell cycle process
1,-3.3493390352692054,GO:0048519,negative regulation of biological process,M1,1,GO:0060964 regulation of miRNA-mediated gene silencing
1,-3.2166970909538213,GO:0032501,multicellular organismal process,M1,1,GO:0043542 endothelial cell migration
1,-3.1756283554948417,GO:0042592,homeostatic process,M1,1,GO:0120163 negative regulation of cold-induced thermogenesis
1,-3.0895397039584696,GO:0032502,developmental process,M1,1,GO:0007507 heart development
1,-2.742334380127633,GO:0022414,reproductive process,M1,1,GO:0008406 gonad development
1,-2.7088891877680323,GO:0040007,growth,M1,1,GO:0030308 negative regulation of cell growth
1,-2.6866879155842223,GO:0048511,rhythmic process,M1,1,GO:0048511 rhythmic process
1,-2.647275744893148,GO:0051179,localization,M1,1,GO:0030705 cytoskeleton-dependent intracellular transport
1,-2.35399625191252,GO:0002376,immune system process,M1,1,GO:0019885 antigen processing and presentation of endogenous peptide antigen via MHC class I
1,-2.343517512864849,GO:0040011,locomotion,M1,1,GO:0050919 negative chemotaxis
