Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0008380,RNA splicing,19_GO:0008152 metabolic process,-11,5.9,10,30293,411,298,24,8.1,1.6,1655|3187|8227|8899|9295|9584|9589|9879|10236|10915|11129|22889|22938|23398|23435|23451|25862|28960|55596|57461|80746|81576|83759|84811,DDX5|HNRNPH1|AKAP17A|PRPF4B|SRSF11|RBM39|WTAP|DDX46|HNRNPR|TCERG1|CLASRP|KHDC4|SNW1|PPWD1|TARDBP|SF3B1|USP49|DCPS|ZCCHC8|ISY1|TSEN2|YJU2B|RBM4B|BUD13,-7.8
MyList,GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0008152 metabolic process,-11,4.5,9.1,30293,648,298,29,9.7,1.7,1478|1655|3187|6774|8227|8899|9295|9584|9589|9879|10236|10915|11129|22889|22938|23398|23435|23451|25862|28960|54464|55596|57461|80746|81576|83759|84811|192670|196513,CSTF2|DDX5|HNRNPH1|STAT3|AKAP17A|PRPF4B|SRSF11|RBM39|WTAP|DDX46|HNRNPR|TCERG1|CLASRP|KHDC4|SNW1|PPWD1|TARDBP|SF3B1|USP49|DCPS|XRN1|ZCCHC8|ISY1|TSEN2|YJU2B|RBM4B|BUD13|AGO4|DCP1B,-7.6
MyList,GO Biological Processes,19,GO:0006397,mRNA processing,19_GO:0008152 metabolic process,-11,5.2,9.3,30293,491,298,25,8.4,1.6,1478|1655|3187|8227|8899|9295|9584|9589|9879|10236|10915|11129|22889|22938|23398|23435|23451|25862|28960|55596|57461|80746|81576|83759|84811,CSTF2|DDX5|HNRNPH1|AKAP17A|PRPF4B|SRSF11|RBM39|WTAP|DDX46|HNRNPR|TCERG1|CLASRP|KHDC4|SNW1|PPWD1|TARDBP|SF3B1|USP49|DCPS|ZCCHC8|ISY1|TSEN2|YJU2B|RBM4B|BUD13,-7.5
MyList,GO Biological Processes,19,GO:0006974,DNA damage response,19_GO:0050896 response to stimulus,-9.9,4,8.4,30293,761,298,30,10,1.7,836|1763|2178|4595|5111|5932|8940|9656|10451|11198|22938|22976|23126|29980|51111|51720|54799|55031|55367|55602|56776|56916|56946|79073|79447|79624|79661|80314|80820|84444,CASP3|DNA2|FANCE|MUTYH|PCNA|RBBP8|TOP3B|MDC1|VAV3|SUPT16H|SNW1|PAXIP1|POGZ|DONSON|KMT5B|UIMC1|MBTD1|USP47|PIDD1|CDKN2AIP|FMN2|SMARCAD1|EMSY|TMEM109|PAGR1|ARMT1|NEIL1|EPC1|EEPD1|DOT1L,-6.8
MyList,GO Biological Processes,19,GO:0006259,DNA metabolic process,19_GO:0008152 metabolic process,-8.5,3.7,7.6,30293,766,298,28,9.4,1.7,1763|2146|2178|4595|5111|5932|8940|9656|11198|11232|22976|23126|29980|51111|51720|51742|54799|55031|56652|56916|56946|79447|79661|79813|80314|80820|84444|286826,DNA2|EZH2|FANCE|MUTYH|PCNA|RBBP8|TOP3B|MDC1|SUPT16H|POLG2|PAXIP1|POGZ|DONSON|KMT5B|UIMC1|ARID4B|MBTD1|USP47|TWNK|SMARCAD1|EMSY|PAGR1|NEIL1|EHMT1|EPC1|EEPD1|DOT1L|LIN9,-5.6
MyList,GO Biological Processes,19,GO:0006325,chromatin organization,19_GO:0009987 cellular process,-8.2,3.6,7.4,30293,791,298,28,9.4,1.7,2146|3005|3717|4017|5253|7862|9044|9869|11198|22976|23140|23186|23451|25862|51111|51720|51742|54665|54799|54880|56916|56946|57708|79813|80314|84108|84444|196528,EZH2|H1-0|JAK2|LOXL2|PHF2|BRPF1|BTAF1|SETDB1|SUPT16H|PAXIP1|ZZEF1|RCOR1|SF3B1|USP49|KMT5B|UIMC1|ARID4B|RSBN1|MBTD1|BCOR|SMARCAD1|EMSY|MIER1|EHMT1|EPC1|PCGF6|DOT1L|ARID2,-5.3
MyList,GO Biological Processes,19,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0008152 metabolic process,-7.7,5.9,8.1,30293,277,298,16,5.4,1.3,1655|3187|8899|9879|10236|22889|22938|23398|23451|25862|28960|55596|57461|81576|83759|84811,DDX5|HNRNPH1|PRPF4B|DDX46|HNRNPR|KHDC4|SNW1|PPWD1|SF3B1|USP49|DCPS|ZCCHC8|ISY1|YJU2B|RBM4B|BUD13,-4.8
MyList,GO Biological Processes,19,GO:0000398,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-7.7,5.9,8.1,30293,277,298,16,5.4,1.3,1655|3187|8899|9879|10236|22889|22938|23398|23451|25862|28960|55596|57461|81576|83759|84811,DDX5|HNRNPH1|PRPF4B|DDX46|HNRNPR|KHDC4|SNW1|PPWD1|SF3B1|USP49|DCPS|ZCCHC8|ISY1|YJU2B|RBM4B|BUD13,-4.8
MyList,GO Biological Processes,19,GO:0000375,"RNA splicing, via transesterification reactions",19_GO:0008152 metabolic process,-7.6,5.8,8,30293,281,298,16,5.4,1.3,1655|3187|8899|9879|10236|22889|22938|23398|23451|25862|28960|55596|57461|81576|83759|84811,DDX5|HNRNPH1|PRPF4B|DDX46|HNRNPR|KHDC4|SNW1|PPWD1|SF3B1|USP49|DCPS|ZCCHC8|ISY1|YJU2B|RBM4B|BUD13,-4.8
MyList,GO Biological Processes,19,GO:0006338,chromatin remodeling,19_GO:0009987 cellular process,-7.4,3.8,7.1,30293,649,298,24,8.1,1.6,2146|3005|3717|4017|5253|7862|9044|9869|11198|22976|23451|25862|51111|51720|51742|54665|54880|56916|57708|79813|80314|84108|84444|196528,EZH2|H1-0|JAK2|LOXL2|PHF2|BRPF1|BTAF1|SETDB1|SUPT16H|PAXIP1|SF3B1|USP49|KMT5B|UIMC1|ARID4B|RSBN1|BCOR|SMARCAD1|MIER1|EHMT1|EPC1|PCGF6|DOT1L|ARID2,-4.6
