Cluster,Score,Type,Gene,Symbol,Network
2,2.0,Seed,55749,CCAR1,MyList_SUB1
2,2.0,Clustered,53371,NUP54,MyList_SUB1
2,2.0,Clustered,57122,NUP107,MyList_SUB1
2,2.0,Clustered,8899,PRPF4B,MyList_SUB1
2,2.0,Clustered,2146,EZH2,MyList_SUB1
2,2.0,Clustered,8086,AAAS,MyList_SUB1
2,2.0,Clustered,22938,SNW1,MyList_SUB1
2,2.0,Clustered,10915,TCERG1,MyList_SUB1
2,2.0,Clustered,23279,NUP160,MyList_SUB1
2,2.0,Clustered,57461,ISY1,MyList_SUB1
2,2.0,Clustered,9879,DDX46,MyList_SUB1
2,2.0,Clustered,3187,HNRNPH1,MyList_SUB1
2,2.0,Clustered,81576,YJU2B,MyList_SUB1
2,2.0,Clustered,84811,BUD13,MyList_SUB1
2,2.0,Clustered,23131,GPATCH8,MyList_SUB1
1,1.7692307692307692,Clustered,3910,LAMA4,MyList_SUB1
1,1.7692307692307692,Clustered,9656,MDC1,MyList_SUB1
1,1.7692307692307692,Seed,55718,POLR3E,MyList_SUB1
1,1.7692307692307692,Clustered,5111,PCNA,MyList_SUB1
1,1.7692307692307692,Clustered,2976,GTF3C2,MyList_SUB1
1,1.7692307692307692,Clustered,124923,RSKR,MyList_SUB1
1,1.7692307692307692,Clustered,115548,FCHO2,MyList_SUB1
1,1.7692307692307692,Clustered,836,CASP3,MyList_SUB1
1,1.7692307692307692,Clustered,23186,RCOR1,MyList_SUB1
1,1.7692307692307692,Clustered,5597,MAPK6,MyList_SUB1
1,1.7692307692307692,Clustered,54880,BCOR,MyList_SUB1
1,1.7692307692307692,Clustered,54487,DGCR8,MyList_SUB1
1,1.7692307692307692,Clustered,9330,GTF3C3,MyList_SUB1
1,1.7692307692307692,Clustered,1856,DVL2,MyList_SUB1
1,1.7692307692307692,Clustered,8322,FZD4,MyList_SUB1
1,1.7692307692307692,Clustered,55367,PIDD1,MyList_SUB1
1,1.7692307692307692,Clustered,126520,PLK5,MyList_SUB1
1,1.7692307692307692,Clustered,8940,TOP3B,MyList_SUB1
1,1.7692307692307692,Clustered,23126,POGZ,MyList_SUB1
1,1.7692307692307692,Clustered,3909,LAMA3,MyList_SUB1
1,1.7692307692307692,Clustered,28960,DCPS,MyList_SUB1
1,1.7692307692307692,Clustered,1478,CSTF2,MyList_SUB1
1,1.7692307692307692,Clustered,5533,PPP3CC,MyList_SUB1
1,1.7692307692307692,Clustered,4215,MAP3K3,MyList_SUB1
1,1.7692307692307692,Clustered,85021,REPS1,MyList_SUB1
1,1.7692307692307692,Clustered,9612,NCOR2,MyList_SUB1
3,1.0,Seed,1655,DDX5,MyList_SUB1
3,1.0,Clustered,9295,SRSF11,MyList_SUB1
3,1.0,Clustered,10236,HNRNPR,MyList_SUB1
4,1.0,Clustered,23435,TARDBP,MyList_SUB1
4,1.0,Clustered,9584,RBM39,MyList_SUB1
4,1.0,Seed,84444,DOT1L,MyList_SUB1
