Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
5932,3.0,1,1,1
1909,3.0,1,1,1
256356,3.0,1,1,1
406,3.0,1,1,1
5111,3.0,1,1,1
55367,3.0,1,1,1
56652,3.0,1,1,1
196528,3.0,1,1,1
9481,3.0,1,1,1
9656,3.0,1,1,1
3570,3.0,1,1,1
84811,3.0,1,1,1
22821,3.0,1,1,1
7181,3.0,1,1,1
54799,3.0,1,1,1
1159,3.0,1,1,1
56776,3.0,1,1,1
3643,3.0,1,1,1
5352,3.0,1,1,1
79648,3.0,1,1,1
57728,3.0,1,1,1
22976,3.0,1,1,1
26225,3.0,1,1,1
51720,3.0,1,1,1
9325,3.0,1,1,1
55031,3.0,1,1,1
26272,3.0,1,1,1
7840,3.0,1,1,1
6774,3.0,1,1,1
11167,3.0,1,1,1
4277,3.0,1,1,1
6103,3.0,1,1,1
54832,3.0,1,1,1
92104,3.0,1,1,1
6397,3.0,1,1,1
201163,3.0,1,1,1
22938,3.0,1,1,1
3717,3.0,1,1,1
9353,3.0,1,1,1
54437,3.0,1,1,1
9572,3.0,1,1,1
51111,3.0,1,1,1
8322,3.0,1,1,1
1655,3.0,1,1,1
4205,3.0,1,1,1
2976,3.0,1,1,1
57018,3.0,1,1,1
55125,3.0,1,1,1
221400,3.0,1,1,1
55835,3.0,1,1,1
11232,3.0,1,1,1
80314,3.0,1,1,1
4802,3.0,1,1,1
4931,3.0,1,1,1
56916,3.0,1,1,1
79659,3.0,1,1,1
4595,3.0,1,1,1
2146,3.0,1,1,1
1763,3.0,1,1,1
23607,3.0,1,1,1
64770,3.0,1,1,1
51742,3.0,1,1,1
23451,3.0,1,1,1
5179,3.0,1,1,1
25849,3.0,1,1,1
5829,3.0,1,1,1
57669,3.0,1,1,1
29980,3.0,1,1,1
59352,3.0,1,1,1
55718,3.0,1,1,1
54806,3.0,1,1,1
54487,3.0,1,1,1
4883,3.0,1,1,1
836,3.0,1,1,1
3910,3.0,1,1,1
192670,3.0,1,1,1
373863,3.0,1,1,1
9612,3.0,1,1,1
9879,3.0,1,1,1
2618,3.0,1,1,1
3416,3.0,1,1,1
5771,3.0,1,1,1
79661,3.0,1,1,1
10443,3.0,1,1,1
9330,3.0,1,1,1
55698,3.0,1,1,1
79813,3.0,1,1,1
2710,3.0,1,1,1
4017,3.0,1,1,1
1478,2.0,1,0,1
65110,2.0,1,0,1
4157,2.0,1,1,0
8727,2.0,1,0,1
126520,2.0,1,0,1
84946,2.0,1,0,1
57708,2.0,1,0,1
93594,2.0,1,0,1
10451,2.0,1,0,1
5597,2.0,1,0,1
131566,2.0,1,0,1
401262,2.0,1,0,1
84899,2.0,1,0,1
11037,2.0,1,1,0
51149,2.0,1,1,0
84444,2.0,1,0,1
2551,2.0,1,0,1
286826,2.0,1,0,1
83999,2.0,1,0,1
79658,2.0,1,0,1
51312,2.0,1,0,1
8028,2.0,1,0,1
7378,2.0,1,0,1
57553,2.0,1,0,1
115548,2.0,1,0,1
2796,2.0,1,0,1
2178,2.0,1,0,1
23131,2.0,1,0,1
65095,2.0,1,0,1
7570,2.0,1,0,1
23353,2.0,1,0,1
4215,2.0,1,0,1
8718,2.0,1,0,1
51136,2.0,1,0,1
23360,2.0,1,0,1
2822,2.0,1,1,0
51661,2.0,1,0,1
10023,2.0,1,0,1
9832,2.0,1,0,1
1856,2.0,1,0,1
22865,2.0,1,1,0
7352,2.0,1,0,1
5208,2.0,1,0,1
79572,2.0,1,1,0
12,2.0,1,0,1
23279,2.0,1,0,1
225,2.0,1,0,1
6744,2.0,1,0,1
27040,2.0,1,0,1
57198,2.0,1,0,1
54930,2.0,1,0,1
80820,2.0,1,0,1
54619,2.0,1,0,1
203522,2.0,1,0,1
23642,2.0,1,0,1
9657,2.0,1,0,1
55320,2.0,1,0,1
28960,2.0,1,0,1
