Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0072657,protein localization to membrane,19_GO:0051179 localization,-7.5,4.5,7.4,30293,473,287,20,7,1.5,288|819|5824|7070|8631|9270|9312|26519|26521|29082|51079|55737|55800|64130|81832|85409|91663|115827|132112|140823,ANK3|CAMLG|PEX19|THY1|SKAP1|ITGB1BP1|KCNB2|TIMM10|TIMM8B|CHMP4A|NDUFA13|VPS35|SCN3B|LIN7B|NETO1|NKD2|MYADM|RAB3C|RTP1|ROMO1,-3.3,MyList
GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-6.9,3.9,6.8,30293,567,287,21,7.3,1.5,152|1137|1374|3741|4856|4988|5874|5950|6623|6865|8447|8938|9501|27345|51083|55737|84062|84830|115827|143425|100507043,ADRA2C|CHRNA4|CPT1A|KCNA5|CCN3|OPRM1|RAB27B|RBP4|SNCG|TACR2|DOC2B|BAIAP3|RPH3AL|KCNMB4|GAL|VPS35|DTNBP1|ADTRP|RAB3C|SYT9|TUNAR,-3,MyList
GO Biological Processes,19,GO:0051668,localization within membrane,19_GO:0051179 localization,-6.4,3.8,6.5,30293,557,287,20,7,1.5,288|819|5824|7070|8631|9270|9312|26519|26521|29082|51079|55737|55800|64130|81832|85409|91663|115827|132112|140823,ANK3|CAMLG|PEX19|THY1|SKAP1|ITGB1BP1|KCNB2|TIMM10|TIMM8B|CHMP4A|NDUFA13|VPS35|SCN3B|LIN7B|NETO1|NKD2|MYADM|RAB3C|RTP1|ROMO1,-2.7,MyList
GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-6.2,3.6,6.3,30293,621,287,21,7.3,1.5,152|1137|1374|3741|4856|4988|5874|5950|6623|6865|8447|8938|9501|27345|51083|55737|84062|84830|115827|143425|100507043,ADRA2C|CHRNA4|CPT1A|KCNA5|CCN3|OPRM1|RAB27B|RBP4|SNCG|TACR2|DOC2B|BAIAP3|RPH3AL|KCNMB4|GAL|VPS35|DTNBP1|ADTRP|RAB3C|SYT9|TUNAR,-2.6,MyList
GO Biological Processes,19,GO:0140352,export from cell,19_GO:0051179 localization,-6.1,4,6.5,30293,474,287,18,6.3,1.4,3741|5002|5125|5293|5874|6284|6623|6865|8013|8447|8938|9501|10652|51083|64130|85409|115827|143425,KCNA5|SLC22A18|PCSK5|PIK3CD|RAB27B|S100A13|SNCG|TACR2|NR4A3|DOC2B|BAIAP3|RPH3AL|YKT6|GAL|LIN7B|NKD2|RAB3C|SYT9,-2.6,MyList
GO Biological Processes,19,GO:0007007,inner mitochondrial membrane organization,19_GO:0009987 cellular process,-5.7,16,9.2,30293,40,287,6,2.1,0.84,26519|26521|51079|84303|140823|440574,TIMM10|TIMM8B|NDUFA13|CHCHD6|ROMO1|MICOS10,-2.3,MyList
GO Biological Processes,19,GO:0032940,secretion by cell,19_GO:0051179 localization,-5.6,4.1,6.2,30293,412,287,16,5.6,1.4,5125|5293|5874|6284|6623|6865|8013|8447|8938|9501|10652|51083|64130|85409|115827|143425,PCSK5|PIK3CD|RAB27B|S100A13|SNCG|TACR2|NR4A3|DOC2B|BAIAP3|RPH3AL|YKT6|GAL|LIN7B|NKD2|RAB3C|SYT9,-2.3,MyList
GO Biological Processes,19,GO:0006887,exocytosis,19_GO:0051179 localization,-5.5,5.4,6.6,30293,236,287,12,4.2,1.2,5293|5874|6284|8013|8447|8938|9501|10652|64130|85409|115827|143425,PIK3CD|RAB27B|S100A13|NR4A3|DOC2B|BAIAP3|RPH3AL|YKT6|LIN7B|NKD2|RAB3C|SYT9,-2.3,MyList
GO Biological Processes,19,GO:0046903,secretion,19_GO:0051179 localization,-5.4,3.6,5.9,30293,529,287,18,6.3,1.4,5125|5293|5874|6284|6623|6865|8013|8447|8938|9501|10652|29887|51083|64130|84647|85409|115827|143425,PCSK5|PIK3CD|RAB27B|S100A13|SNCG|TACR2|NR4A3|DOC2B|BAIAP3|RPH3AL|YKT6|SNX10|GAL|LIN7B|PLA2G12B|NKD2|RAB3C|SYT9,-2.2,MyList
GO Biological Processes,19,GO:0045039,protein insertion into mitochondrial inner membrane,19_GO:0051179 localization,-5.3,32,11,30293,13,287,4,1.4,0.69,26519|26521|51079|140823,TIMM10|TIMM8B|NDUFA13|ROMO1,-2.1,MyList
GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0050789 regulation of biological process,-5,3.7,5.6,30293,460,287,16,5.6,1.4,1006|1137|1325|1949|2558|2560|3354|4988|6623|6863|8447|9501|27345|59340|64130|143425,CDH8|CHRNA4|CORT|EFNB3|GABRA5|GABRB1|HTR1E|OPRM1|SNCG|TAC1|DOC2B|RPH3AL|KCNMB4|HRH4|LIN7B|SYT9,-1.9,MyList
GO Biological Processes,19,GO:0007005,mitochondrion organization,19_GO:0009987 cellular process,-4.8,3.7,5.5,30293,430,287,15,5.2,1.3,4707|4714|6742|26519|26521|51079|55737|81892|84303|84334|90871|140823|284184|440574|440957,NDUFB1|NDUFB8|SSBP1|TIMM10|TIMM8B|NDUFA13|VPS35|SLIRP|CHCHD6|COA8|DMAC1|ROMO1|NDUFAF8|MICOS10|UQCC5,-1.7,MyList
GO Biological Processes,19,GO:0099537,trans-synaptic signaling,19_GO:0050789 regulation of biological process,-4.7,3.7,5.5,30293,431,287,15,5.2,1.3,1006|1137|1325|1949|2558|2560|3354|6623|6863|8447|9501|27345|59340|64130|143425,CDH8|CHRNA4|CORT|EFNB3|GABRA5|GABRB1|HTR1E|SNCG|TAC1|DOC2B|RPH3AL|KCNMB4|HRH4|LIN7B|SYT9,-1.7,MyList
GO Biological Processes,19,GO:0002181,cytoplasmic translation,19_GO:0008152 metabolic process,-4.6,6.9,6.4,30293,123,287,8,2.8,0.97,6155|6159|6160|6161|6167|6204|6231|7311,RPL27|RPL29|RPL31|RPL32|RPL37|RPS10|RPS26|UBA52,-1.6,MyList
GO Biological Processes,19,GO:1990778,protein localization to cell periphery,19_GO:0051179 localization,-4.6,4.7,5.7,30293,246,287,11,3.8,1.1,288|8631|9270|9312|55737|55800|64130|81832|85409|91663|115827,ANK3|SKAP1|ITGB1BP1|KCNB2|VPS35|SCN3B|LIN7B|NETO1|NKD2|MYADM|RAB3C,-1.6,MyList
