_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-7.489691364579764,GO:0051179,localization,M1,1,GO:0072657 protein localization to membrane
1,-5.6968644724065785,GO:0009987,cellular process,M1,1,GO:0007007 inner mitochondrial membrane organization
1,-5.019829527159989,GO:0050789,regulation of biological process,M1,1,GO:0099536 synaptic signaling
1,-4.6260423215914095,GO:0008152,metabolic process,M1,1,GO:0002181 cytoplasmic translation
1,-3.87593319044165,GO:0032502,developmental process,M1,1,GO:0031099 regeneration
1,-3.6590196495863636,GO:0048519,negative regulation of biological process,M1,1,GO:0051129 negative regulation of cellular component organization
1,-3.6379275223381176,GO:0002376,immune system process,M1,1,GO:0002448 mast cell mediated immunity
1,-3.342070853995426,GO:0065007,biological regulation,M1,1,GO:0001508 action potential
1,-3.1304657013861537,GO:0050896,response to stimulus,M1,1,GO:0007193 adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
1,-2.8138956838470346,GO:0048518,positive regulation of biological process,M1,1,GO:0045931 positive regulation of mitotic cell cycle
1,-2.7105509856615346,GO:0032501,multicellular organismal process,M1,1,GO:0006936 muscle contraction
1,-2.5991599875229183,GO:0040007,growth,M1,1,GO:0045926 negative regulation of growth
1,-2.1112710310808405,GO:0040011,locomotion,M1,1,GO:0090049 regulation of cell migration involved in sprouting angiogenesis
1,-2.0131533044708068,GO:0098754,detoxification,M1,1,GO:0098754 detoxification
