_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-7.489691364579764,GO:0072657,M1,1,0,GO Biological Processes,19,protein localization to membrane,19_GO:0051179 localization,-7.489691364579764,4.463024213449625,7.423917703308414,30293,473,287,20,6.968641114982578,1.5029612494846223,288|819|5824|7070|8631|9270|9312|26519|26521|29082|51079|55737|55800|64130|81832|85409|91663|115827|132112|140823,ANK3|CAMLG|PEX19|THY1|SKAP1|ITGB1BP1|KCNB2|TIMM10|TIMM8B|CHMP4A|NDUFA13|VPS35|SCN3B|LIN7B|NETO1|NKD2|MYADM|RAB3C|RTP1|ROMO1,-3.312212582037442,0,1,1,1,-7.489691364579764,32.477083891718046,
1,-6.351713169869273,GO:0051668,M1,1,0,GO Biological Processes,19,localization within membrane,19_GO:0051179 localization,-6.351713169869273,3.789964906573918,6.499589584835146,30293,557,287,20,6.968641114982578,1.5029612494846223,288|819|5824|7070|8631|9270|9312|26519|26521|29082|51079|55737|55800|64130|81832|85409|91663|115827|132112|140823,ANK3|CAMLG|PEX19|THY1|SKAP1|ITGB1BP1|KCNB2|TIMM10|TIMM8B|CHMP4A|NDUFA13|VPS35|SCN3B|LIN7B|NETO1|NKD2|MYADM|RAB3C|RTP1|ROMO1,-2.6513556420466124,0,1,0,0,-7.489691364579764,32.477083891718046,
1,-5.6968644724065785,GO:0007007,M1,1,0,GO Biological Processes,19,inner mitochondrial membrane organization,19_GO:0009987 cellular process,-5.6968644724065785,15.832578397212544,9.180435727006103,30293,40,287,6,2.0905923344947737,0.8445122236887297,26519|26521|51079|84303|140823|440574,TIMM10|TIMM8B|NDUFA13|CHCHD6|ROMO1|MICOS10,-2.2975369402478996,0,1,0,0,-7.489691364579764,32.477083891718046,
1,-5.277857653498438,GO:0045039,M1,1,0,GO Biological Processes,19,protein insertion into mitochondrial inner membrane,19_GO:0051179 localization,-5.277857653498438,32.477083891718046,11.101690157912984,30293,13,287,4,1.3937282229965158,0.6919908761056754,26519|26521|51079|140823,TIMM10|TIMM8B|NDUFA13|ROMO1,-2.1003788709561153,0,1,0,0,-7.489691364579764,32.477083891718046,
1,-4.1095493694663165,GO:0090150,M1,1,0,GO Biological Processes,19,establishment of protein localization to membrane,19_GO:0051179 localization,-4.1095493694663165,4.569286694722234,5.325732607551825,30293,231,287,10,3.484320557491289,1.082472917319835,288|819|5824|26519|26521|29082|51079|55737|132112|140823,ANK3|CAMLG|PEX19|TIMM10|TIMM8B|CHMP4A|NDUFA13|VPS35|RTP1|ROMO1,-1.293798422941587,0,1,0,0,-7.489691364579764,32.477083891718046,
1,-3.692686991555688,GO:0090151,M1,1,0,GO Biological Processes,19,establishment of protein localization to mitochondrial membrane,19_GO:0051179 localization,-3.692686991555688,13.619422277172083,6.874994840785644,30293,31,287,4,1.3937282229965158,0.6919908761056754,26519|26521|51079|140823,TIMM10|TIMM8B|NDUFA13|ROMO1,-0.976768532068775,0,1,0,0,-7.489691364579764,32.477083891718046,
1,-3.318313283839071,GO:0006886,M1,1,0,GO Biological Processes,19,intracellular protein transport,19_GO:0051179 localization,-3.318313283839071,2.8472202641101556,4.151304985759961,30293,519,287,14,4.878048780487805,1.2715179522683246,1026|1871|5824|5874|9501|26519|26521|29887|51079|55737|64792|81832|140823|503542,CDKN1A|E2F3|PEX19|RAB27B|RPH3AL|TIMM10|TIMM8B|SNX10|NDUFA13|VPS35|IFT22|NETO1|ROMO1|SPRN,-0.7811505442467864,0,1,0,0,-7.489691364579764,32.477083891718046,
1,-3.128964813549587,GO:0007006,M1,1,0,GO Biological Processes,19,mitochondrial membrane organization,19_GO:0009987 cellular process,-3.128964813549587,5.604452529986741,4.795771405770153,30293,113,287,6,2.0905923344947737,0.8445122236887297,26519|26521|51079|84303|140823|440574,TIMM10|TIMM8B|NDUFA13|CHCHD6|ROMO1|MICOS10,-0.699674058013465,0,1,0,0,-7.489691364579764,32.477083891718046,
1,-3.0074594721631254,GO:0061024,M1,1,0,GO Biological Processes,19,membrane organization,19_GO:0009987 cellular process,-3.0074594721631254,2.370355198173608,3.734273490403085,30293,757,287,17,5.923344947735192,1.393424677697697,288|819|9938|10652|26519|26521|29082|51079|51454|54734|63982|84303|85409|91663|132112|140823|440574,ANK3|CAMLG|ARHGAP25|YKT6|TIMM10|TIMM8B|CHMP4A|NDUFA13|GULP1|RAB39A|ANO3|CHCHD6|NKD2|MYADM|RTP1|ROMO1|MICOS10,-0.61531052463157,0,1,0,0,-7.489691364579764,32.477083891718046,
1,-2.753423461663652,GO:0006839,M1,1,0,GO Biological Processes,19,mitochondrial transport,19_GO:0051179 localization,-2.753423461663652,4.082064411804339,4.067354886531472,30293,181,287,7,2.4390243902439024,0.9105529182275091,1374|26519|26521|51079|55737|79085|140823,CPT1A|TIMM10|TIMM8B|NDUFA13|VPS35|SLC25A23|ROMO1,-0.45657011280071724,0,1,0,0,-7.489691364579764,32.477083891718046,
