Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0007007,inner mitochondrial membrane organization,19_GO:0009987 cellular process,-7,27,12,30293,40,170,6,3.5,1.4,26519|26521|51079|84303|140823|440574,TIMM10|TIMM8B|NDUFA13|CHCHD6|ROMO1|MICOS10,-4.2
MyList,GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-6.9,5.9,7.6,30293,422,170,14,8.2,2.1,5125|6155|6159|6160|6161|6167|6204|6231|7311|10209|51650|54460|55168|64960,PCSK5|RPL27|RPL29|RPL31|RPL32|RPL37|RPS10|RPS26|UBA52|EIF1|MRPS33|MRPS21|MRPS18A|MRPS15,-4.2
MyList,GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-6.4,5.9,7.3,30293,393,170,13,7.6,2,6155|6159|6160|6161|6167|6204|6231|7311|10209|51650|54460|55168|64960,RPL27|RPL29|RPL31|RPL32|RPL37|RPS10|RPS26|UBA52|EIF1|MRPS33|MRPS21|MRPS18A|MRPS15,-3.8
MyList,GO Biological Processes,19,GO:0002181,cytoplasmic translation,19_GO:0008152 metabolic process,-6.3,12,8.8,30293,123,170,8,4.7,1.6,6155|6159|6160|6161|6167|6204|6231|7311,RPL27|RPL29|RPL31|RPL32|RPL37|RPS10|RPS26|UBA52,-3.7
MyList,GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-6.3,4.9,6.9,30293,546,170,15,8.8,2.2,445|5125|6155|6159|6160|6161|6167|6204|6231|7311|10209|51650|54460|55168|64960,ASS1|PCSK5|RPL27|RPL29|RPL31|RPL32|RPL37|RPS10|RPS26|UBA52|EIF1|MRPS33|MRPS21|MRPS18A|MRPS15,-3.7
MyList,GO Biological Processes,19,GO:0072657,protein localization to membrane,19_GO:0051179 localization,-6.3,5.3,7,30293,473,170,14,8.2,2.1,288|5824|9312|26519|26521|29082|51079|55737|55800|64130|85409|91663|115827|140823,ANK3|PEX19|KCNB2|TIMM10|TIMM8B|CHMP4A|NDUFA13|VPS35|SCN3B|LIN7B|NKD2|MYADM|RAB3C|ROMO1,-3.7
MyList,GO Biological Processes,19,GO:0140352,export from cell,19_GO:0051179 localization,-6.3,5.3,7,30293,474,170,14,8.2,2.1,3741|5125|5293|5874|6284|6865|8013|8447|9501|10652|51083|64130|85409|115827,KCNA5|PCSK5|PIK3CD|RAB27B|S100A13|TACR2|NR4A3|DOC2B|RPH3AL|YKT6|GAL|LIN7B|NKD2|RAB3C,-3.7
MyList,GO Biological Processes,19,GO:0032940,secretion by cell,19_GO:0051179 localization,-6.2,5.6,7.1,30293,412,170,13,7.6,2,5125|5293|5874|6284|6865|8013|8447|9501|10652|51083|64130|85409|115827,PCSK5|PIK3CD|RAB27B|S100A13|TACR2|NR4A3|DOC2B|RPH3AL|YKT6|GAL|LIN7B|NKD2|RAB3C,-3.7
MyList,GO Biological Processes,19,GO:0045039,protein insertion into mitochondrial inner membrane,19_GO:0051179 localization,-6.2,55,15,30293,13,170,4,2.4,1.2,26519|26521|51079|140823,TIMM10|TIMM8B|NDUFA13|ROMO1,-3.7
MyList,GO Biological Processes,19,GO:0006887,exocytosis,19_GO:0051179 localization,-6,7.6,7.6,30293,236,170,10,5.9,1.8,5293|5874|6284|8013|8447|9501|10652|64130|85409|115827,PIK3CD|RAB27B|S100A13|NR4A3|DOC2B|RPH3AL|YKT6|LIN7B|NKD2|RAB3C,-3.5
