Cluster,Score,Type,Gene,Symbol,Network
1,4.818181818181818,Clustered,6160,RPL31,MyList_SUB1
1,4.818181818181818,Clustered,6155,RPL27,MyList_SUB1
1,4.818181818181818,Clustered,6167,RPL37,MyList_SUB1
1,4.818181818181818,Clustered,6159,RPL29,MyList_SUB1
1,4.818181818181818,Clustered,9312,KCNB2,MyList_SUB1
1,4.818181818181818,Clustered,6204,RPS10,MyList_SUB1
1,4.818181818181818,Clustered,6231,RPS26,MyList_SUB1
1,4.818181818181818,Clustered,6161,RPL32,MyList_SUB1
1,4.818181818181818,Clustered,64960,MRPS15,MyList_SUB1
1,4.818181818181818,Clustered,7311,UBA52,MyList_SUB1
1,4.818181818181818,Seed,3741,KCNA5,MyList_SUB1
2,3.0,Clustered,152,ADRA2C,MyList_SUB1
2,3.0,Clustered,59340,HRH4,MyList_SUB1
2,3.0,Seed,1325,CORT,MyList_SUB1
2,3.0,Clustered,51083,GAL,MyList_SUB1
2,3.0,Clustered,59345,GNB4,MyList_SUB1
2,3.0,Clustered,3354,HTR1E,MyList_SUB1
2,3.0,Clustered,4988,OPRM1,MyList_SUB1
2,3.0,Clustered,6752,SSTR2,MyList_SUB1
3,1.5,Clustered,51529,ANAPC11,MyList_SUB1
3,1.5,Seed,51343,FZR1,MyList_SUB1
3,1.5,Clustered,55168,MRPS18A,MyList_SUB1
3,1.5,Clustered,54460,MRPS21,MyList_SUB1
3,1.5,Clustered,51650,MRPS33,MyList_SUB1
3,1.5,Clustered,5700,PSMC1,MyList_SUB1
4,1.5,Clustered,10975,UQCR11,MyList_SUB1
4,1.5,Seed,4707,NDUFB1,MyList_SUB1
4,1.5,Clustered,51079,NDUFA13,MyList_SUB1
4,1.5,Clustered,4714,NDUFB8,MyList_SUB1
5,1.0,Clustered,1026,CDKN1A,MyList_SUB1
5,1.0,Clustered,1871,E2F3,MyList_SUB1
5,1.0,Seed,81620,CDT1,MyList_SUB1
