Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
27345,3.0,1,1,1
440574,3.0,1,1,1
140823,3.0,1,1,1
2109,3.0,1,1,1
152,3.0,1,1,1
1325,3.0,1,1,1
1809,3.0,1,1,1
9501,3.0,1,1,1
4988,3.0,1,1,1
57381,3.0,1,1,1
521,3.0,1,1,1
5156,3.0,1,1,1
10060,3.0,1,1,1
4606,3.0,1,1,1
1892,3.0,1,1,1
1109,3.0,1,1,1
284184,3.0,1,1,1
59340,3.0,1,1,1
3741,3.0,1,1,1
51083,3.0,1,1,1
967,3.0,1,1,1
91663,3.0,1,1,1
8447,3.0,1,1,1
26519,3.0,1,1,1
64130,3.0,1,1,1
1845,3.0,1,1,1
10417,3.0,1,1,1
6865,3.0,1,1,1
6915,3.0,1,1,1
2161,3.0,1,1,1
26521,3.0,1,1,1
55959,3.0,1,1,1
1301,3.0,1,1,1
9312,3.0,1,1,1
2596,3.0,1,1,1
10005,3.0,1,1,1
51079,3.0,1,1,1
11075,3.0,1,1,1
70,3.0,1,1,1
7114,3.0,1,1,1
445,3.0,1,1,1
6863,3.0,1,1,1
4707,3.0,1,1,1
2560,3.0,1,1,1
5125,3.0,1,1,1
1374,3.0,1,1,1
9734,3.0,1,1,1
84303,3.0,1,1,1
11334,3.0,1,1,1
8013,3.0,1,1,1
4856,3.0,1,1,1
6752,3.0,1,1,1
3354,3.0,1,1,1
288,3.0,1,1,1
55800,3.0,1,1,1
4604,3.0,1,1,1
2558,3.0,1,1,1
1026,3.0,1,1,1
4714,3.0,1,1,1
8508,3.0,1,1,1
6284,3.0,1,1,1
5293,3.0,1,1,1
84334,2.0,1,1,0
6990,2.0,1,0,1
374875,2.0,1,0,1
6742,2.0,1,0,1
51529,2.0,1,0,1
51504,2.0,1,0,1
64131,2.0,1,1,0
6155,2.0,1,0,1
1774,2.0,1,0,1
5874,2.0,1,0,1
1032,2.0,1,0,1
1871,2.0,1,0,1
286183,2.0,1,1,0
8139,2.0,1,0,1
55737,2.0,1,0,1
375190,2.0,1,0,1
3797,2.0,1,0,1
10652,2.0,1,0,1
2987,2.0,1,0,1
81892,2.0,1,0,1
51343,2.0,1,0,1
4257,2.0,1,0,1
58495,2.0,1,1,0
2764,2.0,1,0,1
90871,2.0,1,1,0
79025,2.0,1,0,1
10383,2.0,1,0,1
115827,2.0,1,0,1
3939,2.0,1,0,1
51650,2.0,1,0,1
127933,2.0,1,0,1
349667,2.0,1,1,0
79870,2.0,1,0,1
50649,2.0,1,0,1
113452,2.0,1,0,1
4134,2.0,1,0,1
5361,2.0,1,0,1
3234,2.0,1,0,1
55168,2.0,1,0,1
51690,2.0,1,0,1
84062,2.0,1,1,0
6231,2.0,1,0,1
59345,2.0,1,0,1
9348,2.0,1,1,0
5700,2.0,1,0,1
10436,2.0,1,0,1
64943,2.0,1,0,1
10376,2.0,1,0,1
143425,2.0,1,1,0
7480,2.0,1,1,0
56655,2.0,1,0,1
23362,2.0,1,0,1
10522,2.0,1,0,1
51222,2.0,1,0,1
5475,2.0,1,0,1
55615,2.0,1,0,1
2878,2.0,1,0,1
85409,2.0,1,0,1
6160,2.0,1,0,1
57504,2.0,1,0,1
58189,2.0,1,1,0
923,2.0,1,0,1
6167,2.0,1,0,1
56990,2.0,1,0,1
10975,2.0,1,0,1
81832,2.0,1,1,0
4351,2.0,1,0,1
84830,2.0,1,1,0
59286,2.0,1,0,1
9270,2.0,1,1,0
51363,2.0,1,1,0
29082,2.0,1,0,1
6161,2.0,1,0,1
84293,2.0,1,0,1
10209,2.0,1,0,1
3782,2.0,1,0,1
9308,2.0,1,0,1
11017,2.0,1,0,1
10295,2.0,1,0,1
25827,2.0,1,0,1
79589,2.0,1,0,1
3956,2.0,1,0,1
51538,2.0,1,0,1
9168,2.0,1,1,0
7070,2.0,1,1,0
5824,2.0,1,0,1
93081,2.0,1,0,1
9535,2.0,1,0,1
8938,2.0,1,1,0
126374,2.0,1,0,1
8912,2.0,1,0,1
139562,2.0,1,0,1
963,2.0,1,0,1
326,2.0,1,0,1
56934,2.0,1,0,1
1290,2.0,1,0,1
171019,2.0,1,0,1
51440,2.0,1,0,1
2495,2.0,1,0,1
57172,2.0,1,0,1
810,2.0,1,0,1
79961,2.0,1,0,1
433,2.0,1,0,1
8721,2.0,1,0,1
54460,2.0,1,0,1
284106,2.0,1,0,1
5650,2.0,1,0,1
260334,2.0,1,0,1
6623,2.0,1,1,0
6827,2.0,1,0,1
100507043,2.0,1,1,0
7311,2.0,1,0,1
7803,2.0,1,0,1
64960,2.0,1,0,1
64792,2.0,1,0,1
1949,2.0,1,0,1
84864,2.0,1,0,1
6204,2.0,1,0,1
6159,2.0,1,0,1
1137,2.0,1,1,0
81620,2.0,1,0,1
136853,2.0,1,0,1
3776,2.0,1,1,0
6881,2.0,1,0,1
51101,2.0,1,0,1
57707,2.0,1,0,1
57823,2.0,1,0,1
5950,2.0,1,1,0
51087,2.0,1,0,1
29887,2.0,1,0,1
613212,2.0,1,0,1
63974,1.0,1,0,0
53346,1.0,1,0,0
105372480,1.0,1,0,0
6585,1.0,1,0,0
84647,1.0,1,0,0
128434,1.0,1,0,0
399668,1.0,1,0,0
641311,1.0,1,0,0
125150,1.0,1,0,0
25854,1.0,1,0,0
168391,1.0,1,0,0
63982,1.0,1,0,0
374860,1.0,1,0,0
24147,1.0,1,0,0
400745,1.0,1,0,0
5002,1.0,1,0,0
54734,1.0,1,0,0
819,1.0,1,0,0
132112,1.0,1,0,0
440934,1.0,1,0,0
79085,1.0,1,0,0
619208,1.0,1,0,0
9938,1.0,1,0,0
256281,1.0,1,0,0
79858,1.0,1,0,0
643037,1.0,1,0,0
85352,1.0,1,0,0
1340,1.0,1,0,0
83857,1.0,1,0,0
5620,1.0,1,0,0
157697,1.0,1,0,0
51454,1.0,1,0,0
5092,1.0,1,0,0
284836,1.0,1,0,0
201191,1.0,1,0,0
10040,1.0,1,0,0
7390,1.0,1,0,0
91695,1.0,1,0,0
10518,1.0,1,0,0
100093630,1.0,1,0,0
23576,1.0,1,0,0
139221,1.0,1,0,0
1006,1.0,1,0,0
150678,1.0,1,0,0
4097,1.0,1,0,0
414764,1.0,1,0,0
27145,1.0,1,0,0
130940,1.0,1,0,0
644596,1.0,1,0,0
29969,1.0,1,0,0
57484,1.0,1,0,0
152098,1.0,1,0,0
389119,1.0,1,0,0
79183,1.0,1,0,0
29844,1.0,1,0,0
374920,1.0,1,0,0
117154,1.0,1,0,0
391356,1.0,1,0,0
84332,1.0,1,0,0
84808,1.0,1,0,0
92340,1.0,1,0,0
25911,1.0,1,0,0
91523,1.0,1,0,0
7576,1.0,1,0,0
127602,1.0,1,0,0
26002,1.0,1,0,0
440957,1.0,1,0,0
8987,1.0,1,0,0
170958,1.0,1,0,0
55734,1.0,1,0,0
118432,1.0,1,0,0
112812,1.0,1,0,0
401994,1.0,1,0,0
9047,1.0,1,0,0
284422,1.0,1,0,0
64881,1.0,1,0,0
83892,1.0,1,0,0
400456,1.0,1,0,0
55530,1.0,1,0,0
124411,1.0,1,0,0
441027,1.0,1,0,0
220164,1.0,1,0,0
57110,1.0,1,0,0
83636,1.0,1,0,0
256355,1.0,1,0,0
2662,1.0,1,0,0
8631,1.0,1,0,0
81849,1.0,1,0,0
653113,1.0,1,0,0
1635,1.0,1,0,0
147645,1.0,1,0,0
6415,1.0,1,0,0
161835,1.0,1,0,0
4360,1.0,1,0,0
84063,1.0,1,0,0
503542,1.0,1,0,0
