Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0098660,inorganic ion transmembrane transport,19_GO:0051179 localization,-15,2.9,9.8,30293,724,1081,74,6.8,0.77,292|357|490|491|492|495|775|785|1346|1909|2554|2561|2566|2567|2743|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|6262|6323|6324|6330|6553|6616|6833|7222|8604|9196|9254|9377|9498|10369|23236|23415|23516|25769|30818|51312|55244|56172|56479|56660|57084|57468|57582|57620|59283|64116|79041|79815|80036|81033|83697|84561|123041|126755|144453|169522|206358|219527|286097|348980|388662,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GABRA1|GABRB2|GABRG2|GABRG3|GLRB|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC47A1|ANKH|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|BEST3|KCNV2|SLC36A1|LRRC55|MICU3|HCN1|SLC6A17,-11,MyList
GO Biological Processes,19,GO:0098662,inorganic cation transmembrane transport,19_GO:0051179 localization,-15,3,9.7,30293,628,1081,67,6.2,0.73,292|357|490|491|492|495|775|785|1346|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|6262|6323|6324|6330|6553|6616|6833|7222|8604|9196|9254|9377|9498|10369|23236|23415|23516|25769|30818|51312|55244|56479|56660|57084|57468|57582|57620|59283|64116|79041|79815|80036|81033|83697|84561|123041|126755|169522|206358|219527|286097|348980|388662,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC47A1|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|KCNV2|SLC36A1|LRRC55|MICU3|HCN1|SLC6A17,-11,MyList
GO Biological Processes,19,GO:0098655,monoatomic cation transmembrane transport,19_GO:0051179 localization,-15,3,9.7,30293,644,1081,68,6.3,0.74,292|357|490|491|492|495|775|785|1346|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|6262|6323|6324|6330|6553|6616|6833|7222|8604|9196|9254|9377|9498|10369|23236|23415|23516|25769|30818|51312|55244|56479|56660|57084|57468|57582|57620|59283|64116|79041|79572|79815|80036|81033|83697|84561|123041|126755|169522|206358|219527|286097|348980|388662,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC47A1|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|ATP13A3|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|KCNV2|SLC36A1|LRRC55|MICU3|HCN1|SLC6A17,-11,MyList
GO Biological Processes,19,GO:0030001,metal ion transport,19_GO:0051179 localization,-14,2.9,9.4,30293,636,1081,66,6.1,0.73,357|490|491|492|495|775|785|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|5530|5579|6262|6323|6324|6330|6553|6616|6833|7222|9196|9254|9498|10369|22853|23236|23415|23516|25769|30818|51312|54407|56479|56660|57084|57468|57582|57620|59283|64116|79041|79815|80036|81033|83697|84561|123041|126755|151258|169522|219527|286097|348980|388662,SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|PPP3CA|PRKCB|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|KCNAB3|CACNA2D2|SLC4A8|CACNG2|LMTK2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC38A2|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|SLC38A11|KCNV2|LRRC55|MICU3|HCN1|SLC6A17,-10,MyList
GO Biological Processes,19,GO:0071805,potassium ion transmembrane transport,19_GO:0051179 localization,-14,5.3,11,30293,165,1081,31,2.9,0.51,495|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|6553|6616|6833|9196|23415|25769|30818|56479|56660|57084|57468|57582|79041|81033|84561|123041|126755|169522|219527|348980,ATP4A|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|SLC9A5|SNAP25|ABCC8|KCNAB3|KCNH4|SLC24A2|KCNIP3|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|TMEM38A|KCNH6|SLC12A8|SLC24A4|LRRC38|KCNV2|LRRC55|HCN1,-10,MyList
GO Biological Processes,19,GO:0006812,monoatomic cation transport,19_GO:0051179 localization,-13,2.6,8.8,30293,781,1081,73,6.8,0.76,292|357|490|491|492|495|775|785|1346|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|5530|5579|6262|6323|6324|6330|6553|6616|6833|7222|8604|9196|9254|9377|9498|10369|22853|23236|23415|23516|25769|30818|51312|54407|55244|56479|56660|57084|57468|57582|57620|59283|64116|79041|79572|79815|80036|81033|83697|84561|123041|126755|151258|169522|206358|219527|286097|348980|388662,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|PPP3CA|PRKCB|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|LMTK2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC38A2|SLC47A1|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|ATP13A3|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|SLC38A11|KCNV2|SLC36A1|LRRC55|MICU3|HCN1|SLC6A17,-9.7,MyList
GO Biological Processes,19,GO:0006813,potassium ion transport,19_GO:0051179 localization,-13,4.9,10,30293,176,1081,31,2.9,0.51,495|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|6553|6616|6833|9196|23415|25769|30818|56479|56660|57084|57468|57582|79041|81033|84561|123041|126755|169522|219527|348980,ATP4A|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|SLC9A5|SNAP25|ABCC8|KCNAB3|KCNH4|SLC24A2|KCNIP3|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|TMEM38A|KCNH6|SLC12A8|SLC24A4|LRRC38|KCNV2|LRRC55|HCN1,-9.4,MyList
GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0050789 regulation of biological process,-13,3.2,9,30293,460,1081,52,4.8,0.65,673|785|1821|2030|2554|2561|2566|2567|2743|2744|2903|2908|3274|3355|3356|3708|3749|3798|4155|4208|5179|5530|5579|5581|5816|6197|6616|6620|6833|7402|8224|8825|9229|9699|10814|10815|22865|22987|23236|23551|56122|57084|57468|91683|93664|112755|120892|127833|388135|404037|415117|440279,BRAF|CACNB4|DRP2|SLC29A1|GABRA1|GABRB2|GABRG2|GABRG3|GLRB|GLS|GRIN2A|NR3C1|HRH2|HTR1F|HTR2A|ITPR1|KCNC4|KIF5A|MBP|MEF2C|PENK|PPP3CA|PRKCB|PRKCE|PVALB|RPS6KA3|SNAP25|SNCB|ABCC8|UTRN|SYN3|LIN7A|DLGAP1|RIMS2|CPLX2|CPLX1|SLITRK3|SV2C|PLCB1|RASD2|PCDHB14|SLC17A6|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|INSYN1|HAPLN4|STX19|UNC13C,-9.3,MyList
GO Biological Processes,19,GO:0007268,chemical synaptic transmission,19_GO:0050789 regulation of biological process,-11,3.2,8.6,30293,414,1081,47,4.3,0.62,673|785|2030|2554|2561|2566|2567|2743|2744|2903|2908|3274|3355|3356|3749|3798|4155|4208|5179|5530|5581|5816|6197|6616|6620|6833|8224|8825|9229|9699|10814|10815|22865|22987|23551|56122|57084|57468|91683|93664|112755|120892|127833|388135|404037|415117|440279,BRAF|CACNB4|SLC29A1|GABRA1|GABRB2|GABRG2|GABRG3|GLRB|GLS|GRIN2A|NR3C1|HRH2|HTR1F|HTR2A|KCNC4|KIF5A|MBP|MEF2C|PENK|PPP3CA|PRKCE|PVALB|RPS6KA3|SNAP25|SNCB|ABCC8|SYN3|LIN7A|DLGAP1|RIMS2|CPLX2|CPLX1|SLITRK3|SV2C|RASD2|PCDHB14|SLC17A6|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|INSYN1|HAPLN4|STX19|UNC13C,-8.3,MyList
GO Biological Processes,19,GO:0098916,anterograde trans-synaptic signaling,19_GO:0050789 regulation of biological process,-11,3.2,8.6,30293,414,1081,47,4.3,0.62,673|785|2030|2554|2561|2566|2567|2743|2744|2903|2908|3274|3355|3356|3749|3798|4155|4208|5179|5530|5581|5816|6197|6616|6620|6833|8224|8825|9229|9699|10814|10815|22865|22987|23551|56122|57084|57468|91683|93664|112755|120892|127833|388135|404037|415117|440279,BRAF|CACNB4|SLC29A1|GABRA1|GABRB2|GABRG2|GABRG3|GLRB|GLS|GRIN2A|NR3C1|HRH2|HTR1F|HTR2A|KCNC4|KIF5A|MBP|MEF2C|PENK|PPP3CA|PRKCE|PVALB|RPS6KA3|SNAP25|SNCB|ABCC8|SYN3|LIN7A|DLGAP1|RIMS2|CPLX2|CPLX1|SLITRK3|SV2C|RASD2|PCDHB14|SLC17A6|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|INSYN1|HAPLN4|STX19|UNC13C,-8.3,MyList
