_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-15.281151519403043,GO:0098660,M1,1,0,GO Biological Processes,19,inorganic ion transmembrane transport,19_GO:0051179 localization,-15.281151519403043,2.8642422352947188,9.766736759098755,30293,724,1081,74,6.845513413506013,0.768054528649383,292|357|490|491|492|495|775|785|1346|1909|2554|2561|2566|2567|2743|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|6262|6323|6324|6330|6553|6616|6833|7222|8604|9196|9254|9377|9498|10369|23236|23415|23516|25769|30818|51312|55244|56172|56479|56660|57084|57468|57582|57620|59283|64116|79041|79815|80036|81033|83697|84561|123041|126755|144453|169522|206358|219527|286097|348980|388662,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GABRA1|GABRB2|GABRG2|GABRG3|GLRB|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC47A1|ANKH|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|BEST3|KCNV2|SLC36A1|LRRC55|MICU3|HCN1|SLC6A17,-11.10367273686072,0,1,1,1,-15.281151519403043,5.2649510834524715,
1,-14.787963108645112,GO:0098662,M1,1,0,GO Biological Processes,19,inorganic cation transmembrane transport,19_GO:0051179 localization,-14.787963108645112,2.9897284891908296,9.692764005260884,30293,628,1081,67,6.1979648473635525,0.7333610462333481,292|357|490|491|492|495|775|785|1346|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|6262|6323|6324|6330|6553|6616|6833|7222|8604|9196|9254|9377|9498|10369|23236|23415|23516|25769|30818|51312|55244|56479|56660|57084|57468|57582|57620|59283|64116|79041|79815|80036|81033|83697|84561|123041|126755|169522|206358|219527|286097|348980|388662,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC47A1|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|KCNV2|SLC36A1|LRRC55|MICU3|HCN1|SLC6A17,-11.076605043512604,0,1,0,0,-15.281151519403043,5.2649510834524715,
1,-14.776962571335265,GO:0098655,M1,1,0,GO Biological Processes,19,monoatomic cation transmembrane transport,19_GO:0051179 localization,-14.776962571335265,2.9589636924632705,9.666304471759526,30293,644,1081,68,6.290471785383904,0.7384492234105674,292|357|490|491|492|495|775|785|1346|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|6262|6323|6324|6330|6553|6616|6833|7222|8604|9196|9254|9377|9498|10369|23236|23415|23516|25769|30818|51312|55244|56479|56660|57084|57468|57582|57620|59283|64116|79041|79572|79815|80036|81033|83697|84561|123041|126755|169522|206358|219527|286097|348980|388662,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC47A1|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|ATP13A3|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|KCNV2|SLC36A1|LRRC55|MICU3|HCN1|SLC6A17,-11.076605043512604,0,1,0,0,-15.281151519403043,5.2649510834524715,
1,-13.993293243408681,GO:0030001,M1,1,0,GO Biological Processes,19,metal ion transport,19_GO:0051179 localization,-13.993293243408681,2.908060321505245,9.35520319239373,30293,636,1081,66,6.105457909343201,0.7282264483556596,357|490|491|492|495|775|785|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|5530|5579|6262|6323|6324|6330|6553|6616|6833|7222|9196|9254|9498|10369|22853|23236|23415|23516|25769|30818|51312|54407|56479|56660|57084|57468|57582|57620|59283|64116|79041|79815|80036|81033|83697|84561|123041|126755|151258|169522|219527|286097|348980|388662,SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|PPP3CA|PRKCB|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|KCNAB3|CACNA2D2|SLC4A8|CACNG2|LMTK2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC38A2|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|SLC38A11|KCNV2|LRRC55|MICU3|HCN1|SLC6A17,-10.41787445219432,0,1,0,0,-15.281151519403043,5.2649510834524715,
1,-13.524146045770586,GO:0071805,M1,1,0,GO Biological Processes,19,potassium ion transmembrane transport,19_GO:0051179 localization,-13.524146045770586,5.2649510834524715,10.567373319591137,30293,165,1081,31,2.8677150786308974,0.5076179320428272,495|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|6553|6616|6833|9196|23415|25769|30818|56479|56660|57084|57468|57582|79041|81033|84561|123041|126755|169522|219527|348980,ATP4A|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|SLC9A5|SNAP25|ABCC8|KCNAB3|KCNH4|SLC24A2|KCNIP3|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|TMEM38A|KCNH6|SLC12A8|SLC24A4|LRRC38|KCNV2|LRRC55|HCN1,-10.045637267564281,0,1,0,0,-15.281151519403043,5.2649510834524715,
1,-13.08640233739235,GO:0006812,M1,1,0,GO Biological Processes,19,monoatomic cation transport,19_GO:0051179 localization,-13.08640233739235,2.619319144198299,8.819720475446985,30293,781,1081,73,6.753006475485662,0.7632259975282986,292|357|490|491|492|495|775|785|1346|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|5530|5579|6262|6323|6324|6330|6553|6616|6833|7222|8604|9196|9254|9377|9498|10369|22853|23236|23415|23516|25769|30818|51312|54407|55244|56479|56660|57084|57468|57582|57620|59283|64116|79041|79572|79815|80036|81033|83697|84561|123041|126755|151258|169522|206358|219527|286097|348980|388662,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|PPP3CA|PRKCB|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|ABCC8|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|LMTK2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC38A2|SLC47A1|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|STIM2|CACNG8|SLC39A8|TMEM38A|ATP13A3|NIPAL2|TRPM3|KCNH6|SLC4A9|SLC12A8|SLC24A4|LRRC38|SLC38A11|KCNV2|SLC36A1|LRRC55|MICU3|HCN1|SLC6A17,-9.68707480523367,0,1,0,0,-15.281151519403043,5.2649510834524715,
1,-12.731353846416836,GO:0006813,M1,1,0,GO Biological Processes,19,potassium ion transport,19_GO:0051179 localization,-12.731353846416836,4.935891640736692,10.073717968140452,30293,176,1081,31,2.8677150786308974,0.5076179320428272,495|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|6553|6616|6833|9196|23415|25769|30818|56479|56660|57084|57468|57582|79041|81033|84561|123041|126755|169522|219527|348980,ATP4A|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|SLC9A5|SNAP25|ABCC8|KCNAB3|KCNH4|SLC24A2|KCNIP3|KCNQ5|KCNK12|SLC17A6|SLC12A5|KCNT1|TMEM38A|KCNH6|SLC12A8|SLC24A4|LRRC38|KCNV2|LRRC55|HCN1,-9.39897310388877,0,1,0,0,-15.281151519403043,5.2649510834524715,
1,-5.225774482648231,GO:0070588,M1,1,0,GO Biological Processes,19,calcium ion transmembrane transport,19_GO:0051179 localization,-5.225774482648231,2.963984558457269,5.467526586493295,30293,208,1081,22,2.0351526364477337,0.42945808137124675,490|491|492|775|785|1909|2903|3356|3708|5310|6262|7222|9254|10369|23236|25769|57620|59283|79041|80036|123041|286097,ATP2B1|ATP2B2|ATP2B3|CACNA1C|CACNB4|EDNRA|GRIN2A|HTR2A|ITPR1|PKD1|RYR2|TRPC3|CACNA2D2|CACNG2|PLCB1|SLC24A2|STIM2|CACNG8|TMEM38A|TRPM3|SLC24A4|MICU3,-2.7044568337506685,0,1,0,0,-15.281151519403043,5.2649510834524715,
1,-4.803080342024903,GO:0006816,M1,1,0,GO Biological Processes,19,calcium ion transport,19_GO:0051179 localization,-4.803080342024903,2.647854494598906,5.0732838158089235,30293,254,1081,24,2.2201665124884364,0.4481305725885036,490|491|492|775|785|1909|2903|3356|3708|5310|5530|5579|6262|7222|9254|10369|23236|25769|57620|59283|79041|80036|123041|286097,ATP2B1|ATP2B2|ATP2B3|CACNA1C|CACNB4|EDNRA|GRIN2A|HTR2A|ITPR1|PKD1|PPP3CA|PRKCB|RYR2|TRPC3|CACNA2D2|CACNG2|PLCB1|SLC24A2|STIM2|CACNG8|TMEM38A|TRPM3|SLC24A4|MICU3,-2.445145495024449,0,1,0,0,-15.281151519403043,5.2649510834524715,
1,-4.2114882279152885,GO:0019725,M1,1,0,GO Biological Processes,19,cellular homeostasis,19_GO:0042592 homeostatic process,-4.2114882279152885,1.8544716221363662,4.335179377312071,30293,680,1081,45,4.162812210915819,0.6075018344046583,490|491|492|495|785|1909|2030|2744|2784|3356|3416|3658|3708|3745|4609|5290|5291|5530|5579|6262|6553|6833|7222|9498|9572|10891|22954|23498|23516|25769|27020|51022|55088|55294|56172|57468|57620|64116|79572|83697|84561|94101|120892|123041|286097,ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNB4|EDNRA|SLC29A1|GLS|GNB3|HTR2A|IDE|IREB2|ITPR1|KCNB1|MYC|PIK3CA|PIK3CB|PPP3CA|PRKCB|RYR2|SLC9A5|ABCC8|TRPC3|SLC4A8|NR1D1|PPARGC1A|TRIM32|HAAO|SLC39A14|SLC24A2|NPTN|GLRX2|CCDC186|FBXW7|ANKH|SLC12A5|STIM2|SLC39A8|ATP13A3|SLC4A9|SLC12A8|ORMDL1|LRRK2|SLC24A4|MICU3,-1.9930508376940597,0,1,0,0,-15.281151519403043,5.2649510834524715,
