Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0098660,inorganic ion transmembrane transport,19_GO:0051179 localization,-14,3,9.5,30293,724,889,64,7.2,0.87,292|357|490|491|492|495|775|785|1346|1909|2554|2561|2566|2567|2743|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|6262|6323|6324|6330|6553|6616|7222|8604|9196|9254|9377|9498|10369|23236|23415|23516|25769|30818|51312|55244|56479|57084|57468|57620|59283|64116|79041|79815|81033|84561|144453|169522|219527|286097|348980,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GABRA1|GABRB2|GABRG2|GABRG3|GLRB|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC47A1|KCNQ5|SLC17A6|SLC12A5|STIM2|CACNG8|SLC39A8|TMEM38A|NIPAL2|KCNH6|SLC12A8|BEST3|KCNV2|LRRC55|MICU3|HCN1,-10
MyList,GO Biological Processes,19,GO:0098655,monoatomic cation transmembrane transport,19_GO:0051179 localization,-14,3.1,9.5,30293,644,889,59,6.6,0.83,292|357|490|491|492|495|775|785|1346|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|6262|6323|6324|6330|6553|6616|7222|8604|9196|9254|9377|9498|10369|23236|23415|23516|25769|30818|51312|55244|56479|57084|57468|57620|59283|64116|79041|79572|79815|81033|84561|169522|219527|286097|348980,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC47A1|KCNQ5|SLC17A6|SLC12A5|STIM2|CACNG8|SLC39A8|TMEM38A|ATP13A3|NIPAL2|KCNH6|SLC12A8|KCNV2|LRRC55|MICU3|HCN1,-10
MyList,GO Biological Processes,19,GO:0098662,inorganic cation transmembrane transport,19_GO:0051179 localization,-14,3.1,9.5,30293,628,889,58,6.5,0.83,292|357|490|491|492|495|775|785|1346|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|6262|6323|6324|6330|6553|6616|7222|8604|9196|9254|9377|9498|10369|23236|23415|23516|25769|30818|51312|55244|56479|57084|57468|57620|59283|64116|79041|79815|81033|84561|169522|219527|286097|348980,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC47A1|KCNQ5|SLC17A6|SLC12A5|STIM2|CACNG8|SLC39A8|TMEM38A|NIPAL2|KCNH6|SLC12A8|KCNV2|LRRC55|MICU3|HCN1,-10
MyList,GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0050789 regulation of biological process,-13,3.6,9.6,30293,460,889,48,5.4,0.76,673|785|1821|2554|2561|2566|2567|2743|2744|2903|2908|3274|3355|3356|3708|3749|3798|4155|4208|5179|5530|5579|5581|5816|6197|6616|6620|7402|8224|8825|9229|9699|10814|10815|22987|23236|23551|56122|57084|57468|91683|93664|112755|120892|127833|388135|415117|440279,BRAF|CACNB4|DRP2|GABRA1|GABRB2|GABRG2|GABRG3|GLRB|GLS|GRIN2A|NR3C1|HRH2|HTR1F|HTR2A|ITPR1|KCNC4|KIF5A|MBP|MEF2C|PENK|PPP3CA|PRKCB|PRKCE|PVALB|RPS6KA3|SNAP25|SNCB|UTRN|SYN3|LIN7A|DLGAP1|RIMS2|CPLX2|CPLX1|SV2C|PLCB1|RASD2|PCDHB14|SLC17A6|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|INSYN1|STX19|UNC13C,-9.9
MyList,GO Biological Processes,19,GO:0016310,phosphorylation,19_GO:0008152 metabolic process,-13,2.9,9.1,30293,720,889,62,7,0.85,673|816|818|898|1024|1159|1386|2042|2242|2322|2710|2872|3717|4145|4233|4293|5218|5290|5291|5292|5310|5579|5581|5597|5602|5608|5871|5979|6197|6732|6787|7150|8621|8997|8999|9064|9175|9201|9475|9891|10000|10645|22848|22853|23012|25778|27330|30811|51719|51727|53354|57118|64781|80271|84254|120892|124923|130399|146057|283455|375449|548596,BRAF|CAMK2B|CAMK2G|CCNE1|CDK8|CKMT1B|ATF2|EPHA3|FES|FLT3|GK|MKNK2|JAK2|MATK|MET|MAP3K9|CDK14|PIK3CA|PIK3CB|PIM1|PKD1|PRKCB|PRKCE|MAPK6|MAPK10|MAP2K6|MAP4K2|RET|RPS6KA3|SRPK1|NEK4|TOP1|CDK13|KALRN|CDKL2|MAP3K6|MAP3K13|DCLK1|ROCK2|NUAK1|AKT3|CAMKK2|AAK1|LMTK2|STK38L|DSTYK|RPS6KA6|HUNK|CAB39|CMPK1|PANK1|CAMK1D|CERK|ITPKC|CAMKK1|LRRK2|RSKR|ACVR1C|TTBK2|KSR2|MAST4|CKMT1A,-9.8
MyList,GO Biological Processes,19,GO:0030001,metal ion transport,19_GO:0051179 localization,-13,3.1,9.1,30293,636,889,57,6.4,0.82,357|490|491|492|495|775|785|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|5530|5579|6262|6323|6324|6330|6553|6616|7222|9196|9254|9498|10369|22853|23236|23415|23516|25769|30818|51312|54407|56479|57084|57468|57620|59283|64116|79041|79815|81033|84561|169522|219527|286097|348980,SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|PPP3CA|PRKCB|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|TRPC3|KCNAB3|CACNA2D2|SLC4A8|CACNG2|LMTK2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC38A2|KCNQ5|SLC17A6|SLC12A5|STIM2|CACNG8|SLC39A8|TMEM38A|NIPAL2|KCNH6|SLC12A8|KCNV2|LRRC55|MICU3|HCN1,-9.6
MyList,GO Biological Processes,19,GO:0006812,monoatomic cation transport,19_GO:0051179 localization,-12,2.7,8.6,30293,781,889,63,7.1,0.86,292|357|490|491|492|495|775|785|1346|1909|2903|3356|3708|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|5310|5530|5579|6262|6323|6324|6330|6553|6616|7222|8604|9196|9254|9377|9498|10369|22853|23236|23415|23516|25769|30818|51312|54407|55244|56479|57084|57468|57620|59283|64116|79041|79572|79815|81033|84561|169522|219527|286097|348980,SLC25A5|SHROOM2|ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|EDNRA|GRIN2A|HTR2A|ITPR1|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|PKD1|PPP3CA|PRKCB|RYR2|SCN1A|SCN1B|SCN4B|SLC9A5|SNAP25|TRPC3|SLC25A12|KCNAB3|CACNA2D2|COX5A|SLC4A8|CACNG2|LMTK2|PLCB1|KCNH4|SLC39A14|SLC24A2|KCNIP3|SLC25A37|SLC38A2|SLC47A1|KCNQ5|SLC17A6|SLC12A5|STIM2|CACNG8|SLC39A8|TMEM38A|ATP13A3|NIPAL2|KCNH6|SLC12A8|KCNV2|LRRC55|MICU3|HCN1,-8.9
MyList,GO Biological Processes,19,GO:0007268,chemical synaptic transmission,19_GO:0050789 regulation of biological process,-12,3.5,9,30293,414,889,43,4.8,0.72,673|785|2554|2561|2566|2567|2743|2744|2903|2908|3274|3355|3356|3749|3798|4155|4208|5179|5530|5581|5816|6197|6616|6620|8224|8825|9229|9699|10814|10815|22987|23551|56122|57084|57468|91683|93664|112755|120892|127833|388135|415117|440279,BRAF|CACNB4|GABRA1|GABRB2|GABRG2|GABRG3|GLRB|GLS|GRIN2A|NR3C1|HRH2|HTR1F|HTR2A|KCNC4|KIF5A|MBP|MEF2C|PENK|PPP3CA|PRKCE|PVALB|RPS6KA3|SNAP25|SNCB|SYN3|LIN7A|DLGAP1|RIMS2|CPLX2|CPLX1|SV2C|RASD2|PCDHB14|SLC17A6|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|INSYN1|STX19|UNC13C,-8.8
MyList,GO Biological Processes,19,GO:0098916,anterograde trans-synaptic signaling,19_GO:0050789 regulation of biological process,-12,3.5,9,30293,414,889,43,4.8,0.72,673|785|2554|2561|2566|2567|2743|2744|2903|2908|3274|3355|3356|3749|3798|4155|4208|5179|5530|5581|5816|6197|6616|6620|8224|8825|9229|9699|10814|10815|22987|23551|56122|57084|57468|91683|93664|112755|120892|127833|388135|415117|440279,BRAF|CACNB4|GABRA1|GABRB2|GABRG2|GABRG3|GLRB|GLS|GRIN2A|NR3C1|HRH2|HTR1F|HTR2A|KCNC4|KIF5A|MBP|MEF2C|PENK|PPP3CA|PRKCE|PVALB|RPS6KA3|SNAP25|SNCB|SYN3|LIN7A|DLGAP1|RIMS2|CPLX2|CPLX1|SV2C|RASD2|PCDHB14|SLC17A6|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|INSYN1|STX19|UNC13C,-8.8
MyList,GO Biological Processes,19,GO:0071805,potassium ion transmembrane transport,19_GO:0051179 localization,-12,5.4,9.8,30293,165,889,26,2.9,0.57,495|3736|3737|3745|3746|3748|3749|3756|3760|3787|3788|6553|6616|9196|23415|25769|30818|56479|57084|57468|79041|81033|84561|169522|219527|348980,ATP4A|KCNA1|KCNA2|KCNB1|KCNC1|KCNC3|KCNC4|KCNH1|KCNJ3|KCNS1|KCNS2|SLC9A5|SNAP25|KCNAB3|KCNH4|SLC24A2|KCNIP3|KCNQ5|SLC17A6|SLC12A5|TMEM38A|KCNH6|SLC12A8|KCNV2|LRRC55|HCN1,-8.4
