Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
6000,3.0,1,1,1
9118,3.0,1,1,1
8482,3.0,1,1,1
1382,3.0,1,1,1
51167,3.0,1,1,1
55212,3.0,1,1,1
1040,3.0,1,1,1
6899,3.0,1,1,1
653489,3.0,1,1,1
5806,3.0,1,1,1
84709,3.0,1,1,1
4802,3.0,1,1,1
6456,3.0,1,1,1
79809,3.0,1,1,1
144165,3.0,1,1,1
5500,3.0,1,1,1
120892,3.0,1,1,1
2354,3.0,1,1,1
6949,3.0,1,1,1
6262,3.0,1,1,1
7150,3.0,1,1,1
56925,3.0,1,1,1
5291,3.0,1,1,1
84251,3.0,1,1,1
6095,3.0,1,1,1
7447,3.0,1,1,1
10445,3.0,1,1,1
7074,3.0,1,1,1
9462,3.0,1,1,1
22954,3.0,1,1,1
818,3.0,1,1,1
9912,3.0,1,1,1
3575,3.0,1,1,1
4744,3.0,1,1,1
4205,3.0,1,1,1
130399,3.0,1,1,1
9201,3.0,1,1,1
406,3.0,1,1,1
4363,3.0,1,1,1
23498,3.0,1,1,1
2561,3.0,1,1,1
491,3.0,1,1,1
9975,3.0,1,1,1
23409,3.0,1,1,1
7019,3.0,1,1,1
56479,3.0,1,1,1
2259,3.0,1,1,1
10891,3.0,1,1,1
3612,3.0,1,1,1
91584,3.0,1,1,1
55753,3.0,1,1,1
79048,3.0,1,1,1
55638,3.0,1,1,1
4837,3.0,1,1,1
55006,3.0,1,1,1
23316,3.0,1,1,1
2566,3.0,1,1,1
4609,3.0,1,1,1
129401,3.0,1,1,1
3633,3.0,1,1,1
51805,3.0,1,1,1
114907,3.0,1,1,1
23767,3.0,1,1,1
92840,3.0,1,1,1
112755,3.0,1,1,1
284001,3.0,1,1,1
27163,3.0,1,1,1
2567,3.0,1,1,1
2903,3.0,1,1,1
25769,3.0,1,1,1
10000,3.0,1,1,1
9175,3.0,1,1,1
158038,3.0,1,1,1
53335,3.0,1,1,1
3788,3.0,1,1,1
30818,3.0,1,1,1
55691,3.0,1,1,1
3841,3.0,1,1,1
2908,3.0,1,1,1
23616,3.0,1,1,1
51719,3.0,1,1,1
84541,3.0,1,1,1
6323,3.0,1,1,1
54715,3.0,1,1,1
4957,3.0,1,1,1
9645,3.0,1,1,1
7704,3.0,1,1,1
5581,3.0,1,1,1
51571,3.0,1,1,1
7473,3.0,1,1,1
6330,3.0,1,1,1
4354,3.0,1,1,1
3084,3.0,1,1,1
9498,3.0,1,1,1
5771,3.0,1,1,1
673,3.0,1,1,1
143098,3.0,1,1,1
6616,3.0,1,1,1
91683,3.0,1,1,1
3737,3.0,1,1,1
148022,3.0,1,1,1
10536,3.0,1,1,1
79058,3.0,1,1,1
55244,3.0,1,1,1
1996,3.0,1,1,1
602,3.0,1,1,1
55835,3.0,1,1,1
22987,3.0,1,1,1
9759,3.0,1,1,1
4987,3.0,1,1,1
9475,3.0,1,1,1
10370,3.0,1,1,1
54437,3.0,1,1,1
55681,3.0,1,1,1
23432,3.0,1,1,1
116255,3.0,1,1,1
85301,3.0,1,1,1
56894,3.0,1,1,1
5290,3.0,1,1,1
775,3.0,1,1,1
23516,3.0,1,1,1
8224,3.0,1,1,1
816,3.0,1,1,1
55203,3.0,1,1,1
490,3.0,1,1,1
26005,3.0,1,1,1
23345,3.0,1,1,1
2104,3.0,1,1,1
23236,3.0,1,1,1
27020,3.0,1,1,1
7222,3.0,1,1,1
8646,3.0,1,1,1
2744,3.0,1,1,1
284058,3.0,1,1,1
64216,3.0,1,1,1
9892,3.0,1,1,1
9265,3.0,1,1,1
8825,3.0,1,1,1
57118,3.0,1,1,1
9196,3.0,1,1,1
51299,3.0,1,1,1
9572,3.0,1,1,1
51727,3.0,1,1,1
1620,3.0,1,1,1
10514,3.0,1,1,1
10815,3.0,1,1,1
10814,3.0,1,1,1
1305,3.0,1,1,1
3717,3.0,1,1,1
3708,3.0,1,1,1
4233,3.0,1,1,1
342667,3.0,1,1,1
2717,3.0,1,1,1
84258,3.0,1,1,1
1289,3.0,1,1,1
8604,3.0,1,1,1
133522,3.0,1,1,1
27342,3.0,1,1,1
2254,3.0,1,1,1
9482,3.0,1,1,1
80271,3.0,1,1,1
3736,3.0,1,1,1
2101,3.0,1,1,1
3745,3.0,1,1,1
8817,3.0,1,1,1
10716,3.0,1,1,1
3667,3.0,1,1,1
23072,3.0,1,1,1
3746,3.0,1,1,1
2274,3.0,1,1,1
5292,3.0,1,1,1
84230,3.0,1,1,1
85442,3.0,1,1,1
3787,3.0,1,1,1
84803,3.0,1,1,1
126695,3.0,1,1,1
956,3.0,1,1,1
79659,3.0,1,1,1
415117,3.0,1,1,1
84896,3.0,1,1,1
8452,3.0,1,1,1
165679,3.0,1,1,1
55088,3.0,1,1,1
639,3.0,1,1,1
3196,3.0,1,1,1
3416,3.0,1,1,1
1893,3.0,1,1,1
51174,3.0,1,1,1
22848,3.0,1,1,1
8553,3.0,1,1,1
54938,3.0,1,1,1
25791,3.0,1,1,1
55054,3.0,1,1,1
642658,3.0,1,1,1
1775,3.0,1,1,1
2355,3.0,1,1,1
2023,3.0,1,1,1
2710,3.0,1,1,1
348980,3.0,1,1,1
10560,3.0,1,1,1
26230,3.0,1,1,1
153,3.0,1,1,1
285190,3.0,1,1,1
6324,3.0,1,1,1
131034,3.0,1,1,1
342184,3.0,1,1,1
25946,3.0,1,1,1
3356,3.0,1,1,1
5530,3.0,1,1,1
201475,3.0,1,1,1
91746,3.0,1,1,1
80119,3.0,1,1,1
492,3.0,1,1,1
7849,3.0,1,1,1
1386,3.0,1,1,1
9699,3.0,1,1,1
22890,3.0,1,1,1
1523,3.0,1,1,1
151835,3.0,1,1,1
495,3.0,1,1,1
8440,3.0,1,1,1
145389,3.0,1,1,1
5597,3.0,1,1,1
59283,3.0,1,1,1
5915,3.0,1,1,1
2042,3.0,1,1,1
9218,3.0,1,1,1
127833,3.0,1,1,1
79675,3.0,1,1,1
117178,3.0,1,1,1
93986,3.0,1,1,1
8501,3.0,1,1,1
9120,3.0,1,1,1
4157,3.0,1,1,1
785,3.0,1,1,1
4208,3.0,1,1,1
93664,3.0,1,1,1
4824,3.0,1,1,1
9747,3.0,1,1,1
1113,3.0,1,1,1
57084,3.0,1,1,1
3798,3.0,1,1,1
1909,3.0,1,1,1
1958,3.0,1,1,1
57620,3.0,1,1,1
80168,3.0,1,1,1
2554,3.0,1,1,1
10369,3.0,1,1,1
5579,3.0,1,1,1
57333,3.0,1,1,1
57512,3.0,1,1,1
81033,3.0,1,1,1
1946,3.0,1,1,1
9935,3.0,1,1,1
3756,3.0,1,1,1
2242,3.0,1,1,1
338811,3.0,1,1,1
9852,3.0,1,1,1
286205,3.0,1,1,1
5608,3.0,1,1,1
5743,3.0,1,1,1
84612,3.0,1,1,1
53371,3.0,1,1,1
