_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-8.8,GO:0034330,cell junction organization,M1,1,0
1,-3.3,GO:0007159,leukocyte cell-cell adhesion,M1,1,0
1,-4.1,GO:0022010,central nervous system myelination,M1,1,0
1,-3.7,GO:0043651,linoleic acid metabolic process,M1,1,0
1,-6.5,GO:1903532,positive regulation of secretion by cell,M1,1,0
1,-2.3,GO:0043473,pigmentation,M1,1,0
1,-2,GO:0051016,barbed-end actin filament capping,M1,1,0
1,-2.8,GO:0031647,regulation of protein stability,M1,1,0
1,-5,GO:0002220,innate immune response activating cell surface receptor signaling pathway,M1,1,0
1,-3.2,GO:1901616,organic hydroxy compound catabolic process,M1,1,0
1,-2.9,GO:0071638,negative regulation of monocyte chemotactic protein-1 production,M1,1,0
1,-4.6,GO:0046634,regulation of alpha-beta T cell activation,M1,1,0
1,-7.4,GO:0043009,chordate embryonic development,M1,1,0
1,-2.3,GO:1990845,adaptive thermogenesis,M1,1,0
1,-3.7,GO:0061333,renal tubule morphogenesis,M1,1,0
1,-6.8,GO:1901606,alpha-amino acid catabolic process,M1,1,0
1,-2.3,GO:0046456,icosanoid biosynthetic process,M1,1,0
1,-4.6,GO:0048608,reproductive structure development,M1,1,0
1,-2.1,GO:0002088,lens development in camera-type eye,M1,1,0
1,-4.9,GO:0040007,growth,M1,1,0
1,-6.3,GO:0072210,metanephric nephron development,M1,1,0
1,-2.9,GO:0007219,Notch signaling pathway,M1,1,0
1,-3.7,GO:0098739,import across plasma membrane,M1,1,0
1,-2.5,GO:0090263,positive regulation of canonical Wnt signaling pathway,M1,1,0
1,-2.4,GO:1901361,organic cyclic compound catabolic process,M1,1,0
1,-4.4,GO:0048736,appendage development,M1,1,0
1,-4.9,GO:0061061,muscle structure development,M1,1,0
1,-7.3,GO:1903706,regulation of hemopoiesis,M1,1,0
1,-5.7,GO:0046165,alcohol biosynthetic process,M1,1,0
1,-4.2,GO:0002064,epithelial cell development,M1,1,0
1,-2.3,GO:0043405,regulation of MAP kinase activity,M1,1,0
1,-9,GO:0051960,regulation of nervous system development,M1,1,0
1,-2.2,GO:0018108,peptidyl-tyrosine phosphorylation,M1,1,0
1,-2,GO:0046129,purine ribonucleoside biosynthetic process,M1,1,0
1,-2.4,GO:0035188,hatching,M1,1,0
1,-4.6,GO:0002758,innate immune response-activating signaling pathway,M1,1,0
1,-2.6,GO:0050869,negative regulation of B cell activation,M1,1,0
1,-2.6,GO:0032808,lacrimal gland development,M1,1,0
1,-3.3,GO:0001818,negative regulation of cytokine production,M1,1,0
1,-2.4,GO:0014002,astrocyte development,M1,1,0
1,-4.3,GO:1905906,regulation of amyloid fibril formation,M1,1,0
1,-6.3,GO:0007610,behavior,M1,1,0
1,-3.8,GO:0071216,cellular response to biotic stimulus,M1,1,0
1,-11,GO:0072001,renal system development,M1,1,0
1,-3.7,GO:0001973,G protein-coupled adenosine receptor signaling pathway,M1,1,0
1,-2.5,GO:0060074,synapse maturation,M1,1,0
1,-2.2,GO:0042113,B cell activation,M1,1,0
1,-2.1,GO:0051146,striated muscle cell differentiation,M1,1,0
1,-2.3,GO:0046850,regulation of bone remodeling,M1,1,0
1,-2.6,GO:0006465,signal peptide processing,M1,1,0
1,-4.9,GO:0002009,morphogenesis of an epithelium,M1,1,0
1,-2.1,GO:0050852,T cell receptor signaling pathway,M1,1,0
1,-2.3,GO:0006959,humoral immune response,M1,1,0
1,-2.1,GO:0001523,retinoid metabolic process,M1,1,0
1,-5.2,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,M1,1,0
1,-13,GO:0007167,enzyme-linked receptor protein signaling pathway,M1,1,0
1,-2.8,GO:1903055,positive regulation of extracellular matrix organization,M1,1,0
1,-8.1,GO:0002757,immune response-activating signaling pathway,M1,1,0
1,-2,GO:0019318,hexose metabolic process,M1,1,0
1,-6.9,GO:0001656,metanephros development,M1,1,0
1,-2.9,GO:1903972,regulation of cellular response to macrophage colony-stimulating factor stimulus,M1,1,0
1,-3.9,GO:0035270,endocrine system development,M1,1,0
1,-5.4,GO:0008015,blood circulation,M1,1,0
1,-2.5,GO:0002792,negative regulation of peptide secretion,M1,1,0
1,-2.7,GO:0030833,regulation of actin filament polymerization,M1,1,0
