_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-20.08223858977131,GO:0032502,developmental process,M1,1,GO:0042063 gliogenesis
1,-16.193701723132335,GO:0008152,metabolic process,M1,1,GO:0044282 small molecule catabolic process
1,-14.94937470072169,GO:0002376,immune system process,M1,1,GO:0002274 myeloid leukocyte activation
1,-14.721391846324275,GO:0032501,multicellular organismal process,M1,1,GO:0001775 cell activation
1,-13.326345691317313,GO:0050896,response to stimulus,M1,1,GO:0009611 response to wounding
1,-13.168711412730277,GO:0048519,negative regulation of biological process,M1,1,GO:0008285 negative regulation of cell population proliferation
1,-12.890778600909861,GO:0051179,localization,M1,1,GO:0051046 regulation of secretion
1,-11.72373448546707,GO:0048518,positive regulation of biological process,M1,1,GO:0032103 positive regulation of response to external stimulus
1,-10.862832451559946,GO:0009987,cellular process,M1,1,GO:0030029 actin filament-based process
1,-10.536919729693128,GO:0040011,locomotion,M1,1,GO:0030335 positive regulation of cell migration
1,-10.438782840689452,GO:0065007,biological regulation,M1,1,GO:0010817 regulation of hormone levels
1,-9.344351733417634,GO:0042592,homeostatic process,M1,1,GO:0019725 cellular homeostasis
1,-8.793301400550098,GO:0050789,regulation of biological process,M1,1,GO:2000177 regulation of neural precursor cell proliferation
1,-7.501003080191767,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0045087 innate immune response
1,-7.006313964394308,GO:0098754,detoxification,M1,1,GO:0010273 detoxification of copper ion
1,-5.632193503634445,GO:0040007,growth,M1,1,GO:0045926 negative regulation of growth
1,-4.572146834900318,GO:0022414,reproductive process,M1,1,GO:0048608 reproductive structure development
1,-2.7969044563551755,GO:0016032,viral process,M1,1,GO:0019058 viral life cycle
1,-2.704377860929519,GO:0043473,pigmentation,M1,1,GO:0030318 melanocyte differentiation
1,-2.208547948955048,GO:0051703,biological process involved in intraspecies interaction between organisms,M1,1,GO:0035176 social behavior
1,-2.0582682523608713,GO:0048511,rhythmic process,M1,1,GO:0042698 ovulation cycle
