Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0042063,gliogenesis,19_GO:0032502 developmental process,-21,5.1,13,30293,271,1095,50,4.6,0.63,712|928|1191|1436|1462|1463|1464|1605|2247|2670|2737|2824|2840|3400|3691|3766|4067|4693|4774|5028|5080|5595|5663|5803|6608|6657|6662|6663|7097|7099|7101|8613|9283|9289|9444|10215|26227|28999|30812|54209|54587|56288|63827|64805|79143|79885|90865|116448|146433|388585,C1QA|CD9|CLU|CSF1R|VCAN|NCAN|CSPG4|DAG1|FGF2|GFAP|GLI3|GPM6B|GPR17|ID4|ITGB4|KCNJ10|LYN|NDP|NFIA|P2RY1|PAX6|MAPK3|PSEN1|PTPRZ1|SMO|SOX2|SOX9|SOX10|TLR2|TLR4|NR2E1|PLPP3|GPR37L1|ADGRG1|QKI|OLIG2|PHGDH|KLF15|SOX8|TREM2|MXRA8|PARD3|BCAN|P2RY12|MBOAT7|HDAC11|IL33|OLIG1|IL34|HES5,-17
MyList,GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-19,3.1,11,30293,722,1095,81,7.4,0.79,71|100|136|199|430|596|613|677|678|712|865|928|952|975|1191|1465|1524|1525|2000|2214|2534|2697|2737|2922|3684|3689|3696|3821|3936|3955|3988|4067|4478|4495|4853|5028|5052|5156|5293|5336|5580|5663|5788|6284|6404|6608|6814|6850|7096|7097|7098|7099|7305|7409|7462|8325|8934|9111|10672|10758|23657|25793|25800|28984|29071|29760|54209|54361|54518|55619|55636|57580|57678|57705|64805|79626|84466|84868|90865|112616|284021,ACTG1|ADA|ADORA2B|AIF1|ASCL2|BCL2|BCR|ZFP36L1|ZFP36L2|C1QA|CBFB|CD9|CD38|CD81|CLU|CSRP1|CX3CR1|CXADR|ELF4|FCGR3A|FYN|GJA1|GLI3|GRP|ITGAM|ITGB2|ITGB8|KLRC1|LCP1|LFNG|LIPA|LYN|MSN|MT1G|NOTCH2|P2RY1|PRDX1|PDGFRA|PIK3CD|PLCG2|PRKCD|PSEN1|PTPRC|S100A13|SELPLG|SMO|STXBP3|SYK|TLR1|TLR2|TLR3|TLR4|TYROBP|VAV1|LAT2|FZD8|RAB29|NMI|GNA13|TRAF3IP2|SLC7A11|FBXO7|SLC39A6|RGCC|C1GALT1C1|BLNK|TREM2|WNT4|APBB1IP|DOCK10|CHD7|PREX1|GPAM|WDFY4|P2RY12|TNFAIP8L2|MEGF10|HAVCR2|IL33|CMTM7|MILR1,-15
MyList,GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0008152 metabolic process,-19,4.2,12,30293,352,1095,54,4.9,0.65,30|100|217|594|1376|1593|1666|1891|2023|2109|2110|2184|2530|2639|2746|2747|2752|3028|3032|3033|3073|3155|3712|4329|4357|4860|5211|5446|5625|7263|8309|8630|8644|8659|10247|10449|10455|10840|10993|23576|26275|27233|51071|51084|55258|55577|56898|84696|84706|84750|130589|137872|197257|414328,ACAA1|ADA|ALDH2|BCKDHB|CPT2|CYP27A1|DECR1|ECH1|ENO1|ETFB|ETFDH|FAH|FUT8|GCDH|GLUD1|GLUD2|GLUL|HSD17B10|HADHB|HADH|HEXA|HMGCL|IVD|ALDH6A1|MPST|PNP|PFKL|PON3|PRODH|TST|ACOX2|HSD17B6|AKR1C3|ALDH4A1|RIDA|ACAA2|ECI2|ALDH1L1|SDS|DDAH1|HIBCH|SULT1C4|DERA|CRYL1|THNSL2|NAGK|BDH2|ABHD1|GPT2|FUT10|GALM|ADHFE1|LDHD|IDNK,-15
MyList,GO Biological Processes,19,GO:0010001,glial cell differentiation,19_GO:0032502 developmental process,-18,5.3,12,30293,215,1095,41,3.7,0.57,712|1191|1462|1463|1605|2247|2670|2737|2824|2840|3400|3691|3766|4067|4693|4774|5080|5595|5663|5803|6608|6657|6662|6663|7097|7099|7101|8613|9283|9444|10215|26227|28999|30812|54209|54587|56288|63827|79885|116448|388585,C1QA|CLU|VCAN|NCAN|DAG1|FGF2|GFAP|GLI3|GPM6B|GPR17|ID4|ITGB4|KCNJ10|LYN|NDP|NFIA|PAX6|MAPK3|PSEN1|PTPRZ1|SMO|SOX2|SOX9|SOX10|TLR2|TLR4|NR2E1|PLPP3|GPR37L1|QKI|OLIG2|PHGDH|KLF15|SOX8|TREM2|MXRA8|PARD3|BCAN|HDAC11|OLIG1|HES5,-14
MyList,GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0008152 metabolic process,-18,3.6,11,30293,463,1095,61,5.6,0.69,100|240|241|873|1593|1717|1718|1841|2023|2222|2628|2746|2747|2752|2946|2950|3028|3155|3157|3422|3988|3992|4047|4860|5092|5336|5360|5947|5950|6720|6850|8309|8644|8850|8912|9104|9200|9415|9444|10170|10449|10993|23205|23743|26227|29920|51478|54988|55256|55258|56952|63826|65263|79966|84532|84696|92126|113189|116150|171546|256987,ADA|ALOX5|ALOX5AP|CBR1|CYP27A1|DHCR7|DHCR24|DTYMK|ENO1|FDFT1|GATM|GLUD1|GLUD2|GLUL|GSTM2|GSTP1|HSD17B10|HMGCL|HMGCS1|IDI1|LIPA|FADS1|LSS|PNP|PCBD1|PLCG2|PLTP|RBP1|RBP4|SREBF1|SYK|ACOX2|AKR1C3|KAT2B|CACNA1H|RGN|HACD1|FADS2|QKI|DHRS9|ACAA2|SDS|ACSBG1|BHMT2|PHGDH|PYCR2|HSD17B7|ACSM5|ADI1|THNSL2|PRTFDC1|SRR|PYCR3|SCD5|ACSS1|ABHD1|DSEL|CHST14|NUS1|SPTSSA|SERINC5,-14
MyList,GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-17,3.4,11,30293,516,1095,64,5.8,0.71,30|240|241|718|873|1376|1573|1593|1622|1666|1891|2023|2052|2109|2110|2184|2628|2639|2946|2950|3028|3032|3033|3073|3141|3418|3712|3988|3992|4199|5211|5947|8309|8644|9200|9415|9444|10170|10449|10455|10993|23205|26227|51084|54988|55258|55526|56898|57678|59342|63826|79966|80221|80339|81888|84532|84696|92126|113189|145482|197257|285440|414149|414328,ACAA1|ALOX5|ALOX5AP|C3|CBR1|CPT2|CYP2J2|CYP27A1|DBI|DECR1|ECH1|ENO1|EPHX1|ETFB|ETFDH|FAH|GATM|GCDH|GSTM2|GSTP1|HSD17B10|HADHB|HADH|HEXA|HLCS|IDH2|IVD|LIPA|FADS1|ME1|PFKL|RBP1|ACOX2|AKR1C3|HACD1|FADS2|QKI|DHRS9|ACAA2|ECI2|SDS|ACSBG1|PHGDH|CRYL1|ACSM5|THNSL2|DHTKD1|BDH2|GPAM|SCPEP1|SRR|SCD5|ACSF2|PNPLA3|HYI|ACSS1|ABHD1|DSEL|CHST14|PTGR2|LDHD|CYP4V2|ACBD7|IDNK,-14
MyList,GO Biological Processes,19,GO:0002274,myeloid leukocyte activation,19_GO:0002376 immune system process,-17,6.2,12,30293,152,1095,34,3.1,0.52,136|199|613|712|1191|1524|2214|2922|3684|3689|3696|4067|4495|4853|5293|5336|5580|5663|6284|6814|6850|7096|7097|7098|7099|7305|7462|9111|10758|54209|57580|84868|90865|284021,ADORA2B|AIF1|BCR|C1QA|CLU|CX3CR1|FCGR3A|GRP|ITGAM|ITGB2|ITGB8|LYN|MT1G|NOTCH2|PIK3CD|PLCG2|PRKCD|PSEN1|S100A13|STXBP3|SYK|TLR1|TLR2|TLR3|TLR4|TYROBP|LAT2|NMI|TRAF3IP2|TREM2|PREX1|HAVCR2|IL33|MILR1,-14
MyList,GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-17,3.2,10,30293,598,1095,69,6.3,0.73,100|136|199|430|596|613|677|678|712|865|952|975|1191|1524|1525|2000|2214|2534|2697|2737|2922|3684|3689|3696|3821|3936|3955|3988|4067|4478|4495|4853|5052|5293|5336|5580|5663|5788|6284|6404|6814|6850|7096|7097|7098|7099|7305|7409|7462|8325|8934|9111|10758|25793|25800|29760|54209|54361|54518|55619|55636|57580|57678|57705|79626|84868|90865|112616|284021,ADA|ADORA2B|AIF1|ASCL2|BCL2|BCR|ZFP36L1|ZFP36L2|C1QA|CBFB|CD38|CD81|CLU|CX3CR1|CXADR|ELF4|FCGR3A|FYN|GJA1|GLI3|GRP|ITGAM|ITGB2|ITGB8|KLRC1|LCP1|LFNG|LIPA|LYN|MSN|MT1G|NOTCH2|PRDX1|PIK3CD|PLCG2|PRKCD|PSEN1|PTPRC|S100A13|SELPLG|STXBP3|SYK|TLR1|TLR2|TLR3|TLR4|TYROBP|VAV1|LAT2|FZD8|RAB29|NMI|TRAF3IP2|FBXO7|SLC39A6|BLNK|TREM2|WNT4|APBB1IP|DOCK10|CHD7|PREX1|GPAM|WDFY4|TNFAIP8L2|HAVCR2|IL33|CMTM7|MILR1,-13
MyList,GO Biological Processes,19,GO:0046395,carboxylic acid catabolic process,19_GO:0008152 metabolic process,-16,4.9,12,30293,232,1095,41,3.7,0.57,30|594|1376|1666|1891|2109|2110|2184|2639|2746|2747|2752|3028|3032|3033|3073|3155|3712|4329|4357|5446|5625|7263|8309|8659|10247|10449|10455|10840|10993|23576|26275|51084|55258|55577|56898|84696|84706|137872|197257|414328,ACAA1|BCKDHB|CPT2|DECR1|ECH1|ETFB|ETFDH|FAH|GCDH|GLUD1|GLUD2|GLUL|HSD17B10|HADHB|HADH|HEXA|HMGCL|IVD|ALDH6A1|MPST|PON3|PRODH|TST|ACOX2|ALDH4A1|RIDA|ACAA2|ECI2|ALDH1L1|SDS|DDAH1|HIBCH|CRYL1|THNSL2|NAGK|BDH2|ABHD1|GPT2|ADHFE1|LDHD|IDNK,-13
MyList,GO Biological Processes,19,GO:0016054,organic acid catabolic process,19_GO:0008152 metabolic process,-16,4.9,12,30293,232,1095,41,3.7,0.57,30|594|1376|1666|1891|2109|2110|2184|2639|2746|2747|2752|3028|3032|3033|3073|3155|3712|4329|4357|5446|5625|7263|8309|8659|10247|10449|10455|10840|10993|23576|26275|51084|55258|55577|56898|84696|84706|137872|197257|414328,ACAA1|BCKDHB|CPT2|DECR1|ECH1|ETFB|ETFDH|FAH|GCDH|GLUD1|GLUD2|GLUL|HSD17B10|HADHB|HADH|HEXA|HMGCL|IVD|ALDH6A1|MPST|PON3|PRODH|TST|ACOX2|ALDH4A1|RIDA|ACAA2|ECI2|ALDH1L1|SDS|DDAH1|HIBCH|CRYL1|THNSL2|NAGK|BDH2|ABHD1|GPT2|ADHFE1|LDHD|IDNK,-13
