Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
3987,3.0,1,1,1
94241,3.0,1,1,1
55349,3.0,1,1,1
58189,3.0,1,1,1
2639,3.0,1,1,1
358,3.0,1,1,1
10449,3.0,1,1,1
388585,3.0,1,1,1
4493,3.0,1,1,1
64926,3.0,1,1,1
100,3.0,1,1,1
6494,3.0,1,1,1
143425,3.0,1,1,1
10170,3.0,1,1,1
10840,3.0,1,1,1
55366,3.0,1,1,1
2840,3.0,1,1,1
8912,3.0,1,1,1
3155,3.0,1,1,1
4983,3.0,1,1,1
2519,3.0,1,1,1
8897,3.0,1,1,1
5125,3.0,1,1,1
5092,3.0,1,1,1
5587,3.0,1,1,1
8325,3.0,1,1,1
285590,3.0,1,1,1
57153,3.0,1,1,1
113189,3.0,1,1,1
6261,3.0,1,1,1
58526,3.0,1,1,1
3821,3.0,1,1,1
2734,3.0,1,1,1
57630,3.0,1,1,1
79971,3.0,1,1,1
25800,3.0,1,1,1
57447,3.0,1,1,1
81839,3.0,1,1,1
5293,3.0,1,1,1
54886,3.0,1,1,1
594,3.0,1,1,1
22977,3.0,1,1,1
4489,3.0,1,1,1
27152,3.0,1,1,1
63826,3.0,1,1,1
6663,3.0,1,1,1
51478,3.0,1,1,1
392,3.0,1,1,1
3275,3.0,1,1,1
28996,3.0,1,1,1
6720,3.0,1,1,1
84334,3.0,1,1,1
56548,3.0,1,1,1
9531,3.0,1,1,1
7097,3.0,1,1,1
79143,3.0,1,1,1
51704,3.0,1,1,1
58190,3.0,1,1,1
3028,3.0,1,1,1
3689,3.0,1,1,1
54762,3.0,1,1,1
54209,3.0,1,1,1
2787,3.0,1,1,1
7096,3.0,1,1,1
8544,3.0,1,1,1
714,3.0,1,1,1
55589,3.0,1,1,1
10715,3.0,1,1,1
5648,3.0,1,1,1
8309,3.0,1,1,1
9535,3.0,1,1,1
9646,3.0,1,1,1
2550,3.0,1,1,1
397,3.0,1,1,1
9469,3.0,1,1,1
55601,3.0,1,1,1
116448,3.0,1,1,1
91851,3.0,1,1,1
26137,3.0,1,1,1
10226,3.0,1,1,1
19,3.0,1,1,1
154,3.0,1,1,1
284217,3.0,1,1,1
23328,3.0,1,1,1
3822,3.0,1,1,1
2742,3.0,1,1,1
9415,3.0,1,1,1
89846,3.0,1,1,1
1462,3.0,1,1,1
11020,3.0,1,1,1
55258,3.0,1,1,1
51191,3.0,1,1,1
