_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0009081,branched-chain amino acid metabolic process,M1,1,0
1,-2.1,GO:0010171,body morphogenesis,M1,1,0
1,-2.6,GO:0090189,regulation of branching involved in ureteric bud morphogenesis,M1,1,0
1,-2.1,GO:0031295,T cell costimulation,M1,1,0
1,-2.3,GO:1900182,positive regulation of protein localization to nucleus,M1,1,0
1,-2.4,GO:0072593,reactive oxygen species metabolic process,M1,1,0
1,-4.4,GO:0051222,positive regulation of protein transport,M1,1,0
1,-2.4,GO:0043549,regulation of kinase activity,M1,1,0
1,-3,GO:0010817,regulation of hormone levels,M1,1,0
1,-2.4,GO:0051338,regulation of transferase activity,M1,1,0
1,-3.1,GO:1904251,regulation of bile acid metabolic process,M1,1,0
1,-2.3,GO:0006259,DNA metabolic process,M1,1,0
1,-3.8,GO:0002478,antigen processing and presentation of exogenous peptide antigen,M1,1,0
1,-4.9,GO:0005996,monosaccharide metabolic process,M1,1,0
1,-2.8,GO:0048535,lymph node development,M1,1,0
1,-4.7,GO:0032787,monocarboxylic acid metabolic process,M1,1,0
1,-7,GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",M1,1,0
1,-2.3,GO:0042448,progesterone metabolic process,M1,1,0
1,-2,GO:0032984,protein-containing complex disassembly,M1,1,0
1,-2.2,GO:0051494,negative regulation of cytoskeleton organization,M1,1,0
1,-5.2,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-3.1,GO:0006909,phagocytosis,M1,1,0
1,-2.4,GO:0009896,positive regulation of catabolic process,M1,1,0
1,-3.8,GO:0051046,regulation of secretion,M1,1,0
1,-6.6,GO:0009991,response to extracellular stimulus,M1,1,0
1,-3.9,GO:0009132,nucleoside diphosphate metabolic process,M1,1,0
1,-3.7,GO:0006006,glucose metabolic process,M1,1,0
1,-4.7,GO:0090276,regulation of peptide hormone secretion,M1,1,0
1,-2.3,GO:0032368,regulation of lipid transport,M1,1,0
1,-3.8,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-2.5,GO:0140352,export from cell,M1,1,0
1,-2,GO:0009144,purine nucleoside triphosphate metabolic process,M1,1,0
