Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-12,3.4,8.8,30293,522,728,43,5.9,0.87,157|929|998|1601|1793|2060|4035|4041|4430|4615|4689|5290|5322|6453|6642|7099|7525|8867|8871|9322|9873|10059|10451|11031|22848|22876|23221|23301|26052|26130|27102|27131|51435|54453|54734|55707|57381|57403|57534|57720|80230|85377|201176,GRK3|CD14|CDC42|DAB2|DOCK1|EPS15|LRP1|LRP5|MYO1B|MYD88|NCF4|PIK3CA|PLA2G5|ITSN1|SNX1|TLR4|YES1|SYNJ1|SYNJ2|TRIP10|FCHSD2|DNM1L|VAV3|RAB31|AAK1|INPP5F|RHOBTB2|EHBP1|DNM3|GAPVD1|EIF2AK1|SNX5|SCARA3|RIN2|RAB39A|NECAP2|RHOJ|RAB22A|MIB1|GPR107|RUFY1|MICALL1|ARHGAP27,-7.4
MyList,GO Biological Processes,19,GO:0098657,import into cell,19_GO:0051179 localization,-9.8,2.8,7.7,30293,708,728,48,6.6,0.92,157|929|998|1601|1793|2060|3770|4035|4041|4430|4615|4689|5290|5322|6453|6539|6546|6573|6642|7099|7525|8867|8871|9322|9873|10059|10451|11031|22848|22876|23221|23301|26052|26130|27102|27131|51435|54453|54734|55707|57381|57403|57534|57720|80230|81031|85377|201176,GRK3|CD14|CDC42|DAB2|DOCK1|EPS15|KCNJ14|LRP1|LRP5|MYO1B|MYD88|NCF4|PIK3CA|PLA2G5|ITSN1|SLC6A12|SLC8A1|SLC19A1|SNX1|TLR4|YES1|SYNJ1|SYNJ2|TRIP10|FCHSD2|DNM1L|VAV3|RAB31|AAK1|INPP5F|RHOBTB2|EHBP1|DNM3|GAPVD1|EIF2AK1|SNX5|SCARA3|RIN2|RAB39A|NECAP2|RHOJ|RAB22A|MIB1|GPR107|RUFY1|SLC2A10|MICALL1|ARHGAP27,-5.9
MyList,GO Biological Processes,19,GO:0051223,regulation of protein transport,19_GO:0051179 localization,-8.6,3.2,7.4,30293,438,728,34,4.7,0.78,18|998|1445|2029|3059|3091|3123|3170|3625|4041|5208|5566|5573|5587|5781|5978|7043|7099|7175|7327|7341|7351|8660|9024|9695|10059|10434|10541|10956|26130|51128|51277|51738|163882,ABAT|CDC42|CSK|ENSA|HCLS1|HIF1A|HLA-DRB1|FOXA2|INHBB|LRP5|PFKFB2|PRKACA|PRKAR1A|PRKD1|PTPN11|REST|TGFB3|TLR4|TPR|UBE2G2|SUMO1|UCP2|IRS2|BRSK2|EDEM1|DNM1L|LYPLA1|ANP32B|OS9|GAPVD1|SAR1B|DNAJC27|GHRL|CNST,-4.9
MyList,GO Biological Processes,19,GO:0007264,small GTPase mediated signal transduction,19_GO:0050896 response to stimulus,-8.2,4,7.6,30293,262,728,25,3.4,0.67,390|394|998|1793|2059|2909|5906|5923|8844|9101|9826|10287|10451|10630|10750|23191|23221|27314|29899|54453|54734|55333|57381|80230|93663,RND3|ARHGAP5|CDC42|DOCK1|EPS8|ARHGAP35|RAP1A|RASGRF1|KSR1|USP8|ARHGEF11|RGS19|VAV3|PDPN|GRAP|CYFIP1|RHOBTB2|RAB30|GPSM2|RIN2|RAB39A|SYNJ2BP|RHOJ|RUFY1|ARHGAP18,-4.7
MyList,GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-8,2.5,6.7,30293,780,728,47,6.5,0.91,2|178|183|324|594|595|1109|1407|1445|1520|1583|1601|1616|1645|1728|1909|1979|2155|2688|3059|3625|3716|4041|4303|5290|5467|5566|5573|5587|5781|5978|6294|7043|7351|7538|8644|8660|8891|9101|9882|10768|11031|23191|23543|26060|51094|51738,A2M|AGL|AGT|APC|BCKDHB|CCND1|AKR1C4|CRY1|CSK|CTSS|CYP11A1|DAB2|DAXX|AKR1C1|NQO1|EDNRA|EIF4EBP2|F7|GH1|HCLS1|INHBB|JAK1|LRP5|FOXO4|PIK3CA|PPARD|PRKACA|PRKAR1A|PRKD1|PTPN11|REST|SAFB|TGFB3|UCP2|ZFP36|AKR1C3|IRS2|EIF2B3|USP8|TBC1D4|AHCYL1|RAB31|CYFIP1|RBFOX2|APPL1|ADIPOR1|GHRL,-4.6
MyList,GO Biological Processes,19,GO:0005975,carbohydrate metabolic process,19_GO:0008152 metabolic process,-8,3.1,7,30293,441,728,33,4.5,0.77,178|219|669|1407|2023|2582|2585|2632|3572|4041|4668|4938|5208|5209|5290|5467|5501|5509|7351|7903|8277|8660|8707|9695|10993|27235|51738|54187|57103|80146|83931|84750|129807,AGL|ALDH1B1|BPGM|CRY1|ENO1|GALE|GALK2|GBE1|IL6ST|LRP5|NAGA|OAS1|PFKFB2|PFKFB3|PIK3CA|PPARD|PPP1CC|PPP1R3D|UCP2|ST8SIA4|TKTL1|IRS2|B3GALT2|EDEM1|SDS|COQ2|GHRL|NANS|TIGAR|UXS1|STK40|FUT10|NEU4,-4.6
MyList,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-7.6,2.9,6.8,30293,501,728,35,4.8,0.79,183|324|1109|1445|1520|1583|1616|1645|1909|1979|2688|3625|3716|4303|5290|5467|5566|5573|5587|5781|5978|6294|7351|7538|8644|8660|9101|9882|10768|11031|23191|23543|26060|51094|51738,AGT|APC|AKR1C4|CSK|CTSS|CYP11A1|DAXX|AKR1C1|EDNRA|EIF4EBP2|GH1|INHBB|JAK1|FOXO4|PIK3CA|PPARD|PRKACA|PRKAR1A|PRKD1|PTPN11|REST|SAFB|UCP2|ZFP36|AKR1C3|IRS2|USP8|TBC1D4|AHCYL1|RAB31|CYFIP1|RBFOX2|APPL1|ADIPOR1|GHRL,-4.3
MyList,GO Biological Processes,19,GO:0009991,response to extracellular stimulus,19_GO:0050896 response to stimulus,-7.6,2.9,6.7,30293,505,728,35,4.8,0.79,2|178|429|594|1649|1728|2029|2074|2155|2688|2909|3170|3625|4049|4303|5467|5587|5723|5828|6935|7351|7482|7538|8644|9213|23367|27102|27327|29103|51738|55270|55863|79718|220441|643246,A2M|AGL|ASCL1|BCKDHB|DDIT3|NQO1|ENSA|ERCC6|F7|GH1|ARHGAP35|FOXA2|INHBB|LTA|FOXO4|PPARD|PRKD1|PSPH|PEX2|ZEB1|UCP2|WNT2B|ZFP36|AKR1C3|XPR1|LARP1|EIF2AK1|TNRC6A|DNAJC15|GHRL|NUDT15|TMEM126B|TBL1XR1|RNF152|MAP1LC3B2,-4.3
MyList,GO Biological Processes,19,GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",19_GO:0008152 metabolic process,-7.4,25,12,30293,10,728,6,0.82,0.34,8602|10171|23212|29777|51077|161424,NOP14|RCL1|RRS1|ABT1|FCF1|NOP9,-4.2
MyList,GO Biological Processes,19,GO:0030490,maturation of SSU-rRNA,19_GO:0008152 metabolic process,-7.4,8.6,8.7,30293,53,728,11,1.5,0.45,6234|8602|9790|10171|10199|23212|28987|29777|51077|57050|161424,RPS28|NOP14|BMS1|RCL1|MPHOSPH10|RRS1|NOB1|ABT1|FCF1|UTP3|NOP9,-4.2
