Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
23212,3.0,1,1,1
80243,3.0,1,1,1
9258,3.0,1,1,1
54898,3.0,1,1,1
10630,3.0,1,1,1
1601,3.0,1,1,1
5322,3.0,1,1,1
3059,3.0,1,1,1
5352,3.0,1,1,1
220441,3.0,1,1,1
23780,3.0,1,1,1
10768,3.0,1,1,1
2264,3.0,1,1,1
22985,3.0,1,1,1
57103,3.0,1,1,1
94081,3.0,1,1,1
63899,3.0,1,1,1
146057,3.0,1,1,1
2582,3.0,1,1,1
51599,3.0,1,1,1
5566,3.0,1,1,1
6882,3.0,1,1,1
4668,3.0,1,1,1
5501,3.0,1,1,1
9830,3.0,1,1,1
8867,3.0,1,1,1
5290,3.0,1,1,1
80025,3.0,1,1,1
9570,3.0,1,1,1
6883,3.0,1,1,1
1647,3.0,1,1,1
4359,3.0,1,1,1
4591,3.0,1,1,1
429,3.0,1,1,1
79966,3.0,1,1,1
6234,3.0,1,1,1
133418,3.0,1,1,1
9826,3.0,1,1,1
10901,3.0,1,1,1
57466,3.0,1,1,1
51268,3.0,1,1,1
4607,3.0,1,1,1
9447,3.0,1,1,1
6640,3.0,1,1,1
83666,3.0,1,1,1
178,3.0,1,1,1
66008,3.0,1,1,1
25917,3.0,1,1,1
1719,3.0,1,1,1
6935,3.0,1,1,1
8683,3.0,1,1,1
9958,3.0,1,1,1
23221,3.0,1,1,1
6660,3.0,1,1,1
3123,3.0,1,1,1
56849,3.0,1,1,1
5433,3.0,1,1,1
51574,3.0,1,1,1
84168,3.0,1,1,1
7175,3.0,1,1,1
329,3.0,1,1,1
23271,3.0,1,1,1
2059,3.0,1,1,1
7060,3.0,1,1,1
10199,3.0,1,1,1
160760,3.0,1,1,1
51128,3.0,1,1,1
636,3.0,1,1,1
9790,3.0,1,1,1
57381,3.0,1,1,1
4012,3.0,1,1,1
51522,3.0,1,1,1
4303,3.0,1,1,1
1445,3.0,1,1,1
26052,3.0,1,1,1
55132,3.0,1,1,1
27235,3.0,1,1,1
118788,3.0,1,1,1
5781,3.0,1,1,1
1979,3.0,1,1,1
51077,3.0,1,1,1
998,3.0,1,1,1
5587,3.0,1,1,1
3716,3.0,1,1,1
23191,3.0,1,1,1
5209,3.0,1,1,1
55014,3.0,1,1,1
10171,3.0,1,1,1
1728,3.0,1,1,1
10541,3.0,1,1,1
29072,3.0,1,1,1
10758,3.0,1,1,1
18,3.0,1,1,1
3112,3.0,1,1,1
