Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006259,DNA metabolic process,19_GO:0008152 metabolic process,-6.8,3.2,6.5,30293,766,336,27,8,1.5,1763|2176|2178|2189|4176|4595|6929|8555|9219|9656|11177|11232|23503|51149|51542|51720|55512|56946|63922|79447|79661|79813|80233|80820|91603|119392|201973,DNA2|FANCC|FANCE|FANCG|MCM7|MUTYH|TCF3|CDC14B|MTA2|MDC1|BAZ1A|POLG2|ZFYVE26|MRNIP|VPS54|UIMC1|SMPD3|EMSY|CHTF18|PAGR1|NEIL1|EHMT1|FAAP100|EEPD1|ZNF830|SFR1|PRIMPOL,-2.6,MyList
GO Biological Processes,19,GO:0051028,mRNA transport,19_GO:0051179 localization,-5.8,7.2,7.3,30293,126,336,10,3,0.93,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-2.1,MyList
GO Biological Processes,19,GO:0006974,DNA damage response,19_GO:0050896 response to stimulus,-5.8,3,5.8,30293,761,336,25,7.4,1.4,836|842|1763|2176|2178|2189|3665|4176|4595|8555|9656|9923|23054|23503|51149|51720|55367|56946|79447|79661|80233|80820|91603|119392|201973,CASP3|CASP9|DNA2|FANCC|FANCE|FANCG|IRF7|MCM7|MUTYH|CDC14B|MDC1|ZBTB40|NCOA6|ZFYVE26|MRNIP|UIMC1|PIDD1|EMSY|PAGR1|NEIL1|FAAP100|EEPD1|ZNF830|SFR1|PRIMPOL,-2.1,MyList
GO Biological Processes,19,GO:0006406,mRNA export from nucleus,19_GO:0051179 localization,-5.1,9.6,7.4,30293,66,336,7,2.1,0.78,6428|7175|9877|22794|23279|57122|57187,SRSF3|TPR|ZC3H11A|CASC3|NUP160|NUP107|THOC2,-1.6,MyList
GO Biological Processes,19,GO:0050657,nucleic acid transport,19_GO:0051179 localization,-5,5.8,6.4,30293,155,336,10,3,0.93,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-1.6,MyList
GO Biological Processes,19,GO:0050658,RNA transport,19_GO:0051179 localization,-5,5.8,6.4,30293,155,336,10,3,0.93,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-1.6,MyList
GO Biological Processes,19,GO:0051236,establishment of RNA localization,19_GO:0051179 localization,-5,5.7,6.3,30293,157,336,10,3,0.93,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-1.6,MyList
GO Biological Processes,19,GO:0006281,DNA repair,19_GO:0050896 response to stimulus,-4.7,3.2,5.3,30293,508,336,18,5.4,1.2,1763|2176|2178|2189|4176|4595|8555|9656|23503|51149|51720|56946|79447|79661|80233|80820|119392|201973,DNA2|FANCC|FANCE|FANCG|MCM7|MUTYH|CDC14B|MDC1|ZFYVE26|MRNIP|UIMC1|EMSY|PAGR1|NEIL1|FAAP100|EEPD1|SFR1|PRIMPOL,-1.5,MyList
GO Biological Processes,19,GO:0006403,RNA localization,19_GO:0051179 localization,-4.5,5.1,5.8,30293,177,336,10,3,0.93,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-1.3,MyList
GO Biological Processes,19,GO:0035196,miRNA processing,19_GO:0048519 negative regulation of biological process,-4.4,13,7.4,30293,35,336,5,1.5,0.66,1655|6428|54487|144233|192669,DDX5|SRSF3|DGCR8|BCDIN3D|AGO3,-1.2,MyList
