_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.3,GO:0034394,protein localization to cell surface,M1,1,0
1,-3,GO:0042770,signal transduction in response to DNA damage,M1,1,0
1,-3.1,GO:0051168,nuclear export,M1,1,0
1,-3.4,GO:0044774,mitotic DNA integrity checkpoint signaling,M1,1,0
1,-2.6,GO:1902993,positive regulation of amyloid precursor protein catabolic process,M1,1,0
1,-2.1,GO:0007095,mitotic G2 DNA damage checkpoint signaling,M1,1,0
1,-2.3,GO:0043124,negative regulation of canonical NF-kappaB signal transduction,M1,1,0
1,-2.3,GO:0097035,regulation of membrane lipid distribution,M1,1,0
1,-2.8,GO:0071637,regulation of monocyte chemotactic protein-1 production,M1,1,0
1,-2.4,GO:0007167,enzyme-linked receptor protein signaling pathway,M1,1,0
1,-3.3,GO:0010745,negative regulation of macrophage derived foam cell differentiation,M1,1,0
1,-4.5,GO:0006403,RNA localization,M1,1,0
1,-2.1,GO:0032722,positive regulation of chemokine production,M1,1,0
1,-3.9,GO:0070918,regulatory ncRNA processing,M1,1,0
1,-2.1,GO:0031344,regulation of cell projection organization,M1,1,0
1,-5,GO:0050657,nucleic acid transport,M1,1,0
1,-2.9,GO:0000076,DNA replication checkpoint signaling,M1,1,0
1,-5.8,GO:0051028,mRNA transport,M1,1,0
1,-6.8,GO:0006259,DNA metabolic process,M1,1,0
1,-2.8,GO:0001824,blastocyst development,M1,1,0
1,-2.4,GO:0045786,negative regulation of cell cycle,M1,1,0
1,-2.8,GO:0019439,aromatic compound catabolic process,M1,1,0
1,-2.9,GO:0032365,intracellular lipid transport,M1,1,0
1,-2.5,GO:0044818,mitotic G2/M transition checkpoint,M1,1,0
1,-5,GO:0050658,RNA transport,M1,1,0
1,-2.5,GO:0016073,snRNA metabolic process,M1,1,0
1,-2.3,GO:0015914,phospholipid transport,M1,1,0
1,-3.4,GO:0031053,primary miRNA processing,M1,1,0
1,-2.1,GO:1902275,regulation of chromatin organization,M1,1,0
1,-2.4,GO:0060765,regulation of androgen receptor signaling pathway,M1,1,0
1,-4.7,GO:0006281,DNA repair,M1,1,0
1,-3,GO:0046700,heterocycle catabolic process,M1,1,0
1,-2.1,GO:0048008,platelet-derived growth factor receptor signaling pathway,M1,1,0
1,-2.6,GO:1901361,organic cyclic compound catabolic process,M1,1,0
1,-4.2,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",M1,1,0
1,-2.4,GO:0002262,myeloid cell homeostasis,M1,1,0
1,-2.7,GO:0006513,protein monoubiquitination,M1,1,0
1,-3.1,GO:0032042,mitochondrial DNA metabolic process,M1,1,0
1,-3.5,GO:0034660,ncRNA metabolic process,M1,1,0
1,-2.1,GO:0030301,cholesterol transport,M1,1,0
1,-2.2,GO:0060416,response to growth hormone,M1,1,0
1,-2.3,GO:0006997,nucleus organization,M1,1,0
1,-2.8,GO:0048024,"regulation of mRNA splicing, via spliceosome",M1,1,0
1,-2.3,GO:0006506,GPI anchor biosynthetic process,M1,1,0
1,-2.5,GO:0000002,mitochondrial genome maintenance,M1,1,0
1,-3.4,GO:0006397,mRNA processing,M1,1,0
1,-2.7,GO:0031445,regulation of heterochromatin formation,M1,1,0
1,-3.7,GO:0015931,nucleobase-containing compound transport,M1,1,0
1,-2.1,GO:0046660,female sex differentiation,M1,1,0
1,-3.4,GO:0016071,mRNA metabolic process,M1,1,0
1,-5.1,GO:0006406,mRNA export from nucleus,M1,1,0
1,-2.2,GO:0006260,DNA replication,M1,1,0
1,-2.6,GO:0032367,intracellular cholesterol transport,M1,1,0
1,-2.7,GO:0036344,platelet morphogenesis,M1,1,0
1,-2.6,GO:0006338,chromatin remodeling,M1,1,0
1,-2.2,GO:0000278,mitotic cell cycle,M1,1,0
1,-3,GO:0032373,positive regulation of sterol transport,M1,1,0
1,-3.2,GO:2000318,positive regulation of T-helper 17 type immune response,M1,1,0
1,-3.5,GO:0034655,nucleobase-containing compound catabolic process,M1,1,0
1,-3.8,GO:0006264,mitochondrial DNA replication,M1,1,0
1,-2.4,GO:0008585,female gonad development,M1,1,0
1,-3,GO:0032642,regulation of chemokine production,M1,1,0
1,-2.5,GO:0010874,regulation of cholesterol efflux,M1,1,0
1,-2.6,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,M1,1,0
1,-2.3,GO:0045055,regulated exocytosis,M1,1,0
1,-5,GO:0051236,establishment of RNA localization,M1,1,0
1,-2.8,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-3.1,GO:0034470,ncRNA processing,M1,1,0
1,-2.4,GO:0006261,DNA-templated DNA replication,M1,1,0
1,-2.2,GO:0010743,regulation of macrophage derived foam cell differentiation,M1,1,0
1,-4.2,GO:0000398,"mRNA splicing, via spliceosome",M1,1,0
1,-3.5,GO:0044773,mitotic DNA damage checkpoint signaling,M1,1,0
1,-2.4,GO:1903047,mitotic cell cycle process,M1,1,0
1,-4.3,GO:0006405,RNA export from nucleus,M1,1,0
1,-4,GO:0006913,nucleocytoplasmic transport,M1,1,0
1,-2,GO:0030097,hemopoiesis,M1,1,0
1,-2.7,GO:0018126,protein hydroxylation,M1,1,0
1,-2.2,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-5.8,GO:0006974,DNA damage response,M1,1,0
1,-3.4,GO:0009615,response to virus,M1,1,0
1,-2.3,GO:0043484,regulation of RNA splicing,M1,1,0
1,-3.1,GO:0010564,regulation of cell cycle process,M1,1,0
1,-2.4,GO:0048872,homeostasis of number of cells,M1,1,0
1,-2.1,GO:0046677,response to antibiotic,M1,1,0
1,-2.8,GO:0071378,cellular response to growth hormone stimulus,M1,1,0
1,-2.5,GO:0034204,lipid translocation,M1,1,0
1,-2.4,GO:2000316,regulation of T-helper 17 type immune response,M1,1,0
1,-2.4,GO:0050684,regulation of mRNA processing,M1,1,0
1,-2.4,GO:1901991,negative regulation of mitotic cell cycle phase transition,M1,1,0
1,-2.6,GO:0051851,modulation by host of symbiont process,M1,1,0
1,-3,GO:0036297,interstrand cross-link repair,M1,1,0
1,-3,GO:0044270,cellular nitrogen compound catabolic process,M1,1,0
1,-3,GO:0032376,positive regulation of cholesterol transport,M1,1,0
1,-2.1,GO:1902750,negative regulation of cell cycle G2/M phase transition,M1,1,0
1,-3.7,GO:0010875,positive regulation of cholesterol efflux,M1,1,0
1,-3.3,GO:0006401,RNA catabolic process,M1,1,0
1,-2.7,GO:0120261,regulation of heterochromatin organization,M1,1,0
1,-2.8,GO:1901988,negative regulation of cell cycle phase transition,M1,1,0
1,-2.8,GO:0030220,platelet formation,M1,1,0
1,-2.7,GO:0010888,negative regulation of lipid storage,M1,1,0
1,-2.5,GO:0032740,positive regulation of interleukin-17 production,M1,1,0
1,-2.6,GO:0016197,endosomal transport,M1,1,0
1,-4.4,GO:0035196,miRNA processing,M1,1,0
1,-3.4,GO:0000075,cell cycle checkpoint signaling,M1,1,0
1,-2.5,GO:0006325,chromatin organization,M1,1,0
1,-4.2,GO:0008380,RNA splicing,M1,1,0
1,-3.3,GO:0006999,nuclear pore organization,M1,1,0
1,-2.3,GO:0043122,regulation of canonical NF-kappaB signal transduction,M1,1,0
1,-3.4,GO:0031570,DNA integrity checkpoint signaling,M1,1,0
1,-3.3,GO:0007093,mitotic cell cycle checkpoint signaling,M1,1,0
1,-2.3,GO:0006505,GPI anchor metabolic process,M1,1,0
1,-2.2,GO:0018193,peptidyl-amino acid modification,M1,1,0
1,-2.5,GO:0046605,regulation of centrosome cycle,M1,1,0
1,-4.1,GO:0000375,"RNA splicing, via transesterification reactions",M1,1,0
1,-3.9,GO:0051169,nuclear transport,M1,1,0
1,-2.4,GO:0032366,intracellular sterol transport,M1,1,0
1,-2.9,GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway,M1,1,0
1,-2.3,GO:0046545,development of primary female sexual characteristics,M1,1,0
1,-2.9,GO:0000077,DNA damage checkpoint signaling,M1,1,0
1,-2.4,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-2.7,GO:0051702,biological process involved in interaction with symbiont,M1,1,0
1,-2.9,GO:0060396,growth hormone receptor signaling pathway,M1,1,0
