Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0006259,DNA metabolic process,19_GO:0008152 metabolic process,-8.5,4.2,7.8,30293,766,224,24,11,2.1,1763|2176|2178|2189|4176|6929|8555|9219|9656|11177|11232|23503|51542|51720|55512|56946|63922|79447|79661|79813|80233|80820|91603|201973,DNA2|FANCC|FANCE|FANCG|MCM7|TCF3|CDC14B|MTA2|MDC1|BAZ1A|POLG2|ZFYVE26|VPS54|UIMC1|SMPD3|EMSY|CHTF18|PAGR1|NEIL1|EHMT1|FAAP100|EEPD1|ZNF830|PRIMPOL,-5.8
MyList,GO Biological Processes,19,GO:0051028,mRNA transport,19_GO:0051179 localization,-7.4,11,9.4,30293,126,224,10,4.5,1.4,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-4.8
MyList,GO Biological Processes,19,GO:0050658,RNA transport,19_GO:0051179 localization,-6.6,8.7,8.3,30293,155,224,10,4.5,1.4,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-4
MyList,GO Biological Processes,19,GO:0050657,nucleic acid transport,19_GO:0051179 localization,-6.6,8.7,8.3,30293,155,224,10,4.5,1.4,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-4
MyList,GO Biological Processes,19,GO:0006974,DNA damage response,19_GO:0050896 response to stimulus,-6.6,3.7,6.6,30293,761,224,21,9.4,1.9,836|842|1763|2176|2178|2189|3665|4176|8555|9656|23054|23503|51720|55367|56946|79447|79661|80233|80820|91603|201973,CASP3|CASP9|DNA2|FANCC|FANCE|FANCG|IRF7|MCM7|CDC14B|MDC1|NCOA6|ZFYVE26|UIMC1|PIDD1|EMSY|PAGR1|NEIL1|FAAP100|EEPD1|ZNF830|PRIMPOL,-4
MyList,GO Biological Processes,19,GO:0051236,establishment of RNA localization,19_GO:0051179 localization,-6.5,8.6,8.3,30293,157,224,10,4.5,1.4,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-4
MyList,GO Biological Processes,19,GO:0008380,RNA splicing,19_GO:0008152 metabolic process,-6.3,4.9,6.9,30293,411,224,15,6.7,1.7,1655|5411|6428|11129|22794|23451|23524|25862|55596|57187|57461|81576|83759|84811|91603,DDX5|PNN|SRSF3|CLASRP|CASC3|SF3B1|SRRM2|USP49|ZCCHC8|THOC2|ISY1|YJU2B|RBM4B|BUD13|ZNF830,-3.8
MyList,GO Biological Processes,19,GO:0006406,mRNA export from nucleus,19_GO:0051179 localization,-6.2,14,9.4,30293,66,224,7,3.1,1.2,6428|7175|9877|22794|23279|57122|57187,SRSF3|TPR|ZC3H11A|CASC3|NUP160|NUP107|THOC2,-3.8
MyList,GO Biological Processes,19,GO:0006403,RNA localization,19_GO:0051179 localization,-6.1,7.6,7.6,30293,177,224,10,4.5,1.4,6428|7175|8086|9877|22794|23165|23279|57122|57187|65110,SRSF3|TPR|AAAS|ZC3H11A|CASC3|NUP205|NUP160|NUP107|THOC2|UPF3A,-3.6
MyList,GO Biological Processes,19,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0008152 metabolic process,-5.9,5.9,7,30293,277,224,12,5.4,1.5,1655|5411|6428|22794|23451|23524|25862|55596|57461|81576|83759|84811,DDX5|PNN|SRSF3|CASC3|SF3B1|SRRM2|USP49|ZCCHC8|ISY1|YJU2B|RBM4B|BUD13,-3.5
MyList,GO Biological Processes,19,GO:0000398,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-5.9,5.9,7,30293,277,224,12,5.4,1.5,1655|5411|6428|22794|23451|23524|25862|55596|57461|81576|83759|84811,DDX5|PNN|SRSF3|CASC3|SF3B1|SRRM2|USP49|ZCCHC8|ISY1|YJU2B|RBM4B|BUD13,-3.5
MyList,GO Biological Processes,19,GO:0000375,"RNA splicing, via transesterification reactions",19_GO:0008152 metabolic process,-5.9,5.8,6.9,30293,281,224,12,5.4,1.5,1655|5411|6428|22794|23451|23524|25862|55596|57461|81576|83759|84811,DDX5|PNN|SRSF3|CASC3|SF3B1|SRRM2|USP49|ZCCHC8|ISY1|YJU2B|RBM4B|BUD13,-3.4
