Cluster,Score,Type,Gene,Symbol,Network
1,3.0,Clustered,23165,NUP205,MyList_SUB1
1,3.0,Clustered,22794,CASC3,MyList_SUB1
1,3.0,Clustered,9877,ZC3H11A,MyList_SUB1
1,3.0,Clustered,57122,NUP107,MyList_SUB1
1,3.0,Clustered,7175,TPR,MyList_SUB1
1,3.0,Clustered,8086,AAAS,MyList_SUB1
1,3.0,Seed,23279,NUP160,MyList_SUB1
2,2.142857142857143,Clustered,1153,CIRBP,MyList_SUB1
2,2.142857142857143,Clustered,1655,DDX5,MyList_SUB1
2,2.142857142857143,Clustered,84811,BUD13,MyList_SUB1
2,2.142857142857143,Seed,57187,THOC2,MyList_SUB1
2,2.142857142857143,Clustered,23524,SRRM2,MyList_SUB1
2,2.142857142857143,Clustered,23451,SF3B1,MyList_SUB1
2,2.142857142857143,Clustered,6428,SRSF3,MyList_SUB1
3,1.8333333333333335,Clustered,126520,PLK5,MyList_SUB1
3,1.8333333333333335,Clustered,55357,TBC1D2,MyList_SUB1
3,1.8333333333333335,Clustered,9564,BCAR1,MyList_SUB1
3,1.8333333333333335,Clustered,8555,CDC14B,MyList_SUB1
3,1.8333333333333335,Clustered,4214,MAP3K1,MyList_SUB1
3,1.8333333333333335,Clustered,4215,MAP3K3,MyList_SUB1
4,1.5,Clustered,80233,FAAP100,MyList_SUB1
4,1.5,Clustered,2176,FANCC,MyList_SUB1
4,1.5,Seed,2178,FANCE,MyList_SUB1
4,1.5,Clustered,2189,FANCG,MyList_SUB1
5,1.5,Seed,10491,CRTAP,MyList_SUB1
5,1.5,Clustered,64175,P3H1,MyList_SUB1
5,1.5,Clustered,1302,COL11A2,MyList_SUB1
5,1.5,Clustered,1297,COL9A1,MyList_SUB1
6,1.0,Seed,57530,CGN,MyList_SUB1
6,1.0,Clustered,196513,DCP1B,MyList_SUB1
6,1.0,Clustered,51133,KCTD3,MyList_SUB1
7,1.0,Seed,3665,IRF7,MyList_SUB1
7,1.0,Clustered,3065,HDAC1,MyList_SUB1
7,1.0,Clustered,4792,NFKBIA,MyList_SUB1
