Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
11340,3.0,1,1,1
23279,3.0,1,1,1
11232,3.0,1,1,1
55367,3.0,1,1,1
4940,3.0,1,1,1
6428,3.0,1,1,1
192669,3.0,1,1,1
51720,3.0,1,1,1
3570,3.0,1,1,1
4792,3.0,1,1,1
19,3.0,1,1,1
858,3.0,1,1,1
9869,3.0,1,1,1
201973,3.0,1,1,1
79813,3.0,1,1,1
9860,3.0,1,1,1
10491,3.0,1,1,1
161882,3.0,1,1,1
5187,3.0,1,1,1
22794,3.0,1,1,1
3065,3.0,1,1,1
128869,3.0,1,1,1
177,3.0,1,1,1
5829,3.0,1,1,1
3717,3.0,1,1,1
2178,3.0,1,1,1
9367,3.0,1,1,1
54487,3.0,1,1,1
1763,3.0,1,1,1
57187,3.0,1,1,1
55596,3.0,1,1,1
57122,3.0,1,1,1
80820,3.0,1,1,1
10179,3.0,1,1,1
11177,3.0,1,1,1
9877,3.0,1,1,1
2950,3.0,1,1,1
1655,3.0,1,1,1
7840,3.0,1,1,1
26088,3.0,1,1,1
26512,3.0,1,1,1
286410,3.0,1,1,1
79447,3.0,1,1,1
91603,3.0,1,1,1
9353,3.0,1,1,1
9656,3.0,1,1,1
23165,3.0,1,1,1
2176,3.0,1,1,1
836,3.0,1,1,1
5352,3.0,1,1,1
64170,3.0,1,1,1
2189,3.0,1,1,1
9564,3.0,1,1,1
842,3.0,1,1,1
57018,3.0,1,1,1
8284,3.0,1,1,1
8555,3.0,1,1,1
114879,3.0,1,1,1
80233,3.0,1,1,1
64175,3.0,1,1,1
7175,3.0,1,1,1
225,3.0,1,1,1
22994,3.0,1,1,1
55512,3.0,1,1,1
7297,3.0,1,1,1
51542,3.0,1,1,1
81576,2.0,1,0,1
4485,2.0,1,0,1
84240,2.0,1,0,1
54868,2.0,1,0,1
93210,2.0,1,1,0
285126,2.0,1,0,1
2796,2.0,1,0,1
29988,2.0,1,0,1
8620,2.0,1,0,1
9706,2.0,1,0,1
84283,2.0,1,0,1
656,2.0,1,0,1
84811,2.0,1,0,1
55227,2.0,1,0,1
9374,2.0,1,0,1
497190,2.0,1,0,1
56946,2.0,1,0,1
26051,2.0,1,0,1
51326,2.0,1,0,1
3665,2.0,1,0,1
221400,2.0,1,1,0
91373,2.0,1,0,1
3590,2.0,1,0,1
25862,2.0,1,0,1
79169,2.0,1,0,1
4820,2.0,1,0,1
23503,2.0,1,0,1
56882,2.0,1,0,1
6929,2.0,1,0,1
23451,2.0,1,0,1
6890,2.0,1,0,1
167359,2.0,1,0,1
401262,2.0,1,0,1
12,2.0,1,0,1
57602,2.0,1,0,1
7596,2.0,1,0,1
55113,2.0,1,1,0
65110,2.0,1,0,1
1297,2.0,1,0,1
