Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0007005,mitochondrion organization,19_GO:0009987 cellular process,-11,4.9,9.3,30293,430,389,27,6.9,1.3,1386|2730|2932|3320|4700|4706|4714|4725|5245|7386|10059|10730|11152|26519|29078|51566|54332|55187|55245|55737|55744|81892|84303|91137|131474|401505|440574,ATF2|GCLM|GSK3B|HSP90AA1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PHB1|UQCRFS1|DNM1L|YME1L1|WDR45|TIMM10|NDUFAF4|ARMCX3|GDAP1|VPS13D|UQCC1|VPS35|COA1|SLIRP|CHCHD6|SLC25A46|CHCHD4|TOMM5|MICOS10,-6.6,MyList
GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-9.8,4.8,8.7,30293,408,389,25,6.4,1.2,34|50|515|522|1109|1327|1353|1534|2821|2932|2936|3939|4700|4706|4714|4725|5162|6391|7167|7360|7386|9551|10476|112812|388753,ACADM|ACO2|ATP5PB|ATP5PF|AKR1C4|COX4I1|COX11|CYB561|GPI|GSK3B|GSR|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|TPI1|UGP2|UQCRFS1|ATP5MF|ATP5PD|FDX2|COA6,-5.9,MyList
GO Biological Processes,19,GO:0009060,aerobic respiration,19_GO:0008152 metabolic process,-7.6,6.7,8.3,30293,163,389,14,3.6,0.94,50|515|522|1327|4700|4706|4714|4725|5162|6391|7386|9551|10476|388753,ACO2|ATP5PB|ATP5PF|COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|UQCRFS1|ATP5MF|ATP5PD|COA6,-3.9,MyList
GO Biological Processes,19,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-7.4,9,8.9,30293,95,389,11,2.8,0.84,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-3.9,MyList
GO Biological Processes,19,GO:0009145,purine nucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-7.3,8.9,8.9,30293,96,389,11,2.8,0.84,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-3.9,MyList
GO Biological Processes,19,GO:0006119,oxidative phosphorylation,19_GO:0008152 metabolic process,-7.2,7.7,8.5,30293,121,389,12,3.1,0.88,515|522|1327|4700|4706|4714|4725|6391|7386|9551|10476|388753,ATP5PB|ATP5PF|COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|UQCRFS1|ATP5MF|ATP5PD|COA6,-3.9,MyList
GO Biological Processes,19,GO:0015980,energy derivation by oxidation of organic compounds,19_GO:0008152 metabolic process,-7.2,5.1,7.5,30293,262,389,17,4.4,1,34|50|515|522|1327|2932|4700|4706|4714|4725|5162|6391|7360|7386|9551|10476|388753,ACADM|ACO2|ATP5PB|ATP5PF|COX4I1|GSK3B|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|UGP2|UQCRFS1|ATP5MF|ATP5PD|COA6,-3.9,MyList
GO Biological Processes,19,GO:0009201,ribonucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-7.1,8.5,8.6,30293,101,389,11,2.8,0.84,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-3.9,MyList
GO Biological Processes,19,GO:0009260,ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-7.1,5.7,7.7,30293,206,389,15,3.9,0.98,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476|139596,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD|UPRT,-3.9,MyList
GO Biological Processes,19,GO:0006839,mitochondrial transport,19_GO:0051179 localization,-7,6,7.7,30293,181,389,14,3.6,0.94,1386|2932|3320|6547|9512|26519|55737|79085|81855|91137|115286|131118|131474|401505,ATF2|GSK3B|HSP90AA1|SLC8A3|PMPCB|TIMM10|VPS35|SLC25A23|SFXN3|SLC25A46|SLC25A26|DNAJC19|CHCHD4|TOMM5,-3.9,MyList
