_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0016079,synaptic vesicle exocytosis,M1,1,0
1,-4.3,GO:0099537,trans-synaptic signaling,M1,1,0
1,-2.5,GO:1901873,regulation of post-translational protein modification,M1,1,0
1,-5.8,GO:0006164,purine nucleotide biosynthetic process,M1,1,0
1,-6.8,GO:0046034,ATP metabolic process,M1,1,0
1,-3.2,GO:0031668,cellular response to extracellular stimulus,M1,1,0
1,-11,GO:0007005,mitochondrion organization,M1,1,0
1,-2.3,GO:0070507,regulation of microtubule cytoskeleton organization,M1,1,0
1,-4,GO:0007006,mitochondrial membrane organization,M1,1,0
1,-6.7,GO:0006605,protein targeting,M1,1,0
1,-4.1,GO:0072521,purine-containing compound metabolic process,M1,1,0
1,-5,GO:0099536,synaptic signaling,M1,1,0
1,-4.9,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-3.3,GO:0140352,export from cell,M1,1,0
1,-6.7,GO:0009144,purine nucleoside triphosphate metabolic process,M1,1,0
1,-2.4,GO:0031503,protein-containing complex localization,M1,1,0
1,-2.4,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2.1,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,M1,1,0
1,-4.2,GO:0010970,transport along microtubule,M1,1,0
1,-3.8,GO:0031400,negative regulation of protein modification process,M1,1,0
1,-6.3,GO:0009141,nucleoside triphosphate metabolic process,M1,1,0
1,-3.2,GO:0140056,organelle localization by membrane tethering,M1,1,0
1,-2.5,GO:1903861,positive regulation of dendrite extension,M1,1,0
1,-2.7,GO:0007264,small GTPase mediated signal transduction,M1,1,0
1,-2.3,GO:1990928,response to amino acid starvation,M1,1,0
1,-2.7,GO:0098657,import into cell,M1,1,0
1,-2.1,GO:0006457,protein folding,M1,1,0
1,-2.1,GO:0098662,inorganic cation transmembrane transport,M1,1,0
1,-5.8,GO:0051656,establishment of organelle localization,M1,1,0
1,-2.7,GO:0006469,negative regulation of protein kinase activity,M1,1,0
1,-2.4,GO:0043549,regulation of kinase activity,M1,1,0
1,-5.8,GO:0033365,protein localization to organelle,M1,1,0
1,-2.5,GO:0032543,mitochondrial translation,M1,1,0
1,-2.7,GO:0006470,protein dephosphorylation,M1,1,0
