_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-10.795552908433162,GO:0009987,cellular process,M1,1,GO:0007005 mitochondrion organization
1,-9.811932677718392,GO:0008152,metabolic process,M1,1,GO:0006091 generation of precursor metabolites and energy
1,-6.979310850858885,GO:0051179,localization,M1,1,GO:0006839 mitochondrial transport
1,-5.023276791015869,GO:0048518,positive regulation of biological process,M1,1,GO:0010638 positive regulation of organelle organization
1,-5.019199796867018,GO:0050789,regulation of biological process,M1,1,GO:0099536 synaptic signaling
1,-3.9915617928513605,GO:0032502,developmental process,M1,1,GO:0031175 neuron projection development
1,-3.8160769997235753,GO:0048519,negative regulation of biological process,M1,1,GO:0031400 negative regulation of protein modification process
1,-3.7826116382376522,GO:0050896,response to stimulus,M1,1,GO:0031667 response to nutrient levels
1,-3.3021576985530774,GO:0065007,biological regulation,M1,1,GO:0051348 negative regulation of transferase activity
1,-2.8556691224356565,GO:0016032,viral process,M1,1,GO:0048524 positive regulation of viral process
1,-2.7140048835235797,GO:0098754,detoxification,M1,1,GO:0098754 detoxification
1,-2.512190363038338,GO:0032501,multicellular organismal process,M1,1,GO:0061744 motor behavior
1,-2.4583163234458976,GO:0040007,growth,M1,1,GO:1903861 positive regulation of dendrite extension
1,-2.357781169153463,GO:0042592,homeostatic process,M1,1,GO:0051560 mitochondrial calcium ion homeostasis
