_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-10.795552908433162,GO:0007005,M1,1,0,GO Biological Processes,19,mitochondrion organization,19_GO:0009987 cellular process,-10.795552908433162,4.889765050517127,9.265417923148833,30293,430,389,27,6.940874035989717,1.2885811244072494,1386|2730|2932|3320|4700|4706|4714|4725|5245|7386|10059|10730|11152|26519|29078|51566|54332|55187|55245|55737|55744|81892|84303|91137|131474|401505|440574,ATF2|GCLM|GSK3B|HSP90AA1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PHB1|UQCRFS1|DNM1L|YME1L1|WDR45|TIMM10|NDUFAF4|ARMCX3|GDAP1|VPS13D|UQCC1|VPS35|COA1|SLIRP|CHCHD6|SLC25A46|CHCHD4|TOMM5|MICOS10,-6.61807412589084,0,1,1,1,-10.795552908433162,4.889765050517127,
1,-9.811932677718392,GO:0006091,M1,1,0,GO Biological Processes,19,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-9.811932677718392,4.771693381722869,8.748104533272064,30293,408,389,25,6.426735218508997,1.24335828955322,34|50|515|522|1109|1327|1353|1534|2821|2932|2936|3939|4700|4706|4714|4725|5162|6391|7167|7360|7386|9551|10476|112812|388753,ACADM|ACO2|ATP5PB|ATP5PF|AKR1C4|COX4I1|COX11|CYB561|GPI|GSK3B|GSR|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|TPI1|UGP2|UQCRFS1|ATP5MF|ATP5PD|FDX2|COA6,-5.935483890840051,0,2,1,1,-9.811932677718392,10.951036311053986,
1,-7.551151423590122,GO:0009060,M1,1,0,GO Biological Processes,19,aerobic respiration,19_GO:0008152 metabolic process,-7.551151423590122,6.688567508319272,8.30560523887518,30293,163,389,14,3.5989717223650386,0.9443984154152688,50|515|522|1327|4700|4706|4714|4725|5162|6391|7386|9551|10476|388753,ACO2|ATP5PB|ATP5PF|COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|UQCRFS1|ATP5MF|ATP5PD|COA6,-3.88420479666736,0,2,0,0,-9.811932677718392,10.951036311053986,
1,-7.392819198090516,GO:0009206,M1,1,0,GO Biological Processes,19,purine ribonucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-7.392819198090516,9.016993640914626,8.92603086196409,30293,95,389,11,2.827763496143959,0.8404615319541909,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-3.88420479666736,0,2,0,0,-9.811932677718392,10.951036311053986,
1,-7.344941137523502,GO:0009145,M1,1,0,GO Biological Processes,19,purine nucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-7.344941137523502,8.923066623821764,8.867907565587652,30293,96,389,11,2.827763496143959,0.8404615319541909,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-3.88420479666736,0,2,0,0,-9.811932677718392,10.951036311053986,
1,-7.247779965535042,GO:0006119,M1,1,0,GO Biological Processes,19,oxidative phosphorylation,19_GO:0008152 metabolic process,-7.247779965535042,7.723044891542204,8.451441302462388,30293,121,389,12,3.0848329048843186,0.8766715160992634,515|522|1327|4700|4706|4714|4725|6391|7386|9551|10476|388753,ATP5PB|ATP5PF|COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|UQCRFS1|ATP5MF|ATP5PD|COA6,-3.88420479666736,0,2,0,0,-9.811932677718392,10.951036311053986,
1,-7.2165855391954254,GO:0015980,M1,1,0,GO Biological Processes,19,energy derivation by oxidation of organic compounds,19_GO:0008152 metabolic process,-7.2165855391954254,5.052895464981652,7.514589886295849,30293,262,389,17,4.370179948586118,1.0365053036093212,34|50|515|522|1327|2932|4700|4706|4714|4725|5162|6391|7360|7386|9551|10476|388753,ACADM|ACO2|ATP5PB|ATP5PF|COX4I1|GSK3B|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|UGP2|UQCRFS1|ATP5MF|ATP5PD|COA6,-3.88420479666736,0,2,0,0,-9.811932677718392,10.951036311053986,
1,-7.113986142799515,GO:0009201,M1,1,0,GO Biological Processes,19,ribonucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-7.113986142799515,8.48133065234544,8.589496911852812,30293,101,389,11,2.827763496143959,0.8404615319541909,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-3.864516468982574,0,2,0,0,-9.811932677718392,10.951036311053986,
1,-7.087752742085572,GO:0009260,M1,1,0,GO Biological Processes,19,ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-7.087752742085572,5.67043951381436,7.6714251476324815,30293,206,389,15,3.8560411311053984,0.9762409674322036,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476|139596,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD|UPRT,-3.864516468982574,0,2,0,0,-9.811932677718392,10.951036311053986,
1,-6.920035217219598,GO:0009205,M1,1,0,GO Biological Processes,19,purine ribonucleoside triphosphate metabolic process,19_GO:0008152 metabolic process,-6.920035217219598,5.957576523803504,7.6720906639291515,30293,183,389,14,3.5989717223650386,0.9443984154152688,515|522|1353|2821|3939|4700|4706|4714|4725|4830|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|TPI1|ATP5MF|ATP5PD,-3.858315941214925,0,2,0,0,-9.811932677718392,10.951036311053986,
