Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0007005,mitochondrion organization,19_GO:0009987 cellular process,-13,6.4,11,30293,430,299,27,9,1.7,1386|2730|2932|3320|4700|4706|4714|4725|5245|7386|10059|10730|11152|26519|29078|51566|54332|55187|55245|55737|55744|81892|84303|91137|131474|401505|440574,ATF2|GCLM|GSK3B|HSP90AA1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PHB1|UQCRFS1|DNM1L|YME1L1|WDR45|TIMM10|NDUFAF4|ARMCX3|GDAP1|VPS13D|UQCC1|VPS35|COA1|SLIRP|CHCHD6|SLC25A46|CHCHD4|TOMM5|MICOS10,-10
MyList,GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-11,6,10,30293,408,299,24,8,1.6,34|50|515|522|1109|1327|1353|1534|2821|2932|2936|3939|4700|4706|4714|4725|5162|6391|7167|7360|7386|9551|10476|388753,ACADM|ACO2|ATP5PB|ATP5PF|AKR1C4|COX4I1|COX11|CYB561|GPI|GSK3B|GSR|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|TPI1|UGP2|UQCRFS1|ATP5MF|ATP5PD|COA6,-8.6
MyList,GO Biological Processes,19,GO:0009060,aerobic respiration,19_GO:0008152 metabolic process,-9,8.7,9.8,30293,163,299,14,4.7,1.2,50|515|522|1327|4700|4706|4714|4725|5162|6391|7386|9551|10476|388753,ACO2|ATP5PB|ATP5PF|COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|UQCRFS1|ATP5MF|ATP5PD|COA6,-6.4
MyList,GO Biological Processes,19,GO:0015980,energy derivation by oxidation of organic compounds,19_GO:0008152 metabolic process,-8.9,6.6,9,30293,262,299,17,5.7,1.3,34|50|515|522|1327|2932|4700|4706|4714|4725|5162|6391|7360|7386|9551|10476|388753,ACADM|ACO2|ATP5PB|ATP5PF|COX4I1|GSK3B|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|PDHB|SDHC|UGP2|UQCRFS1|ATP5MF|ATP5PD|COA6,-6.4
MyList,GO Biological Processes,19,GO:0072594,establishment of protein localization to organelle,19_GO:0051179 localization,-8.6,5.5,8.5,30293,348,299,19,6.4,1.4,1386|3320|3786|3838|4591|5824|6734|6789|9512|25782|26519|54332|54557|55187|57154|128866|131118|131474|401505,ATF2|HSP90AA1|KCNQ3|KPNA2|TRIM37|PEX19|SRPRA|STK4|PMPCB|RAB3GAP2|TIMM10|GDAP1|SGTB|VPS13D|SMURF1|CHMP4B|DNAJC19|CHCHD4|TOMM5,-6.2
MyList,GO Biological Processes,19,GO:0009260,ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-8.6,7.4,9.2,30293,206,299,15,5,1.3,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476|139596,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD|UPRT,-6.2
MyList,GO Biological Processes,19,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-8.6,12,10,30293,95,299,11,3.7,1.1,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-6.1
MyList,GO Biological Processes,19,GO:0009145,purine nucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-8.5,12,10,30293,96,299,11,3.7,1.1,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-6.1
MyList,GO Biological Processes,19,GO:0006119,oxidative phosphorylation,19_GO:0008152 metabolic process,-8.5,10,10,30293,121,299,12,4,1.1,515|522|1327|4700|4706|4714|4725|6391|7386|9551|10476|388753,ATP5PB|ATP5PF|COX4I1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|UQCRFS1|ATP5MF|ATP5PD|COA6,-6.1
MyList,GO Biological Processes,19,GO:0046390,ribose phosphate biosynthetic process,19_GO:0008152 metabolic process,-8.4,7.1,9,30293,213,299,15,5,1.3,515|522|1353|2977|3251|4700|4706|4714|4725|4830|5162|6391|9551|10476|139596,ATP5PB|ATP5PF|COX11|GUCY1A2|HPRT1|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|PDHB|SDHC|ATP5MF|ATP5PD|UPRT,-6
MyList,GO Biological Processes,19,GO:0009205,purine ribonucleoside triphosphate metabolic process,19_GO:0008152 metabolic process,-8.3,7.8,9.1,30293,183,299,14,4.7,1.2,515|522|1353|2821|3939|4700|4706|4714|4725|4830|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|TPI1|ATP5MF|ATP5PD,-6
MyList,GO Biological Processes,19,GO:0009201,ribonucleoside triphosphate biosynthetic process,19_GO:0008152 metabolic process,-8.3,11,10,30293,101,299,11,3.7,1.1,515|522|1353|4700|4706|4714|4725|4830|6391|9551|10476,ATP5PB|ATP5PF|COX11|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|ATP5MF|ATP5PD,-5.9
MyList,GO Biological Processes,19,GO:0051640,organelle localization,19_GO:0051179 localization,-8.3,4.3,7.8,30293,539,299,23,7.7,1.5,1063|1780|3619|4131|5293|5664|6857|7320|7846|8927|9217|9342|10059|10947|22919|23025|51566|81565|81620|81929|113130|115827|128866,CENPF|DYNC1I1|INCENP|MAP1B|PIK3CD|PSEN2|SYT1|UBE2B|TUBA1A|BSN|VAPB|SNAP29|DNM1L|AP3M2|MAPRE1|UNC13A|ARMCX3|NDEL1|CDT1|SEH1L|CDCA5|RAB3C|CHMP4B,-5.9
MyList,GO Biological Processes,19,GO:0009144,purine nucleoside triphosphate metabolic process,19_GO:0008152 metabolic process,-8.2,7.5,9,30293,189,299,14,4.7,1.2,515|522|1353|2821|3939|4700|4706|4714|4725|4830|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|NME1|SDHC|TPI1|ATP5MF|ATP5PD,-5.8
MyList,GO Biological Processes,19,GO:0046034,ATP metabolic process,19_GO:0008152 metabolic process,-8.1,8.3,9.2,30293,159,299,13,4.3,1.2,515|522|1353|2821|3939|4700|4706|4714|4725|6391|7167|9551|10476,ATP5PB|ATP5PF|COX11|GPI|LDHA|NDUFA6|NDUFAB1|NDUFB8|NDUFS5|SDHC|TPI1|ATP5MF|ATP5PD,-5.8
