Cluster,Score,Type,Gene,Symbol,Network
3,4.545454545454546,Clustered,55847,CISD1,MyList_SUB1
3,4.545454545454546,Clustered,7386,UQCRFS1,MyList_SUB1
3,4.545454545454546,Seed,388753,COA6,MyList_SUB1
3,4.545454545454546,Clustered,10476,ATP5PD,MyList_SUB1
3,4.545454545454546,Clustered,4706,NDUFAB1,MyList_SUB1
3,4.545454545454546,Clustered,515,ATP5PB,MyList_SUB1
3,4.545454545454546,Clustered,4700,NDUFA6,MyList_SUB1
3,4.545454545454546,Clustered,4714,NDUFB8,MyList_SUB1
3,4.545454545454546,Clustered,4725,NDUFS5,MyList_SUB1
3,4.545454545454546,Clustered,9512,PMPCB,MyList_SUB1
3,4.545454545454546,Clustered,1327,COX4I1,MyList_SUB1
4,2.7142857142857144,Seed,10197,PSME3,MyList_SUB1
4,2.7142857142857144,Clustered,5700,PSMC1,MyList_SUB1
4,2.7142857142857144,Clustered,5713,PSMD7,MyList_SUB1
4,2.7142857142857144,Clustered,4738,NEDD8,MyList_SUB1
4,2.7142857142857144,Clustered,6921,ELOC,MyList_SUB1
4,2.7142857142857144,Clustered,23392,ECPAS,MyList_SUB1
4,2.7142857142857144,Clustered,5710,PSMD4,MyList_SUB1
1,1.842105263157895,Clustered,10383,TUBB4B,MyList_SUB1
1,1.842105263157895,Clustered,9867,PJA2,MyList_SUB1
1,1.842105263157895,Clustered,9217,VAPB,MyList_SUB1
1,1.842105263157895,Clustered,6159,RPL29,MyList_SUB1
1,1.842105263157895,Clustered,3786,KCNQ3,MyList_SUB1
1,1.842105263157895,Clustered,9312,KCNB2,MyList_SUB1
1,1.842105263157895,Seed,51101,ZC2HC1A,MyList_SUB1
1,1.842105263157895,Clustered,10376,TUBA1B,MyList_SUB1
1,1.842105263157895,Clustered,5162,PDHB,MyList_SUB1
1,1.842105263157895,Clustered,6734,SRPRA,MyList_SUB1
1,1.842105263157895,Clustered,7532,YWHAG,MyList_SUB1
1,1.842105263157895,Clustered,6836,SURF4,MyList_SUB1
1,1.842105263157895,Clustered,3785,KCNQ2,MyList_SUB1
1,1.842105263157895,Clustered,5203,PFDN4,MyList_SUB1
1,1.842105263157895,Clustered,4591,TRIM37,MyList_SUB1
1,1.842105263157895,Clustered,57576,KIF17,MyList_SUB1
1,1.842105263157895,Clustered,7905,REEP5,MyList_SUB1
1,1.842105263157895,Clustered,10471,PFDN6,MyList_SUB1
1,1.842105263157895,Clustered,4131,MAP1B,MyList_SUB1
2,1.3846153846153846,Clustered,3320,HSP90AA1,MyList_SUB1
2,1.3846153846153846,Clustered,57154,SMURF1,MyList_SUB1
2,1.3846153846153846,Clustered,819,CAMLG,MyList_SUB1
2,1.3846153846153846,Clustered,5245,PHB1,MyList_SUB1
2,1.3846153846153846,Seed,7360,UGP2,MyList_SUB1
2,1.3846153846153846,Clustered,1780,DYNC1I1,MyList_SUB1
2,1.3846153846153846,Clustered,94056,SYAP1,MyList_SUB1
2,1.3846153846153846,Clustered,7846,TUBA1A,MyList_SUB1
2,1.3846153846153846,Clustered,6789,STK4,MyList_SUB1
2,1.3846153846153846,Clustered,80856,LNPK,MyList_SUB1
2,1.3846153846153846,Clustered,4830,NME1,MyList_SUB1
2,1.3846153846153846,Clustered,10970,CKAP4,MyList_SUB1
2,1.3846153846153846,Clustered,2224,FDPS,MyList_SUB1
5,1.2857142857142858,Clustered,7001,PRDX2,MyList_SUB1
5,1.2857142857142858,Clustered,445,ASS1,MyList_SUB1
5,1.2857142857142858,Clustered,84056,KATNAL1,MyList_SUB1
5,1.2857142857142858,Seed,528,ATP6V1C1,MyList_SUB1
5,1.2857142857142858,Clustered,5718,PSMD12,MyList_SUB1
5,1.2857142857142858,Clustered,4905,NSF,MyList_SUB1
5,1.2857142857142858,Clustered,2821,GPI,MyList_SUB1
6,1.0,Clustered,55168,MRPS18A,MyList_SUB1
6,1.0,Clustered,6182,MRPL12,MyList_SUB1
6,1.0,Seed,54460,MRPS21,MyList_SUB1
7,1.0,Clustered,23142,DCUN1D4,MyList_SUB1
7,1.0,Clustered,80344,DCAF11,MyList_SUB1
7,1.0,Clustered,29099,COMMD9,MyList_SUB1
8,1.0,Seed,4659,PPP1R12A,MyList_SUB1
8,1.0,Clustered,88,ACTN2,MyList_SUB1
8,1.0,Clustered,128866,CHMP4B,MyList_SUB1
