Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
7167,3.0,1,1,1
2878,3.0,1,1,1
79142,3.0,1,1,1
131118,3.0,1,1,1
8927,3.0,1,1,1
4830,3.0,1,1,1
10787,3.0,1,1,1
131474,3.0,1,1,1
4725,3.0,1,1,1
26519,3.0,1,1,1
7320,3.0,1,1,1
515,3.0,1,1,1
3786,3.0,1,1,1
50861,3.0,1,1,1
22919,3.0,1,1,1
3956,3.0,1,1,1
3838,3.0,1,1,1
3619,3.0,1,1,1
10476,3.0,1,1,1
2730,3.0,1,1,1
29078,3.0,1,1,1
10947,3.0,1,1,1
5599,3.0,1,1,1
80115,3.0,1,1,1
50,3.0,1,1,1
7001,3.0,1,1,1
522,3.0,1,1,1
55737,3.0,1,1,1
91137,3.0,1,1,1
6857,3.0,1,1,1
4714,3.0,1,1,1
79085,3.0,1,1,1
25782,3.0,1,1,1
55245,3.0,1,1,1
3251,3.0,1,1,1
81832,3.0,1,1,1
3984,3.0,1,1,1
103,3.0,1,1,1
6734,3.0,1,1,1
10197,3.0,1,1,1
115827,3.0,1,1,1
9217,3.0,1,1,1
4700,3.0,1,1,1
81565,3.0,1,1,1
1175,3.0,1,1,1
830,3.0,1,1,1
6623,3.0,1,1,1
57576,3.0,1,1,1
9512,3.0,1,1,1
10479,3.0,1,1,1
1353,3.0,1,1,1
9334,3.0,1,1,1
27347,3.0,1,1,1
401505,3.0,1,1,1
11075,3.0,1,1,1
440574,3.0,1,1,1
388753,3.0,1,1,1
55847,3.0,1,1,1
2936,3.0,1,1,1
1386,3.0,1,1,1
1740,3.0,1,1,1
6789,3.0,1,1,1
1063,3.0,1,1,1
1327,3.0,1,1,1
88,3.0,1,1,1
9734,3.0,1,1,1
29883,3.0,1,1,1
5162,3.0,1,1,1
9342,3.0,1,1,1
80331,3.0,1,1,1
3320,3.0,1,1,1
81620,3.0,1,1,1
9551,3.0,1,1,1
51248,3.0,1,1,1
84817,3.0,1,1,1
5361,3.0,1,1,1
57154,3.0,1,1,1
128866,3.0,1,1,1
1780,3.0,1,1,1
23025,3.0,1,1,1
2821,3.0,1,1,1
7390,3.0,1,1,1
10059,3.0,1,1,1
4706,3.0,1,1,1
7386,3.0,1,1,1
2932,3.0,1,1,1
55744,3.0,1,1,1
113130,3.0,1,1,1
81889,3.0,1,1,1
51566,3.0,1,1,1
84303,3.0,1,1,1
6391,3.0,1,1,1
3939,3.0,1,1,1
4131,3.0,1,1,1
7846,3.0,1,1,1
54557,3.0,1,1,1
57630,3.0,1,1,1
54332,3.0,1,1,1
5664,3.0,1,1,1
445,3.0,1,1,1
81929,3.0,1,1,1
6159,2.0,1,0,1
826,2.0,1,0,1
1718,2.0,1,0,1
7905,2.0,1,0,1
8508,2.0,1,0,1
3785,2.0,1,0,1
6990,2.0,1,0,1
4905,2.0,1,0,1
5824,2.0,1,0,1
2764,2.0,1,0,1
2739,2.0,1,0,1
79870,2.0,1,0,1
1534,2.0,1,0,1
5713,2.0,1,0,1
11152,2.0,1,0,1
80790,2.0,1,0,1
260334,2.0,1,0,1
84246,2.0,1,0,1
154807,2.0,1,0,1
57670,2.0,1,0,1
55197,2.0,1,0,1
34,2.0,1,0,1
6863,2.0,1,0,1
11017,2.0,1,0,1
84856,2.0,1,0,1
51253,2.0,1,0,1
1993,2.0,1,0,1
6827,2.0,1,0,1
819,2.0,1,0,1
6921,2.0,1,0,1
6182,2.0,1,0,1
10522,2.0,1,0,1
143384,2.0,1,0,1
5527,2.0,1,0,1
60680,2.0,1,0,1
142940,2.0,1,0,1
171024,2.0,1,0,1
55585,2.0,1,0,1
81669,2.0,1,0,1
150678,2.0,1,0,1
2918,2.0,1,0,1
23142,2.0,1,0,1
84908,2.0,1,0,1
10730,2.0,1,0,1
4351,2.0,1,0,1
51491,2.0,1,0,1
10383,2.0,1,0,1
374875,2.0,1,0,1
963,2.0,1,0,1
29967,2.0,1,0,1
7803,2.0,1,0,1
57179,2.0,1,0,1
27122,2.0,1,0,1
10471,2.0,1,0,1
1137,2.0,1,0,1
1845,2.0,1,0,1
51209,2.0,1,0,1
79183,2.0,1,0,1
5127,2.0,1,0,1
10970,2.0,1,0,1
54460,2.0,1,0,1
4659,2.0,1,0,1
23760,2.0,1,0,1
81892,2.0,1,0,1
57515,2.0,1,0,1
51109,2.0,1,0,1
23253,2.0,1,0,1
94134,2.0,1,0,1
51560,2.0,1,0,1
9308,2.0,1,0,1
60528,2.0,1,0,1
27101,2.0,1,0,1
5529,2.0,1,0,1
286016,2.0,1,0,1
1301,2.0,1,0,1
51573,2.0,1,0,1
2596,2.0,1,0,1
80344,2.0,1,0,1
10900,2.0,1,0,1
23676,2.0,1,0,1
2776,2.0,1,0,1
51594,2.0,1,0,1
130574,2.0,1,0,1
6992,2.0,1,0,1
5475,2.0,1,0,1
51222,2.0,1,0,1
9270,2.0,1,0,1
2224,2.0,1,0,1
653505,2.0,1,0,1
93081,2.0,1,0,1
5700,2.0,1,0,1
9867,2.0,1,0,1
51388,2.0,1,0,1
7532,2.0,1,0,1
7360,2.0,1,0,1
1109,2.0,1,0,1
391356,2.0,1,0,1
83892,2.0,1,0,1
90332,2.0,1,0,1
56675,2.0,1,0,1
79858,2.0,1,0,1
84293,2.0,1,1,0
55884,2.0,1,0,1
284106,2.0,1,0,1
55187,2.0,1,0,1
5710,2.0,1,0,1
55168,2.0,1,0,1
1774,2.0,1,0,1
80148,2.0,1,0,1
378708,2.0,1,0,1
94056,2.0,1,0,1
27166,2.0,1,1,0
56888,2.0,1,0,1
5874,2.0,1,1,0
528,2.0,1,0,1
8428,2.0,1,0,1
85352,2.0,1,0,1
5877,2.0,1,0,1
128553,2.0,1,0,1
4606,2.0,1,0,1
23335,2.0,1,0,1
2977,2.0,1,0,1
7163,2.0,1,0,1
83605,2.0,1,0,1
55530,2.0,1,0,1
10376,2.0,1,0,1
64769,2.0,1,0,1
6721,2.0,1,0,1
146,2.0,1,0,1
55061,2.0,1,0,1
1290,2.0,1,0,1
57172,2.0,1,0,1
83593,2.0,1,0,1
1848,2.0,1,0,1
6009,2.0,1,0,1
5245,2.0,1,0,1
56990,2.0,1,0,1
5293,2.0,1,0,1
56934,2.0,1,0,1
5203,2.0,1,0,1
9878,2.0,1,0,1
8496,2.0,1,0,1
5810,2.0,1,0,1
80856,2.0,1,0,1
810,2.0,1,0,1
5002,2.0,1,0,1
1501,2.0,1,0,1
51102,2.0,1,0,1
84056,2.0,1,0,1
64960,2.0,1,0,1
26995,2.0,1,0,1
29099,2.0,1,0,1
3171,2.0,1,0,1
79589,2.0,1,0,1
23392,2.0,1,0,1
30011,2.0,1,0,1
26002,2.0,1,0,1
9312,2.0,1,0,1
29887,2.0,1,0,1
5165,2.0,1,0,1
63908,2.0,1,0,1
56255,2.0,1,0,1
3797,2.0,1,0,1
124808,2.0,1,0,1
29086,2.0,1,0,1
6547,2.0,1,1,0
5176,2.0,1,0,1
5718,2.0,1,0,1
127933,2.0,1,0,1
221895,2.0,1,0,1
25996,2.0,1,0,1
339230,2.0,1,0,1
3035,2.0,1,0,1
23362,2.0,1,0,1
1892,2.0,1,0,1
25911,2.0,1,0,1
4738,2.0,1,0,1
398,2.0,1,0,1
64881,2.0,1,0,1
4901,2.0,1,0,1
8030,2.0,1,0,1
8543,2.0,1,0,1
55074,2.0,1,0,1
5535,2.0,1,0,1
83636,2.0,1,1,0
55907,2.0,1,0,1
2630,2.0,1,0,1
51143,2.0,1,0,1
22911,2.0,1,1,0
4885,2.0,1,0,1
4952,2.0,1,0,1
139596,2.0,1,0,1
376267,2.0,1,0,1
51101,2.0,1,0,1
433,2.0,1,0,1
79961,2.0,1,0,1
26750,2.0,1,0,1
151556,2.0,1,1,0
