Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0080135,regulation of cellular response to stress,19_GO:0050896 response to stimulus,-6.1,2.5,5.8,30293,661,640,35,5.5,0.9,581|624|1540|2023|2140|2907|4215|4968|5802|5871|5893|6118|6601|7009|8578|8841|9016|9856|10062|10162|10494|23008|23411|51562|57707|57805|79000|79184|84309|84501|84787|93624|116028|150275|153090,BAX|BDKRB2|CYLD|ENO1|EYA3|GRINA|MAP3K3|OGG1|PTPRS|MAP4K2|RAD52|RPA2|SMARCC2|TMBIM6|SCARF1|HDAC3|SLC25A14|KIAA0319|NR1H3|LPCAT3|STK25|KLHDC10|SIRT1|MBIP|MEAK7|CCAR2|AUNIP|BRCC3|NUDT16L1|SPIRE2|KMT5C|TADA2B|RMI2|CCDC117|DAB2IP,-1.9,MyList
GO Biological Processes,19,GO:0032446,protein modification by small protein conjugation,19_GO:0008152 metabolic process,-5.4,2.3,5.3,30293,711,640,35,5.5,0.9,2176|2178|6477|7260|7325|7737|8805|8816|9520|10293|23008|23295|23411|26224|30837|51569|51667|55223|57161|57799|64326|64708|64718|79084|79184|80263|81790|89890|90850|118424|140460|200845|205564|282808|348180,FANCC|FANCE|SIAH1|EIPR1|UBE2E2|RNF113A|TRIM24|DCAF5|NPEPPS|TRAIP|KLHDC10|MGRN1|SIRT1|FBXL3|SOCS7|UFM1|NUB1|TRIM62|PELI2|RAB40C|COP1|COPS7B|UNKL|WDR77|BRCC3|TRIM45|RNF170|KBTBD6|ZNF598|UBE2J2|ASB7|KCTD6|SENP5|RAB40AL|CTU2,-1.7,MyList
GO Biological Processes,19,GO:0021542,dentate gyrus development,19_GO:0032502 developmental process,-5.2,12,8,30293,23,640,6,0.94,0.38,4760|5629|9513|29954|66000|79969,NEUROD1|PROX1|FXR2|POMT2|TMEM108|ATAT1,-1.7,MyList
GO Biological Processes,19,GO:0010256,endomembrane system organization,19_GO:0009987 cellular process,-5,2.5,5.1,30293,555,640,29,4.5,0.82,19|225|1174|2580|3267|5819|6609|6811|6855|7357|8841|8943|9101|10162|10328|10494|11018|23023|23399|55204|55627|55831|57198|79065|116238|116841|162427|222068|399979,ABCA1|ABCD2|AP1S1|GAK|AGFG1|NECTIN2|SMPD1|STX5|SYP|UGCG|HDAC3|AP3D1|USP8|LPCAT3|EMC8|STK25|TMED1|TMCC1|CTDNEP1|GOLPH3L|SMPD4|EMC3|ATP8B2|ATG9A|TLCD1|SNAP47|RETREG3|TMED4|SNX19,-1.7,MyList
GO Biological Processes,19,GO:0045540,regulation of cholesterol biosynthetic process,19_GO:0008152 metabolic process,-5,11,7.6,30293,25,640,6,0.94,0.38,6721|8720|9619|10162|11160|64137,SREBF2|MBTPS1|ABCG1|LPCAT3|ERLIN2|ABCG4,-1.7,MyList
GO Biological Processes,19,GO:0106118,regulation of sterol biosynthetic process,19_GO:0008152 metabolic process,-5,11,7.6,30293,25,640,6,0.94,0.38,6721|8720|9619|10162|11160|64137,SREBF2|MBTPS1|ABCG1|LPCAT3|ERLIN2|ABCG4,-1.7,MyList
GO Biological Processes,19,GO:0007018,microtubule-based movement,19_GO:0009987 cellular process,-5,2.8,5.2,30293,389,640,23,3.6,0.74,320|8943|9742|10126|11189|22820|25911|26074|26330|27285|54768|66000|79819|83538|84871|112752|118426|151254|152110|154313|201625|202500|257044,APBA1|AP3D1|IFT140|DNAL4|CELF3|COPG1|DPCD|CFAP61|GAPDHS|TEKT2|HYDIN|TMEM108|DNAI4|ODAD4|AGBL4|IFT43|BORCS5|C2CD6|NEK10|CFAP206|DNAH12|TCTE1|CATSPERE,-1.7,MyList
GO Biological Processes,19,GO:0046890,regulation of lipid biosynthetic process,19_GO:0008152 metabolic process,-4.9,3.8,5.6,30293,187,640,15,2.3,0.6,225|1609|5629|6721|8398|8720|8816|9619|10062|10162|11160|23399|23411|57761|64137,ABCD2|DGKQ|PROX1|SREBF2|PLA2G6|MBTPS1|DCAF5|ABCG1|NR1H3|LPCAT3|ERLIN2|CTDNEP1|SIRT1|TRIB3|ABCG4,-1.7,MyList
GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-4.8,2.2,4.9,30293,757,640,35,5.5,0.9,19|225|575|581|1173|4038|5819|6609|6811|6855|7357|8841|8943|9619|10162|10328|23023|23399|27032|29928|51272|51761|54978|55204|55831|56993|57198|79065|84501|85358|116238|116841|196383|255027|375323,ABCA1|ABCD2|ADGRB1|BAX|AP2M1|LRP4|NECTIN2|SMPD1|STX5|SYP|UGCG|HDAC3|AP3D1|ABCG1|LPCAT3|EMC8|TMCC1|CTDNEP1|ATP2C1|TIMM22|BET1L|ATP8A2|SLC35F6|GOLPH3L|EMC3|TOMM22|ATP8B2|ATG9A|SPIRE2|SHANK3|TLCD1|SNAP47|RILPL2|MPV17L|LHFPL4,-1.6,MyList
GO Biological Processes,19,GO:0016567,protein ubiquitination,19_GO:0008152 metabolic process,-4.8,2.3,4.9,30293,633,640,31,4.8,0.85,2176|2178|6477|7260|7325|7737|8805|8816|9520|10293|23008|23295|23411|26224|30837|51667|55223|57161|57799|64326|64718|79084|79184|80263|81790|89890|90850|118424|140460|200845|282808,FANCC|FANCE|SIAH1|EIPR1|UBE2E2|RNF113A|TRIM24|DCAF5|NPEPPS|TRAIP|KLHDC10|MGRN1|SIRT1|FBXL3|SOCS7|NUB1|TRIM62|PELI2|RAB40C|COP1|UNKL|WDR77|BRCC3|TRIM45|RNF170|KBTBD6|ZNF598|UBE2J2|ASB7|KCTD6|RAB40AL,-1.6,MyList
