_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3,GO:0010565,regulation of cellular ketone metabolic process,M1,1,0
1,-2.3,GO:0055080,monoatomic cation homeostasis,M1,1,0
1,-3.9,GO:0010975,regulation of neuron projection development,M1,1,0
1,-2.4,GO:0097722,sperm motility,M1,1,0
1,-3.1,GO:0061709,reticulophagy,M1,1,0
1,-2.1,GO:1905037,autophagosome organization,M1,1,0
1,-2.6,GO:1903510,mucopolysaccharide metabolic process,M1,1,0
1,-2.5,GO:0010745,negative regulation of macrophage derived foam cell differentiation,M1,1,0
1,-2.1,GO:0007283,spermatogenesis,M1,1,0
1,-2.5,GO:0033137,negative regulation of peptidyl-serine phosphorylation,M1,1,0
1,-2.1,GO:0007167,enzyme-linked receptor protein signaling pathway,M1,1,0
1,-4.2,GO:0045446,endothelial cell differentiation,M1,1,0
1,-2.7,GO:0097035,regulation of membrane lipid distribution,M1,1,0
1,-2.5,GO:0006829,zinc ion transport,M1,1,0
1,-3.1,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2.8,GO:0035268,protein mannosylation,M1,1,0
1,-2.2,GO:0140352,export from cell,M1,1,0
1,-2.2,GO:0072171,mesonephric tubule morphogenesis,M1,1,0
1,-2.6,GO:0001658,branching involved in ureteric bud morphogenesis,M1,1,0
1,-2.2,GO:0045913,positive regulation of carbohydrate metabolic process,M1,1,0
1,-3.1,GO:0021766,hippocampus development,M1,1,0
1,-3.7,GO:0022411,cellular component disassembly,M1,1,0
1,-3.1,GO:0031400,negative regulation of protein modification process,M1,1,0
1,-2.3,GO:0030001,metal ion transport,M1,1,0
1,-2.3,GO:0098657,import into cell,M1,1,0
1,-2.3,GO:0010562,positive regulation of phosphorus metabolic process,M1,1,0
1,-4.3,GO:0062013,positive regulation of small molecule metabolic process,M1,1,0
1,-2,GO:0072073,kidney epithelium development,M1,1,0
1,-2.7,GO:0045717,negative regulation of fatty acid biosynthetic process,M1,1,0
1,-2.8,GO:0006066,alcohol metabolic process,M1,1,0
1,-3.5,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,M1,1,0
1,-4.7,GO:0090181,regulation of cholesterol metabolic process,M1,1,0
1,-2.4,GO:0006469,negative regulation of protein kinase activity,M1,1,0
1,-2.2,GO:0009896,positive regulation of catabolic process,M1,1,0
1,-2.1,GO:1903509,liposaccharide metabolic process,M1,1,0
1,-3.1,GO:0051668,localization within membrane,M1,1,0
1,-2.9,GO:0098609,cell-cell adhesion,M1,1,0
1,-2,GO:0006470,protein dephosphorylation,M1,1,0
1,-3.1,GO:2001233,regulation of apoptotic signaling pathway,M1,1,0
1,-3.1,GO:0030308,negative regulation of cell growth,M1,1,0
1,-2.4,GO:0061333,renal tubule morphogenesis,M1,1,0
1,-2.3,GO:0001541,ovarian follicle development,M1,1,0
1,-2.2,GO:0051348,negative regulation of transferase activity,M1,1,0
1,-2.2,GO:0051098,regulation of binding,M1,1,0
1,-2.2,GO:0045859,regulation of protein kinase activity,M1,1,0
