_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-6.096019384133694,GO:0050896,response to stimulus,M1,1,GO:0080135 regulation of cellular response to stress
1,-5.387880668181608,GO:0008152,metabolic process,M1,1,GO:0032446 protein modification by small protein conjugation
1,-5.190159901317807,GO:0032502,developmental process,M1,1,GO:0021542 dentate gyrus development
1,-5.044992243185037,GO:0009987,cellular process,M1,1,GO:0010256 endomembrane system organization
1,-4.29070413840965,GO:0048518,positive regulation of biological process,M1,1,GO:0062013 positive regulation of small molecule metabolic process
1,-3.805350270507794,GO:0051179,localization,M1,1,GO:0032376 positive regulation of cholesterol transport
1,-3.7518354316305262,GO:0050789,regulation of biological process,M1,1,GO:0120035 regulation of plasma membrane bounded cell projection organization
1,-3.3311119463759926,GO:0048519,negative regulation of biological process,M1,1,GO:0042326 negative regulation of phosphorylation
1,-3.1579735572491425,GO:0042592,homeostatic process,M1,1,GO:0019725 cellular homeostasis
1,-3.1356266920658906,GO:0040007,growth,M1,1,GO:0030308 negative regulation of cell growth
1,-2.7445116924736745,GO:0065007,biological regulation,M1,1,GO:0097035 regulation of membrane lipid distribution
1,-2.5561560882366945,GO:0032501,multicellular organismal process,M1,1,GO:0071827 plasma lipoprotein particle organization
1,-2.530573166420718,GO:0048511,rhythmic process,M1,1,GO:0042752 regulation of circadian rhythm
1,-2.4442360365883347,GO:0022414,reproductive process,M1,1,GO:0008585 female gonad development
1,-2.1802494384752076,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0062207 regulation of pattern recognition receptor signaling pathway
