Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0032446,protein modification by small protein conjugation,19_GO:0008152 metabolic process,-7.6,2.9,6.7,30293,711,492,34,6.9,1.1,2176|2178|6477|7260|7325|7737|8805|8816|9520|10293|23008|23295|23411|26224|30837|51569|51667|57161|57799|64326|64708|64718|79084|79184|80263|81790|89890|90850|118424|140460|200845|205564|282808|348180,FANCC|FANCE|SIAH1|EIPR1|UBE2E2|RNF113A|TRIM24|DCAF5|NPEPPS|TRAIP|KLHDC10|MGRN1|SIRT1|FBXL3|SOCS7|UFM1|NUB1|PELI2|RAB40C|COP1|COPS7B|UNKL|WDR77|BRCC3|TRIM45|RNF170|KBTBD6|ZNF598|UBE2J2|ASB7|KCTD6|SENP5|RAB40AL|CTU2,-4.5
MyList,GO Biological Processes,19,GO:0080135,regulation of cellular response to stress,19_GO:0050896 response to stimulus,-6.8,2.9,6.3,30293,661,492,31,6.3,1.1,581|624|1540|2023|2907|4215|4968|5802|5871|5893|6118|6601|7009|8841|9016|9856|10062|10162|10494|23008|23411|51562|57707|57805|79184|84309|84501|84787|93624|116028|153090,BAX|BDKRB2|CYLD|ENO1|GRINA|MAP3K3|OGG1|PTPRS|MAP4K2|RAD52|RPA2|SMARCC2|TMBIM6|HDAC3|SLC25A14|KIAA0319|NR1H3|LPCAT3|STK25|KLHDC10|SIRT1|MBIP|MEAK7|CCAR2|BRCC3|NUDT16L1|SPIRE2|KMT5C|TADA2B|RMI2|DAB2IP,-4
MyList,GO Biological Processes,19,GO:0016567,protein ubiquitination,19_GO:0008152 metabolic process,-6.7,2.9,6.3,30293,633,492,30,6.1,1.1,2176|2178|6477|7260|7325|7737|8805|8816|9520|10293|23008|23295|23411|26224|30837|51667|57161|57799|64326|64718|79084|79184|80263|81790|89890|90850|118424|140460|200845|282808,FANCC|FANCE|SIAH1|EIPR1|UBE2E2|RNF113A|TRIM24|DCAF5|NPEPPS|TRAIP|KLHDC10|MGRN1|SIRT1|FBXL3|SOCS7|NUB1|PELI2|RAB40C|COP1|UNKL|WDR77|BRCC3|TRIM45|RNF170|KBTBD6|ZNF598|UBE2J2|ASB7|KCTD6|RAB40AL,-3.9
MyList,GO Biological Processes,19,GO:0046890,regulation of lipid biosynthetic process,19_GO:0008152 metabolic process,-6.3,4.9,6.9,30293,187,492,15,3,0.78,225|1609|5629|6721|8398|8720|8816|9619|10062|10162|11160|23399|23411|57761|64137,ABCD2|DGKQ|PROX1|SREBF2|PLA2G6|MBTPS1|DCAF5|ABCG1|NR1H3|LPCAT3|ERLIN2|CTDNEP1|SIRT1|TRIB3|ABCG4,-3.6
MyList,GO Biological Processes,19,GO:0010256,endomembrane system organization,19_GO:0009987 cellular process,-6.3,3,6.1,30293,555,492,27,5.5,1,19|225|1174|2580|3267|5819|6609|6811|6855|7357|8841|8943|9101|10162|10328|10494|11018|23399|55204|55627|55831|57198|79065|116841|162427|222068|399979,ABCA1|ABCD2|AP1S1|GAK|AGFG1|NECTIN2|SMPD1|STX5|SYP|UGCG|HDAC3|AP3D1|USP8|LPCAT3|EMC8|STK25|TMED1|CTDNEP1|GOLPH3L|SMPD4|EMC3|ATP8B2|ATG9A|SNAP47|RETREG3|TMED4|SNX19,-3.6
MyList,GO Biological Processes,19,GO:0062012,regulation of small molecule metabolic process,19_GO:0008152 metabolic process,-6.2,3.7,6.4,30293,332,492,20,4.1,0.89,225|1609|2023|5261|5566|5629|6721|8660|8671|8720|8816|9619|10062|10162|11160|23411|26330|57761|64137|90956,ABCD2|DGKQ|ENO1|PHKG2|PRKACA|PROX1|SREBF2|IRS2|SLC4A4|MBTPS1|DCAF5|ABCG1|NR1H3|LPCAT3|ERLIN2|SIRT1|GAPDHS|TRIB3|ABCG4|ADCK2,-3.5
MyList,GO Biological Processes,19,GO:0021542,dentate gyrus development,19_GO:0032502 developmental process,-5.8,16,9.3,30293,23,492,6,1.2,0.49,4760|5629|9513|29954|66000|79969,NEUROD1|PROX1|FXR2|POMT2|TMEM108|ATAT1,-3.2
MyList,GO Biological Processes,19,GO:0106118,regulation of sterol biosynthetic process,19_GO:0008152 metabolic process,-5.6,15,8.9,30293,25,492,6,1.2,0.49,6721|8720|9619|10162|11160|64137,SREBF2|MBTPS1|ABCG1|LPCAT3|ERLIN2|ABCG4,-3.1
MyList,GO Biological Processes,19,GO:0045540,regulation of cholesterol biosynthetic process,19_GO:0008152 metabolic process,-5.6,15,8.9,30293,25,492,6,1.2,0.49,6721|8720|9619|10162|11160|64137,SREBF2|MBTPS1|ABCG1|LPCAT3|ERLIN2|ABCG4,-3.1
MyList,GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-5.5,2.5,5.4,30293,757,492,31,6.3,1.1,19|225|575|581|1173|4038|5819|6609|6811|6855|7357|8841|8943|9619|10162|10328|23399|27032|29928|51272|51761|54978|55204|55831|56993|57198|79065|84501|85358|116841|375323,ABCA1|ABCD2|ADGRB1|BAX|AP2M1|LRP4|NECTIN2|SMPD1|STX5|SYP|UGCG|HDAC3|AP3D1|ABCG1|LPCAT3|EMC8|CTDNEP1|ATP2C1|TIMM22|BET1L|ATP8A2|SLC35F6|GOLPH3L|EMC3|TOMM22|ATP8B2|ATG9A|SPIRE2|SHANK3|SNAP47|LHFPL4,-3
