Cluster,Score,Type,Gene,Symbol,Network
4,2.111111111111111,Clustered,10121,ACTR1A,MyList_SUB1
4,2.111111111111111,Clustered,23186,RCOR1,MyList_SUB1
4,2.111111111111111,Clustered,51742,ARID4B,MyList_SUB1
4,2.111111111111111,Clustered,10849,POLR1G,MyList_SUB1
4,2.111111111111111,Clustered,54552,GNL3L,MyList_SUB1
4,2.111111111111111,Clustered,10120,ACTR1B,MyList_SUB1
4,2.111111111111111,Clustered,6601,SMARCC2,MyList_SUB1
4,2.111111111111111,Seed,10969,EBNA1BP2,MyList_SUB1
4,2.111111111111111,Clustered,5926,ARID4A,MyList_SUB1
6,2.0,Clustered,79065,ATG9A,MyList_SUB1
6,2.0,Clustered,160,AP2A1,MyList_SUB1
6,2.0,Clustered,1173,AP2M1,MyList_SUB1
6,2.0,Clustered,9685,CLINT1,MyList_SUB1
6,2.0,Seed,1174,AP1S1,MyList_SUB1
1,1.84375,Clustered,23641,LDOC1,MyList_SUB1
1,1.84375,Clustered,5893,RAD52,MyList_SUB1
1,1.84375,Clustered,64968,MRPS6,MyList_SUB1
1,1.84375,Clustered,85451,UNK,MyList_SUB1
1,1.84375,Clustered,26330,GAPDHS,MyList_SUB1
1,1.84375,Clustered,64432,MRPS25,MyList_SUB1
1,1.84375,Clustered,10469,TIMM44,MyList_SUB1
1,1.84375,Clustered,90850,ZNF598,MyList_SUB1
1,1.84375,Clustered,80198,MUS81,MyList_SUB1
1,1.84375,Clustered,83943,IMMP2L,MyList_SUB1
1,1.84375,Clustered,10245,TIMM17B,MyList_SUB1
1,1.84375,Clustered,10713,USP39,MyList_SUB1
1,1.84375,Seed,10946,SF3A3,MyList_SUB1
1,1.84375,Clustered,10528,NOP56,MyList_SUB1
1,1.84375,Clustered,11051,NUDT21,MyList_SUB1
1,1.84375,Clustered,138474,TAF1L,MyList_SUB1
1,1.84375,Clustered,55138,FAM90A1,MyList_SUB1
1,1.84375,Clustered,29928,TIMM22,MyList_SUB1
1,1.84375,Clustered,116028,RMI2,MyList_SUB1
1,1.84375,Clustered,26224,FBXL3,MyList_SUB1
1,1.84375,Clustered,79132,DHX58,MyList_SUB1
1,1.84375,Clustered,55269,PSPC1,MyList_SUB1
1,1.84375,Clustered,9513,FXR2,MyList_SUB1
1,1.84375,Clustered,79819,DNAI4,MyList_SUB1
1,1.84375,Clustered,55210,ATAD3A,MyList_SUB1
1,1.84375,Clustered,93624,TADA2B,MyList_SUB1
1,1.84375,Clustered,57761,TRIB3,MyList_SUB1
1,1.84375,Clustered,56993,TOMM22,MyList_SUB1
1,1.84375,Clustered,27443,CECR2,MyList_SUB1
1,1.84375,Clustered,5892,RAD51D,MyList_SUB1
1,1.84375,Clustered,5170,PDPK1,MyList_SUB1
1,1.84375,Clustered,161436,EML5,MyList_SUB1
5,1.75,Clustered,11021,RAB35,MyList_SUB1
5,1.75,Clustered,6609,SMPD1,MyList_SUB1
5,1.75,Clustered,79139,DERL1,MyList_SUB1
5,1.75,Clustered,6811,STX5,MyList_SUB1
5,1.75,Clustered,116841,SNAP47,MyList_SUB1
5,1.75,Clustered,55627,SMPD4,MyList_SUB1
5,1.75,Clustered,7357,UGCG,MyList_SUB1
5,1.75,Seed,340485,ACER2,MyList_SUB1
7,1.5,Clustered,1006,CDH8,MyList_SUB1
7,1.5,Clustered,8642,DCHS1,MyList_SUB1
7,1.5,Seed,28316,CDH20,MyList_SUB1
7,1.5,Clustered,60437,CDH26,MyList_SUB1
3,1.4545454545454546,Clustered,2023,ENO1,MyList_SUB1
3,1.4545454545454546,Clustered,166,TLE5,MyList_SUB1
3,1.4545454545454546,Clustered,10093,ARPC4,MyList_SUB1
3,1.4545454545454546,Clustered,8408,ULK1,MyList_SUB1
3,1.4545454545454546,Clustered,5261,PHKG2,MyList_SUB1
3,1.4545454545454546,Seed,2580,GAK,MyList_SUB1
3,1.4545454545454546,Clustered,55869,HDAC8,MyList_SUB1
3,1.4545454545454546,Clustered,9656,MDC1,MyList_SUB1
3,1.4545454545454546,Clustered,10325,RRAGB,MyList_SUB1
3,1.4545454545454546,Clustered,10552,ARPC1A,MyList_SUB1
3,1.4545454545454546,Clustered,5566,PRKACA,MyList_SUB1
2,1.3571428571428572,Clustered,4867,NPHP1,MyList_SUB1
2,1.3571428571428572,Clustered,29954,POMT2,MyList_SUB1
2,1.3571428571428572,Clustered,10585,POMT1,MyList_SUB1
2,1.3571428571428572,Clustered,80776,B9D2,MyList_SUB1
2,1.3571428571428572,Clustered,84305,PYM1,MyList_SUB1
2,1.3571428571428572,Clustered,1503,CTPS1,MyList_SUB1
2,1.3571428571428572,Clustered,8816,DCAF5,MyList_SUB1
2,1.3571428571428572,Clustered,1874,E2F4,MyList_SUB1
2,1.3571428571428572,Clustered,7737,RNF113A,MyList_SUB1
2,1.3571428571428572,Clustered,84892,POMGNT2,MyList_SUB1
2,1.3571428571428572,Clustered,79154,DHRS11,MyList_SUB1
2,1.3571428571428572,Clustered,54344,DPM3,MyList_SUB1
2,1.3571428571428572,Clustered,5518,PPP2R1A,MyList_SUB1
2,1.3571428571428572,Clustered,5547,PRCP,MyList_SUB1
8,1.0,Clustered,282808,RAB40AL,MyList_SUB1
8,1.0,Seed,9520,NPEPPS,MyList_SUB1
8,1.0,Clustered,57799,RAB40C,MyList_SUB1
