Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
51562,3.0,1,1,1
57171,3.0,1,1,1
84309,3.0,1,1,1
10585,3.0,1,1,1
5566,3.0,1,1,1
64132,3.0,1,1,1
1756,3.0,1,1,1
4435,3.0,1,1,1
10005,3.0,1,1,1
7016,3.0,1,1,1
60437,3.0,1,1,1
54344,3.0,1,1,1
57715,3.0,1,1,1
29954,3.0,1,1,1
1174,3.0,1,1,1
10062,3.0,1,1,1
66000,3.0,1,1,1
55273,3.0,1,1,1
1496,3.0,1,1,1
7026,3.0,1,1,1
23411,3.0,1,1,1
8408,3.0,1,1,1
55869,3.0,1,1,1
5629,3.0,1,1,1
182,3.0,1,1,1
1609,3.0,1,1,1
79901,3.0,1,1,1
203,3.0,1,1,1
6855,3.0,1,1,1
339977,3.0,1,1,1
162427,3.0,1,1,1
57325,3.0,1,1,1
50515,3.0,1,1,1
3267,3.0,1,1,1
10245,3.0,1,1,1
4968,3.0,1,1,1
2907,3.0,1,1,1
10162,3.0,1,1,1
10636,3.0,1,1,1
144245,3.0,1,1,1
624,3.0,1,1,1
8398,3.0,1,1,1
55831,3.0,1,1,1
6484,3.0,1,1,1
4038,3.0,1,1,1
55347,3.0,1,1,1
2720,3.0,1,1,1
4089,3.0,1,1,1
84444,3.0,1,1,1
57720,3.0,1,1,1
5795,3.0,1,1,1
5818,3.0,1,1,1
19,3.0,1,1,1
8671,3.0,1,1,1
399979,3.0,1,1,1
1627,3.0,1,1,1
9742,3.0,1,1,1
9619,3.0,1,1,1
25789,3.0,1,1,1
2023,3.0,1,1,1
57451,3.0,1,1,1
6118,3.0,1,1,1
1173,3.0,1,1,1
8534,3.0,1,1,1
6609,3.0,1,1,1
2580,3.0,1,1,1
79065,3.0,1,1,1
2922,3.0,1,1,1
658,3.0,1,1,1
84623,3.0,1,1,1
1006,3.0,1,1,1
8816,3.0,1,1,1
28316,3.0,1,1,1
8660,3.0,1,1,1
4760,3.0,1,1,1
7009,3.0,1,1,1
84557,3.0,1,1,1
10469,3.0,1,1,1
10178,3.0,1,1,1
56920,3.0,1,1,1
6721,3.0,1,1,1
55627,3.0,1,1,1
9856,3.0,1,1,1
5774,3.0,1,1,1
84102,3.0,1,1,1
5045,3.0,1,1,1
27124,3.0,1,1,1
64802,3.0,1,1,1
8641,3.0,1,1,1
2690,3.0,1,1,1
2799,3.0,1,1,1
340485,3.0,1,1,1
57761,3.0,1,1,1
94241,3.0,1,1,1
8720,3.0,1,1,1
114781,3.0,1,1,1
54664,3.0,1,1,1
1503,3.0,1,1,1
8943,3.0,1,1,1
23399,3.0,1,1,1
57198,3.0,1,1,1
79184,3.0,1,1,1
26084,3.0,1,1,1
51761,3.0,1,1,1
116028,3.0,1,1,1
1910,3.0,1,1,1
9513,3.0,1,1,1
55366,3.0,1,1,1
55334,3.0,1,1,1
9486,3.0,1,1,1
9455,3.0,1,1,1
57805,3.0,1,1,1
84892,3.0,1,1,1
83943,3.0,1,1,1
5802,3.0,1,1,1
55062,3.0,1,1,1
153090,3.0,1,1,1
7371,3.0,1,1,1
199857,3.0,1,1,1
10328,3.0,1,1,1
6543,3.0,1,1,1
79969,3.0,1,1,1
2915,3.0,1,1,1
10527,3.0,1,1,1
8805,3.0,1,1,1
160,3.0,1,1,1
7781,3.0,1,1,1
581,3.0,1,1,1
50808,3.0,1,1,1
54946,3.0,1,1,1
9607,3.0,1,1,1
225,3.0,1,1,1
51569,3.0,1,1,1
8841,3.0,1,1,1
2582,3.0,1,1,1
56993,3.0,1,1,1
1901,3.0,1,1,1
8642,3.0,1,1,1
11160,3.0,1,1,1
116841,3.0,1,1,1
27032,3.0,1,1,1
29928,3.0,1,1,1
64137,3.0,1,1,1
80243,3.0,1,1,1
5819,3.0,1,1,1
11130,3.0,1,1,1
85358,3.0,1,1,1
387712,3.0,1,1,1
5261,3.0,1,1,1
23710,3.0,1,1,1
26330,3.0,1,1,1
85456,2.0,1,0,1
219333,2.0,1,0,1
10907,2.0,1,0,1
364,2.0,1,0,1
778,2.0,1,0,1
79446,2.0,1,0,1
23217,2.0,1,0,1
53822,2.0,1,1,0
80727,2.0,1,0,1
55295,2.0,1,0,1
9925,2.0,1,0,1
375323,2.0,1,0,1
10172,2.0,1,0,1
2178,2.0,1,0,1
54842,2.0,1,0,1
374378,2.0,1,0,1
7357,2.0,1,0,1
