_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.7,GO:0042158,lipoprotein biosynthetic process,M1,1,0
1,-2.5,GO:0043380,regulation of memory T cell differentiation,M1,1,0
1,-3.3,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-2.8,GO:0007005,mitochondrion organization,M1,1,0
1,-2.2,GO:0071241,cellular response to inorganic substance,M1,1,0
1,-2.9,GO:0001952,regulation of cell-matrix adhesion,M1,1,0
1,-2.1,GO:0030808,regulation of nucleotide biosynthetic process,M1,1,0
1,-2.8,GO:0051098,regulation of binding,M1,1,0
1,-2.1,GO:0002861,regulation of inflammatory response to antigenic stimulus,M1,1,0
1,-2.5,GO:0009165,nucleotide biosynthetic process,M1,1,0
1,-2.2,GO:0021575,hindbrain morphogenesis,M1,1,0
1,-3.6,GO:0031647,regulation of protein stability,M1,1,0
1,-2.1,GO:0051654,establishment of mitochondrion localization,M1,1,0
1,-3.9,GO:0031401,positive regulation of protein modification process,M1,1,0
1,-2.3,GO:1903531,negative regulation of secretion by cell,M1,1,0
1,-3.9,GO:0030705,cytoskeleton-dependent intracellular transport,M1,1,0
1,-2.9,GO:0042102,positive regulation of T cell proliferation,M1,1,0
1,-3.8,GO:0098935,dendritic transport,M1,1,0
1,-4.1,GO:0061045,negative regulation of wound healing,M1,1,0
1,-3.2,GO:0046634,regulation of alpha-beta T cell activation,M1,1,0
1,-11,GO:0042274,ribosomal small subunit biogenesis,M1,1,0
1,-2.1,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-2.5,GO:0031579,membrane raft organization,M1,1,0
1,-4,GO:0036294,cellular response to decreased oxygen levels,M1,1,0
1,-2.8,GO:0007596,blood coagulation,M1,1,0
1,-2.1,GO:0002711,positive regulation of T cell mediated immunity,M1,1,0
1,-2.1,GO:0032409,regulation of transporter activity,M1,1,0
1,-2.6,GO:0099111,microtubule-based transport,M1,1,0
1,-2.5,GO:0042113,B cell activation,M1,1,0
1,-2.8,GO:0045061,thymic T cell selection,M1,1,0
1,-2.6,GO:0045862,positive regulation of proteolysis,M1,1,0
1,-4.6,GO:0006605,protein targeting,M1,1,0
1,-2,GO:0006140,regulation of nucleotide metabolic process,M1,1,0
1,-6.6,GO:0007409,axonogenesis,M1,1,0
1,-2.1,GO:0046456,icosanoid biosynthetic process,M1,1,0
1,-4.4,GO:0035567,non-canonical Wnt signaling pathway,M1,1,0
1,-4.5,GO:2000146,negative regulation of cell motility,M1,1,0
1,-2.2,GO:0021859,pyramidal neuron differentiation,M1,1,0
1,-5.8,GO:1903532,positive regulation of secretion by cell,M1,1,0
1,-2.6,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-2.8,GO:0019079,viral genome replication,M1,1,0
1,-2,GO:0051963,regulation of synapse assembly,M1,1,0
1,-24,GO:0043604,amide biosynthetic process,M1,1,0
1,-3.7,GO:0006334,nucleosome assembly,M1,1,0
1,-3.3,GO:0010638,positive regulation of organelle organization,M1,1,0
1,-2.9,GO:0006497,protein lipidation,M1,1,0
1,-2.4,GO:0002253,activation of immune response,M1,1,0
1,-2.3,GO:0075294,positive regulation by symbiont of entry into host,M1,1,0
1,-6,GO:0050865,regulation of cell activation,M1,1,0
1,-3.2,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-2.7,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",M1,1,0
1,-4,GO:0034250,positive regulation of amide metabolic process,M1,1,0
1,-3,GO:0018345,protein palmitoylation,M1,1,0
1,-3.4,GO:0032946,positive regulation of mononuclear cell proliferation,M1,1,0
1,-2.5,GO:0032376,positive regulation of cholesterol transport,M1,1,0
1,-3.7,GO:0051960,regulation of nervous system development,M1,1,0
1,-3.3,GO:0008088,axo-dendritic transport,M1,1,0
1,-2.3,GO:0039531,regulation of cytoplasmic pattern recognition receptor signaling pathway,M1,1,0
1,-6.2,GO:0002478,antigen processing and presentation of exogenous peptide antigen,M1,1,0
1,-8.7,GO:0002503,peptide antigen assembly with MHC class II protein complex,M1,1,0
1,-2.2,GO:0097305,response to alcohol,M1,1,0
1,-2.7,GO:0015669,gas transport,M1,1,0
1,-4.7,GO:0045428,regulation of nitric oxide biosynthetic process,M1,1,0
1,-29,GO:0043043,peptide biosynthetic process,M1,1,0
1,-5.1,GO:1900152,"negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",M1,1,0
1,-4.8,GO:0050818,regulation of coagulation,M1,1,0
1,-4.1,GO:0098869,cellular oxidant detoxification,M1,1,0
1,-3,GO:0045058,T cell selection,M1,1,0
1,-4.3,GO:0030098,lymphocyte differentiation,M1,1,0
1,-2.1,GO:0006091,generation of precursor metabolites and energy,M1,1,0
1,-2.8,GO:0032874,positive regulation of stress-activated MAPK cascade,M1,1,0
1,-2,GO:0043368,positive T cell selection,M1,1,0
1,-4.4,GO:0043410,positive regulation of MAPK cascade,M1,1,0
1,-2.8,GO:0071216,cellular response to biotic stimulus,M1,1,0
1,-2.1,GO:2001259,positive regulation of cation channel activity,M1,1,0
1,-2.8,GO:0022604,regulation of cell morphogenesis,M1,1,0
1,-3.5,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-5,GO:0007610,behavior,M1,1,0
1,-2.8,GO:0051924,regulation of calcium ion transport,M1,1,0
1,-2.7,GO:0031503,protein-containing complex localization,M1,1,0
1,-3,GO:0051336,regulation of hydrolase activity,M1,1,0
1,-2.1,GO:0071168,protein localization to chromatin,M1,1,0
1,-4.2,GO:0045937,positive regulation of phosphate metabolic process,M1,1,0
1,-2.1,GO:0006356,regulation of transcription by RNA polymerase I,M1,1,0
1,-4.5,GO:0006338,chromatin remodeling,M1,1,0
1,-2.6,GO:0006959,humoral immune response,M1,1,0
1,-2.3,GO:0090278,negative regulation of peptide hormone secretion,M1,1,0
1,-3.2,GO:1900373,positive regulation of purine nucleotide biosynthetic process,M1,1,0
1,-2.7,GO:1902253,regulation of intrinsic apoptotic signaling pathway by p53 class mediator,M1,1,0
1,-3.1,GO:0034655,nucleobase-containing compound catabolic process,M1,1,0
1,-13,GO:0042254,ribosome biogenesis,M1,1,0
1,-2.3,GO:0006801,superoxide metabolic process,M1,1,0
1,-2.8,GO:0034765,regulation of monoatomic ion transmembrane transport,M1,1,0
1,-2.7,GO:0051051,negative regulation of transport,M1,1,0
1,-5.5,GO:0046596,regulation of viral entry into host cell,M1,1,0
1,-4.1,GO:0050920,regulation of chemotaxis,M1,1,0
1,-3.1,GO:0001666,response to hypoxia,M1,1,0
1,-2.7,GO:2000147,positive regulation of cell motility,M1,1,0
1,-2.6,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,M1,1,0
1,-2.5,GO:0010944,negative regulation of transcription by competitive promoter binding,M1,1,0
1,-5.3,GO:0070848,response to growth factor,M1,1,0
1,-7.8,GO:0002396,MHC protein complex assembly,M1,1,0
1,-7.2,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-2.6,GO:0046330,positive regulation of JNK cascade,M1,1,0
1,-2.2,GO:0002792,negative regulation of peptide secretion,M1,1,0
1,-2.1,GO:0044092,negative regulation of molecular function,M1,1,0
1,-2.1,GO:0062207,regulation of pattern recognition receptor signaling pathway,M1,1,0
1,-2.6,GO:0061448,connective tissue development,M1,1,0
1,-3.6,GO:0018230,peptidyl-L-cysteine S-palmitoylation,M1,1,0
1,-7,GO:0051046,regulation of secretion,M1,1,0
1,-5.3,GO:0007167,enzyme-linked receptor protein signaling pathway,M1,1,0
1,-2.4,GO:0050777,negative regulation of immune response,M1,1,0
1,-2.5,GO:0002757,immune response-activating signaling pathway,M1,1,0
1,-5.6,GO:0051249,regulation of lymphocyte activation,M1,1,0
1,-2.8,GO:0018198,peptidyl-cysteine modification,M1,1,0
1,-28,GO:0006412,translation,M1,1,0
1,-3.6,GO:0062197,cellular response to chemical stress,M1,1,0
1,-2.2,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,M1,1,0
1,-2.3,GO:0031349,positive regulation of defense response,M1,1,0
1,-3.1,GO:0045672,positive regulation of osteoclast differentiation,M1,1,0
1,-2.7,GO:0034767,positive regulation of monoatomic ion transmembrane transport,M1,1,0
1,-2.2,GO:1901796,regulation of signal transduction by p53 class mediator,M1,1,0
1,-3,GO:0061644,protein localization to CENP-A containing chromatin,M1,1,0
1,-2.2,GO:1903076,regulation of protein localization to plasma membrane,M1,1,0
1,-2.5,GO:0030316,osteoclast differentiation,M1,1,0
1,-2.2,GO:1901861,regulation of muscle tissue development,M1,1,0
1,-3,GO:0030029,actin filament-based process,M1,1,0
1,-3.6,GO:0060627,regulation of vesicle-mediated transport,M1,1,0
1,-2.3,GO:0060337,type I interferon-mediated signaling pathway,M1,1,0
1,-3,GO:0009636,response to toxic substance,M1,1,0
1,-2.3,GO:0033674,positive regulation of kinase activity,M1,1,0
