_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-37.83540986567802,GO:0008152,metabolic process,M1,1,GO:0002181 cytoplasmic translation
1,-12.545058676303558,GO:0009987,cellular process,M1,1,GO:0042254 ribosome biogenesis
1,-9.592876281083567,GO:0032502,developmental process,M1,1,GO:0048667 cell morphogenesis involved in neuron differentiation
1,-8.747623430264182,GO:0002376,immune system process,M1,1,GO:0002503 peptide antigen assembly with MHC class II protein complex
1,-7.959368359182179,GO:0048518,positive regulation of biological process,M1,1,GO:1903039 positive regulation of leukocyte cell-cell adhesion
1,-7.409470860349944,GO:0032501,multicellular organismal process,M1,1,GO:0001775 cell activation
1,-7.208877250346195,GO:0050789,regulation of biological process,M1,1,GO:0022407 regulation of cell-cell adhesion
1,-7.1430613281619,GO:0051179,localization,M1,1,GO:1903530 regulation of secretion by cell
1,-6.881341482420302,GO:0065007,biological regulation,M1,1,GO:0050878 regulation of body fluid levels
1,-6.859312006899652,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0052372 modulation by symbiont of entry into host
1,-6.379783534748166,GO:0048519,negative regulation of biological process,M1,1,GO:0008285 negative regulation of cell population proliferation
1,-5.556564527227786,GO:0050896,response to stimulus,M1,1,GO:0071345 cellular response to cytokine stimulus
1,-5.461119502117418,GO:0016032,viral process,M1,1,GO:0046596 regulation of viral entry into host cell
1,-4.572341603716643,GO:0040011,locomotion,M1,1,GO:0002685 regulation of leukocyte migration
1,-4.057835980417703,GO:0098754,detoxification,M1,1,GO:0098869 cellular oxidant detoxification
1,-3.283854595099638,GO:0042592,homeostatic process,M1,1,GO:0061178 regulation of insulin secretion involved in cellular response to glucose stimulus
1,-2.9418468181574875,GO:0040007,growth,M1,1,GO:0030308 negative regulation of cell growth
