Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0002181,cytoplasmic translation,19_GO:0008152 metabolic process,-41,16,25,30293,123,666,44,6.6,0.96,2197|3646|4736|6130|6132|6133|6134|6135|6141|6143|6144|6147|6156|6159|6161|6164|6165|6167|6168|6169|6170|6171|6175|6176|6187|6191|6193|6201|6202|6203|6205|6207|6208|6217|6223|6227|6228|6230|6232|6233|6235|9045|11224|23521,FAU|EIF3E|RPL10A|RPL7A|RPL8|RPL9|RPL10|RPL11|RPL18|RPL19|RPL21|RPL23A|RPL30|RPL29|RPL32|RPL34|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL41|RPLP0|RPLP1|RPS2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS11|RPS13|RPS14|RPS16|RPS19|RPS21|RPS23|RPS25|RPS27|RPS27A|RPS29|RPL14|RPL35|RPL13A,-36
MyList,GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-32,6.7,18,30293,422,666,62,9.3,1.1,1915|1937|2193|2197|2730|3646|4528|4736|5122|6130|6132|6133|6134|6135|6141|6143|6144|6147|6156|6159|6161|6164|6165|6167|6168|6169|6170|6171|6175|6176|6187|6191|6193|6201|6202|6203|6205|6207|6208|6217|6223|6227|6228|6230|6232|6233|6235|7407|9045|10605|10884|11224|23521|28973|51264|63931|64949|84545|90480|116540|140032|100288805,EEF1A1|EEF1G|FARSA|FAU|GCLM|EIF3E|MTIF2|RPL10A|PCSK1|RPL7A|RPL8|RPL9|RPL10|RPL11|RPL18|RPL19|RPL21|RPL23A|RPL30|RPL29|RPL32|RPL34|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL41|RPLP0|RPLP1|RPS2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS11|RPS13|RPS14|RPS16|RPS19|RPS21|RPS23|RPS25|RPS27|RPS27A|RPS29|VARS1|RPL14|PAIP1|MRPS30|RPL35|RPL13A|MRPS18B|MRPL27|MRPS14|MRPS26|MRPL43|GADD45GIP1|MRPL53|RPS4Y2|HYDIN2,-28
MyList,GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-32,6.9,18,30293,393,666,60,9,1.1,1915|1937|2193|2197|3646|4528|4736|6130|6132|6133|6134|6135|6141|6143|6144|6147|6156|6159|6161|6164|6165|6167|6168|6169|6170|6171|6175|6176|6187|6191|6193|6201|6202|6203|6205|6207|6208|6217|6223|6227|6228|6230|6232|6233|6235|7407|9045|10605|10884|11224|23521|28973|51264|63931|64949|84545|90480|116540|140032|100288805,EEF1A1|EEF1G|FARSA|FAU|EIF3E|MTIF2|RPL10A|RPL7A|RPL8|RPL9|RPL10|RPL11|RPL18|RPL19|RPL21|RPL23A|RPL30|RPL29|RPL32|RPL34|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL41|RPLP0|RPLP1|RPS2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS11|RPS13|RPS14|RPS16|RPS19|RPS21|RPS23|RPS25|RPS27|RPS27A|RPS29|VARS1|RPL14|PAIP1|MRPS30|RPL35|RPL13A|MRPS18B|MRPL27|MRPS14|MRPS26|MRPL43|GADD45GIP1|MRPL53|RPS4Y2|HYDIN2,-28
MyList,GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-29,5.7,16,30293,515,666,64,9.6,1.1,1915|1937|2193|2197|2730|3646|4528|4736|5122|6130|6132|6133|6134|6135|6141|6143|6144|6147|6156|6159|6161|6164|6165|6167|6168|6169|6170|6171|6175|6176|6187|6191|6193|6201|6202|6203|6205|6207|6208|6217|6223|6227|6228|6230|6232|6233|6235|6447|7407|9045|10605|10884|11224|23521|28973|51264|63931|64949|84545|90480|116540|138199|140032|100288805,EEF1A1|EEF1G|FARSA|FAU|GCLM|EIF3E|MTIF2|RPL10A|PCSK1|RPL7A|RPL8|RPL9|RPL10|RPL11|RPL18|RPL19|RPL21|RPL23A|RPL30|RPL29|RPL32|RPL34|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL41|RPLP0|RPLP1|RPS2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS11|RPS13|RPS14|RPS16|RPS19|RPS21|RPS23|RPS25|RPS27|RPS27A|RPS29|SCG5|VARS1|RPL14|PAIP1|MRPS30|RPL35|RPL13A|MRPS18B|MRPL27|MRPS14|MRPS26|MRPL43|GADD45GIP1|MRPL53|CARNMT1|RPS4Y2|HYDIN2,-25
MyList,GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-26,5.2,15,30293,546,666,63,9.5,1.1,435|1915|1937|2193|2197|2730|3646|4528|4736|5122|6130|6132|6133|6134|6135|6141|6143|6144|6147|6156|6159|6161|6164|6165|6167|6168|6169|6170|6171|6175|6176|6187|6191|6193|6201|6202|6203|6205|6207|6208|6217|6223|6227|6228|6230|6232|6233|6235|7407|9045|10605|10884|11224|23521|28973|51264|63931|64949|84545|90480|116540|140032|100288805,ASL|EEF1A1|EEF1G|FARSA|FAU|GCLM|EIF3E|MTIF2|RPL10A|PCSK1|RPL7A|RPL8|RPL9|RPL10|RPL11|RPL18|RPL19|RPL21|RPL23A|RPL30|RPL29|RPL32|RPL34|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL41|RPLP0|RPLP1|RPS2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS11|RPS13|RPS14|RPS16|RPS19|RPS21|RPS23|RPS25|RPS27|RPS27A|RPS29|VARS1|RPL14|PAIP1|MRPS30|RPL35|RPL13A|MRPS18B|MRPL27|MRPS14|MRPS26|MRPL43|GADD45GIP1|MRPL53|RPS4Y2|HYDIN2,-23
MyList,GO Biological Processes,19,GO:0042254,ribosome biogenesis,19_GO:0009987 cellular process,-14,5.1,11,30293,314,666,35,5.3,0.86,2091|2971|4736|5393|6130|6134|6135|6147|6165|6169|6175|6191|6193|6201|6202|6203|6205|6207|6208|6217|6223|6227|6228|6230|6232|9045|10199|11224|22984|23160|23195|26574|29889|55646|92856,FBL|GTF3A|RPL10A|EXOSC9|RPL7A|RPL10|RPL11|RPL23A|RPL35A|RPL38|RPLP0|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS11|RPS13|RPS14|RPS16|RPS19|RPS21|RPS23|RPS25|RPS27|RPL14|MPHOSPH10|RPL35|PDCD11|WDR43|MDN1|AATF|GNL2|LYAR|IMP4,-11
MyList,GO Biological Processes,19,GO:0042274,ribosomal small subunit biogenesis,19_GO:0009987 cellular process,-12,8.4,11,30293,103,666,19,2.9,0.65,2091|6191|6193|6201|6202|6203|6205|6207|6208|6217|6223|6227|6228|6230|6232|10199|23160|26574|92856,FBL|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS11|RPS13|RPS14|RPS16|RPS19|RPS21|RPS23|RPS25|RPS27|MPHOSPH10|WDR43|AATF|IMP4,-8.6
MyList,GO Biological Processes,19,GO:0022613,ribonucleoprotein complex biogenesis,19_GO:0009987 cellular process,-11,3.5,8.4,30293,492,666,38,5.7,0.9,2091|2971|3646|4736|5393|6130|6134|6135|6147|6165|6169|6175|6191|6193|6201|6202|6203|6205|6207|6208|6217|6223|6227|6228|6230|6232|6880|9045|10199|11224|22984|23160|23195|23451|26574|29889|55646|92856,FBL|GTF3A|EIF3E|RPL10A|EXOSC9|RPL7A|RPL10|RPL11|RPL23A|RPL35A|RPL38|RPLP0|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS11|RPS13|RPS14|RPS16|RPS19|RPS21|RPS23|RPS25|RPS27|TAF9|RPL14|MPHOSPH10|RPL35|PDCD11|WDR43|MDN1|SF3B1|AATF|GNL2|LYAR|IMP4,-7.3
MyList,GO Biological Processes,19,GO:0048667,cell morphogenesis involved in neuron differentiation,19_GO:0032502 developmental process,-10,3.6,8.3,30293,440,666,35,5.3,0.86,582|1123|1385|1436|1501|1600|1946|2051|2290|2297|3800|3908|4208|5879|6259|6277|6794|7007|7162|7414|7422|7976|8650|10211|10752|25830|25987|26257|56978|59277|64072|81565|84612|113246|170961,BBS1|CHN1|CREB1|CSF1R|CTNND2|DAB1|EFNA5|EPHB6|FOXG1|FOXD1|KIF5C|LAMA2|MEF2C|RAC1|RYK|S100A6|STK11|TECTA|TPBG|VCL|VEGFA|FZD3|NUMB|FLOT1|CHL1|SULT4A1|TSKU|NKX2-8|PRDM8|NTN4|CDH23|NDEL1|PARD6B|C12orf57|ANKRD24,-6.9
MyList,GO Biological Processes,19,GO:0030097,hemopoiesis,19_GO:0032502 developmental process,-9.6,2.9,7.7,30293,680,666,44,6.6,0.96,87|301|302|538|567|604|915|1385|1436|1958|2322|2353|3087|3123|3146|3956|4208|6208|6223|6693|6794|6850|7422|7704|7922|9474|9840|23648|29781|51341|51522|54209|55008|55646|65018|79876|112616|114609|122618|135228|147808|167153|204851|387357,ACTN1|ANXA1|ANXA2|ATP7A|B2M|BCL6|CD3D|CREB1|CSF1R|EGR1|FLT3|FOS|HHEX|HLA-DRB1|HMGB1|LGALS1|MEF2C|RPS14|RPS19|SPN|STK11|SYK|VEGFA|ZBTB16|SLC39A7|ATG5|TESPA1|SSBP3|NCAPH2|ZBTB7A|TMEM14C|TREM2|HERC6|LYAR|PINK1|UBA5|CMTM7|TIRAP|PLD4|CD109|ZNF784|TENT2|HIPK1|THEMIS,-6.4
