Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
6202,3.0,1,1,1
84293,3.0,1,1,1
3047,3.0,1,1,1
54209,3.0,1,1,1
23057,3.0,1,1,1
51124,3.0,1,1,1
4193,3.0,1,1,1
639,3.0,1,1,1
8266,3.0,1,1,1
4000,3.0,1,1,1
8655,3.0,1,1,1
23265,3.0,1,1,1
2787,3.0,1,1,1
23451,3.0,1,1,1
2193,3.0,1,1,1
10140,3.0,1,1,1
1602,3.0,1,1,1
7443,3.0,1,1,1
2030,3.0,1,1,1
1647,3.0,1,1,1
435,3.0,1,1,1
23521,3.0,1,1,1
4739,3.0,1,1,1
55074,3.0,1,1,1
57710,3.0,1,1,1
4833,3.0,1,1,1
10544,3.0,1,1,1
3908,3.0,1,1,1
57576,3.0,1,1,1
81565,3.0,1,1,1
51341,3.0,1,1,1
51201,3.0,1,1,1
27067,3.0,1,1,1
1600,3.0,1,1,1
2021,3.0,1,1,1
121504,3.0,1,1,1
114609,3.0,1,1,1
1495,3.0,1,1,1
3127,3.0,1,1,1
1113,3.0,1,1,1
3119,3.0,1,1,1
2896,3.0,1,1,1
1192,3.0,1,1,1
9698,3.0,1,1,1
10211,3.0,1,1,1
8174,3.0,1,1,1
7913,3.0,1,1,1
83955,3.0,1,1,1
8531,3.0,1,1,1
6208,3.0,1,1,1
11152,3.0,1,1,1
4830,3.0,1,1,1
9867,3.0,1,1,1
10581,3.0,1,1,1
23171,3.0,1,1,1
10752,3.0,1,1,1
26986,3.0,1,1,1
29801,3.0,1,1,1
2971,3.0,1,1,1
55646,3.0,1,1,1
3039,3.0,1,1,1
387357,3.0,1,1,1
582,3.0,1,1,1
26005,3.0,1,1,1
79876,3.0,1,1,1
978,3.0,1,1,1
3087,3.0,1,1,1
301,3.0,1,1,1
8942,3.0,1,1,1
9840,3.0,1,1,1
6165,3.0,1,1,1
5552,3.0,1,1,1
4616,3.0,1,1,1
3956,3.0,1,1,1
5159,3.0,1,1,1
6135,3.0,1,1,1
10010,3.0,1,1,1
4904,3.0,1,1,1
10605,3.0,1,1,1
5899,3.0,1,1,1
7056,3.0,1,1,1
339745,3.0,1,1,1
7805,3.0,1,1,1
10864,3.0,1,1,1
2689,3.0,1,1,1
1915,3.0,1,1,1
8409,3.0,1,1,1
167153,3.0,1,1,1
9474,3.0,1,1,1
8519,3.0,1,1,1
3040,3.0,1,1,1
8518,3.0,1,1,1
30008,3.0,1,1,1
5479,3.0,1,1,1
55559,3.0,1,1,1
3485,3.0,1,1,1
10026,3.0,1,1,1
4691,3.0,1,1,1
6672,3.0,1,1,1
2290,3.0,1,1,1
6169,3.0,1,1,1
7422,3.0,1,1,1
1012,3.0,1,1,1
9049,3.0,1,1,1
84830,3.0,1,1,1
3354,3.0,1,1,1
8294,3.0,1,1,1
6047,3.0,1,1,1
84612,3.0,1,1,1
3309,3.0,1,1,1
56892,3.0,1,1,1
3113,3.0,1,1,1
23643,3.0,1,1,1
23568,3.0,1,1,1
9465,3.0,1,1,1
6687,3.0,1,1,1
51125,3.0,1,1,1
8773,3.0,1,1,1
9348,3.0,1,1,1
706,3.0,1,1,1
135228,3.0,1,1,1
2743,3.0,1,1,1
415116,3.0,1,1,1
25830,3.0,1,1,1
1230,3.0,1,1,1
6223,3.0,1,1,1
54825,3.0,1,1,1
51522,3.0,1,1,1
6232,3.0,1,1,1
1436,3.0,1,1,1
1778,3.0,1,1,1
6147,3.0,1,1,1
51083,3.0,1,1,1
9001,3.0,1,1,1
4697,3.0,1,1,1
25805,3.0,1,1,1
4938,3.0,1,1,1
6130,3.0,1,1,1
538,3.0,1,1,1
5879,3.0,1,1,1
342538,3.0,1,1,1
302,3.0,1,1,1
604,3.0,1,1,1
9023,3.0,1,1,1
915,3.0,1,1,1
10627,3.0,1,1,1
3133,3.0,1,1,1
54674,3.0,1,1,1
51701,3.0,1,1,1
5122,3.0,1,1,1
599,3.0,1,1,1
92856,3.0,1,1,1
10410,3.0,1,1,1
5885,3.0,1,1,1
2778,3.0,1,1,1
6175,3.0,1,1,1
11124,3.0,1,1,1
2902,3.0,1,1,1
6590,3.0,1,1,1
133121,3.0,1,1,1
4504,3.0,1,1,1
3800,3.0,1,1,1
9646,3.0,1,1,1
65018,3.0,1,1,1
7447,3.0,1,1,1
3146,3.0,1,1,1
29781,3.0,1,1,1
595,3.0,1,1,1
10199,3.0,1,1,1
66008,3.0,1,1,1
8650,3.0,1,1,1
4673,3.0,1,1,1
3738,3.0,1,1,1
23195,3.0,1,1,1
6794,3.0,1,1,1
567,3.0,1,1,1
9315,3.0,1,1,1
55790,3.0,1,1,1
65110,3.0,1,1,1
340481,3.0,1,1,1
2322,3.0,1,1,1
29072,3.0,1,1,1
4171,3.0,1,1,1
94121,3.0,1,1,1
347731,3.0,1,1,1
11122,3.0,1,1,1
8362,3.0,1,1,1
8566,3.0,1,1,1
494115,3.0,1,1,1
285381,3.0,1,1,1
2730,3.0,1,1,1
11224,3.0,1,1,1
25987,3.0,1,1,1
23075,3.0,1,1,1
7162,3.0,1,1,1
5297,3.0,1,1,1
91801,3.0,1,1,1
7704,3.0,1,1,1
1843,3.0,1,1,1
1365,3.0,1,1,1
10625,3.0,1,1,1
3303,3.0,1,1,1
3486,3.0,1,1,1
342184,3.0,1,1,1
3122,3.0,1,1,1
5740,3.0,1,1,1
3043,3.0,1,1,1
5321,3.0,1,1,1
6625,3.0,1,1,1
5224,3.0,1,1,1
342667,3.0,1,1,1
5025,3.0,1,1,1
7414,3.0,1,1,1
308,3.0,1,1,1
3858,3.0,1,1,1
23236,3.0,1,1,1
51571,3.0,1,1,1
1848,3.0,1,1,1
6217,3.0,1,1,1
3123,3.0,1,1,1
4942,3.0,1,1,1
11044,3.0,1,1,1
10063,3.0,1,1,1
9956,3.0,1,1,1
10628,3.0,1,1,1
4846,3.0,1,1,1
22873,3.0,1,1,1
2023,3.0,1,1,1
51286,3.0,1,1,1
6693,3.0,1,1,1
960,3.0,1,1,1
3125,3.0,1,1,1
2248,3.0,1,1,1
6850,3.0,1,1,1
5579,3.0,1,1,1
3126,3.0,1,1,1
91147,3.0,1,1,1
113246,3.0,1,1,1
3572,3.0,1,1,1
1385,3.0,1,1,1
117178,3.0,1,1,1
131578,3.0,1,1,1
1893,3.0,1,1,1
857,3.0,1,1,1
2692,3.0,1,1,1
56978,3.0,1,1,1
8363,3.0,1,1,1
9045,3.0,1,1,1
1535,3.0,1,1,1
2353,3.0,1,1,1
8673,3.0,1,1,1
7545,3.0,1,1,1
79887,3.0,1,1,1
4208,3.0,1,1,1
11211,3.0,1,1,1
6282,3.0,1,1,1
3980,3.0,1,1,1
914,3.0,1,1,1
7976,3.0,1,1,1
2954,3.0,1,1,1
111,3.0,1,1,1
79026,3.0,1,1,1
6134,3.0,1,1,1
6193,3.0,1,1,1
240,3.0,1,1,1
6259,3.0,1,1,1
1958,3.0,1,1,1
5093,3.0,1,1,1
7433,3.0,1,1,1
90102,3.0,1,1,1
55191,3.0,1,1,1
10268,3.0,1,1,1
3489,3.0,1,1,1
9863,3.0,1,1,1
6343,3.0,1,1,1
23160,3.0,1,1,1
6227,3.0,1,1,1
9475,3.0,1,1,1
3708,3.0,1,1,1
8622,3.0,1,1,1
6727,3.0,1,1,1
2892,3.0,1,1,1
3937,3.0,1,1,1
222166,3.0,1,1,1
1946,3.0,1,1,1
57154,3.0,1,1,1
9446,3.0,1,1,1
6880,3.0,1,1,1
6347,3.0,1,1,1
28231,3.0,1,1,1
2354,3.0,1,1,1
6201,3.0,1,1,1
9131,3.0,1,1,1
339221,3.0,1,1,1
4736,3.0,1,1,1
3355,3.0,1,1,1
30833,3.0,1,1,1
7035,3.0,1,1,1
57152,2.0,1,0,1
1795,2.0,1,0,1
85012,2.0,1,0,1
9022,2.0,1,0,1
168002,2.0,1,1,0
388588,2.0,1,0,1
79822,2.0,1,0,1
57820,2.0,1,0,1
123036,2.0,1,0,1
90480,2.0,1,0,1
162972,2.0,1,0,1
29889,2.0,1,0,1
57684,2.0,1,0,1
8287,2.0,1,0,1
3646,2.0,1,0,1
91283,2.0,1,0,1
10671,2.0,1,0,1
51526,2.0,1,0,1
4644,2.0,1,0,1
203427,2.0,1,0,1
56256,2.0,1,0,1
122618,2.0,1,0,1
9937,2.0,1,0,1
65108,2.0,1,0,1
55146,2.0,1,1,0
51635,2.0,1,0,1
280636,2.0,1,0,1
257160,2.0,1,0,1
26509,2.0,1,0,1
115426,2.0,1,0,1
5355,2.0,1,0,1
149420,2.0,1,0,1
140032,2.0,1,0,1
56479,2.0,1,0,1
254552,2.0,1,0,1
2794,2.0,1,0,1
9938,2.0,1,0,1
11309,2.0,1,1,0
114876,2.0,1,0,1
4713,2.0,1,0,1
90627,2.0,1,0,1
51122,2.0,1,0,1
951,2.0,1,0,1
1,2.0,1,0,1
80018,2.0,1,0,1
255919,2.0,1,0,1
56995,2.0,1,0,1
91050,2.0,1,0,1
786,2.0,1,0,1
23184,2.0,1,0,1
221092,2.0,1,0,1
134957,2.0,1,0,1
5475,2.0,1,0,1
6176,2.0,1,0,1
253827,2.0,1,0,1
10050,2.0,1,0,1
26574,2.0,1,0,1
4528,2.0,1,0,1
64072,2.0,1,0,1
51329,2.0,1,0,1
25923,2.0,1,0,1
3075,2.0,1,0,1
390594,2.0,1,0,1
2224,2.0,1,0,1
55729,2.0,1,0,1
64425,2.0,1,0,1
100132406,2.0,1,0,1
5521,2.0,1,0,1
84317,2.0,1,0,1
6191,2.0,1,0,1
63931,2.0,1,0,1
8505,2.0,1,0,1
50809,2.0,1,0,1
26098,2.0,1,0,1
64407,2.0,1,0,1
50832,2.0,1,0,1
10595,2.0,1,0,1
2177,2.0,1,0,1
3069,2.0,1,0,1
54812,2.0,1,0,1
84790,2.0,1,0,1
1329,2.0,1,0,1
51264,2.0,1,0,1
51338,2.0,1,0,1
375484,2.0,1,0,1
357,2.0,1,0,1
55922,2.0,1,0,1
84545,2.0,1,0,1
29952,2.0,1,0,1
896,2.0,1,0,1
7922,2.0,1,0,1
55070,2.0,1,0,1
6161,2.0,1,0,1
374659,2.0,1,0,1
221527,2.0,1,0,1
11336,2.0,1,0,1
8883,2.0,1,0,1
6143,2.0,1,0,1
9098,2.0,1,0,1
286343,2.0,1,0,1
50853,2.0,1,0,1
6156,2.0,1,0,1
5325,2.0,1,0,1
10036,2.0,1,0,1
55335,2.0,1,0,1
23648,2.0,1,0,1
4194,2.0,1,0,1
140465,2.0,1,0,1
1665,2.0,1,0,1
59345,2.0,1,0,1
386724,2.0,1,1,0
92815,2.0,1,0,1
5393,2.0,1,0,1
55766,2.0,1,0,1
10797,2.0,1,0,1
79366,2.0,1,0,1
147808,2.0,1,0,1
87,2.0,1,0,1
8407,2.0,1,0,1
25791,2.0,1,0,1
9392,2.0,1,0,1
6277,2.0,1,0,1
6164,2.0,1,0,1
51614,2.0,1,0,1
116931,2.0,1,0,1
29924,2.0,1,0,1
55287,2.0,1,0,1
29946,2.0,1,0,1
1998,2.0,1,0,1
26230,2.0,1,0,1
84191,2.0,1,0,1
10742,2.0,1,0,1
871,2.0,1,0,1
57520,2.0,1,0,1
7431,2.0,1,0,1
6187,2.0,1,0,1
340578,2.0,1,0,1
5212,2.0,1,0,1
9920,2.0,1,0,1
10495,2.0,1,0,1
170958,2.0,1,0,1
57575,2.0,1,0,1
2004,2.0,1,0,1
8545,2.0,1,0,1
10184,2.0,1,0,1
284323,2.0,1,0,1
116540,2.0,1,0,1
7091,2.0,1,0,1
5037,2.0,1,0,1
204851,2.0,1,0,1
148113,2.0,1,0,1
6303,2.0,1,0,1
200081,2.0,1,0,1
2197,2.0,1,0,1
2835,2.0,1,0,1
59350,2.0,1,0,1
8930,2.0,1,0,1
25928,2.0,1,0,1
23333,2.0,1,0,1
6203,2.0,1,0,1
387890,2.0,1,0,1
4948,2.0,1,1,0
26502,2.0,1,0,1
6141,2.0,1,0,1
80022,2.0,1,0,1
25988,2.0,1,0,1
2731,2.0,1,0,1
7803,2.0,1,0,1
8969,2.0,1,0,1
170575,2.0,1,0,1
59277,2.0,1,0,1
5597,2.0,1,0,1
55818,2.0,1,0,1
3705,2.0,1,0,1
79047,2.0,1,0,1
1241,2.0,1,0,1
4071,2.0,1,0,1
4717,2.0,1,0,1
7090,2.0,1,0,1
6595,2.0,1,0,1
55008,2.0,1,0,1
54454,2.0,1,0,1
22875,2.0,1,1,0
54468,2.0,1,0,1
9260,2.0,1,0,1
3013,2.0,1,0,1
8330,2.0,1,0,1
57823,2.0,1,0,1
1501,2.0,1,0,1
326625,2.0,1,0,1
8406,2.0,1,1,0
84866,2.0,1,0,1
27430,2.0,1,0,1
738,2.0,1,0,1
4675,2.0,1,0,1
11215,2.0,1,0,1
9627,2.0,1,0,1
83941,2.0,1,0,1
54941,2.0,1,0,1
197342,2.0,1,0,1
11159,2.0,1,0,1
29113,2.0,1,0,1
23314,2.0,1,0,1
279,2.0,1,0,1
10983,2.0,1,0,1
57569,2.0,1,0,1
5876,2.0,1,0,1
2675,2.0,1,0,1
4900,2.0,1,0,1
29935,2.0,1,0,1
6167,2.0,1,0,1
8968,2.0,1,0,1
51776,2.0,1,0,1
1004,2.0,1,0,1
800,2.0,1,0,1
7268,2.0,1,0,1
27333,2.0,1,0,1
1149,2.0,1,0,1
6132,2.0,1,0,1
9665,2.0,1,0,1
2275,2.0,1,0,1
100288805,2.0,1,0,1
6205,2.0,1,0,1
8833,2.0,1,0,1
55251,2.0,1,0,1
5500,2.0,1,0,1
8550,2.0,1,0,1
