Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-7.9,2.1,6.4,30293,757,1201,64,5.3,0.65,225|1182|1453|1956|2621|4155|4363|4976|5007|6812|6843|7879|8775|9066|9482|9525|9892|10243|10254|10347|10451|10484|10650|10939|11252|11261|22848|22872|23023|23136|23339|29763|30846|51054|51271|51308|51479|54927|55014|55288|55735|55750|55823|57198|57476|57502|63932|64083|80124|80765|84501|84725|85358|91782|93380|112755|132320|196527|221496|284361|286046|389668|400916|440026,ABCD2|CLCN3|CSNK1D|EGFR|GAS6|MBP|ABCC1|OPA1|OSBP|STXBP1|VAMP1|RAB7A|NAPA|SYT7|STX8|VPS4B|SNAP91|GPHN|STAM2|ABCA7|VAV3|SEC23A|PRELID3A|AFG3L2|PACSIN2|CHP1|AAK1|SEC31A|TMCC1|EPB41L3|VPS39|PACSIN3|EHD2|PLEKHA8P1|UBAP1|REEP2|ANKFY1|CHCHD3|STX17|RHOT1|DNAJC11|AGK|VPS11|ATP8B2|GRAMD1B|NLGN4X|STEEP1|GOLPH3|VCPIP1|STARD5|SPIRE2|PLEKHA8|SHANK3|CHMP7|MMGT1|STX1B|SCLT1|ANO6|LEMD2|EMC10|XKR6|XKR9|CHCHD10|TMEM41B,-3.8,MyList
GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-7.6,2.4,6.4,30293,522,1201,49,4.1,0.57,133|949|1053|1182|1453|1456|2621|3688|3953|4973|5290|5291|5869|5899|6382|7879|9066|9372|9892|10347|10369|10451|11252|22848|22876|22925|23032|23210|23221|23301|23433|25977|26130|27102|29763|30846|50618|51293|51479|54940|55681|57502|58513|79767|127833|132299|163486|286046|389668,ADM|SCARB1|CEBPE|CLCN3|CSNK1D|CSNK1G3|GAS6|ITGB1|LEPR|OLR1|PIK3CA|PIK3CB|RAB5B|RALB|SDC1|RAB7A|SYT7|ZFYVE9|SNAP91|ABCA7|CACNG2|VAV3|PACSIN2|AAK1|INPP5F|PLA2R1|USP33|JMJD6|RHOBTB2|EHBP1|RHOQ|NECAP1|GAPVD1|EIF2AK1|PACSIN3|EHD2|ITSN2|CD320|ANKFY1|OCIAD1|SCYL2|NLGN4X|EPS15L1|ELMO3|SYT2|OCIAD2|DENND1B|XKR6|XKR9,-3.8,MyList
GO Biological Processes,19,GO:0098657,import into cell,19_GO:0051179 localization,-7.5,2.1,6.2,30293,708,1201,60,5,0.63,133|478|610|775|949|1053|1182|1453|1456|2621|3688|3953|4973|5290|5291|5869|5899|6339|6382|6526|6546|6553|7879|9066|9372|9892|10347|10369|10451|11252|22848|22876|22925|23032|23210|23221|23301|23433|25977|26130|27102|29763|30846|50618|51293|51479|54407|54940|55681|56262|57502|58513|79767|127833|132299|163486|206358|286046|389668|728215,ADM|ATP1A3|HCN2|CACNA1C|SCARB1|CEBPE|CLCN3|CSNK1D|CSNK1G3|GAS6|ITGB1|LEPR|OLR1|PIK3CA|PIK3CB|RAB5B|RALB|SCNN1D|SDC1|SLC5A3|SLC8A1|SLC9A5|RAB7A|SYT7|ZFYVE9|SNAP91|ABCA7|CACNG2|VAV3|PACSIN2|AAK1|INPP5F|PLA2R1|USP33|JMJD6|RHOBTB2|EHBP1|RHOQ|NECAP1|GAPVD1|EIF2AK1|PACSIN3|EHD2|ITSN2|CD320|ANKFY1|SLC38A2|OCIAD1|SCYL2|LRRC8A|NLGN4X|EPS15L1|ELMO3|SYT2|OCIAD2|DENND1B|SLC36A1|XKR6|XKR9|NALF1,-3.8,MyList
GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0008152 metabolic process,-6.9,2.1,6,30293,648,1201,55,4.6,0.6,708|1054|3182|3191|3192|4841|6426|6431|6873|6882|6883|7376|7737|8161|8570|8621|9169|9410|9716|9811|10180|10262|10659|10921|22890|23210|23248|25929|26019|26523|27254|28960|54888|55015|55280|55571|55599|55677|55692|55696|56931|64852|64863|64895|79670|79869|83640|83860|84305|90826|123169|129563|143884|144983|192669,C1QBP|CEBPG|HNRNPAB|HNRNPL|HNRNPU|NONO|SRSF1|SRSF6|TAF2|TAF11|TAF12|NR1H2|RNF113A|COIL|KHSRP|CDK13|SCAF11|SNRNP40|AQR|CTIF|RBM6|SF3B4|CELF2|RNPS1|ZBTB1|JMJD6|RPRD2|GEMIN5|UPF2|AGO1|CSDC2|DCPS|NSUN2|PRPF39|CWF19L1|CNOT11|RNPC3|IWS1|LUC7L|RBM22|DUS3L|TUT1|METTL4|PAPOLG|TUT7|CPSF7|RAMAC|TAF3|PYM1|PRMT9|LEO1|DIS3L2|CWF19L2|HNRNPA1L2|AGO3,-3.4,MyList
GO Biological Processes,19,GO:0030001,metal ion transport,19_GO:0051179 localization,-6.8,2.1,5.9,30293,636,1201,54,4.5,0.6,22|478|491|492|610|775|785|1908|2258|2621|3746|3748|3749|3752|5332|6323|6324|6339|6526|6546|6553|6575|7222|7922|9196|9230|9498|9525|10369|10424|10939|11261|51310|54407|54503|54805|56660|57084|57582|57620|64924|79041|80036|81033|93129|93380|123606|196527|219527|283537|283652|286097|388662|728215,ABCB7|ATP1A3|ATP2B2|ATP2B3|HCN2|CACNA1C|CACNB4|EDN3|FGF13|GAS6|KCNC1|KCNC3|KCNC4|KCND3|PLCB4|SCN1A|SCN1B|SCNN1D|SLC5A3|SLC8A1|SLC9A5|SLC20A2|TRPC3|SLC39A7|KCNAB3|RAB11B|SLC4A8|VPS4B|CACNG2|PGRMC2|AFG3L2|CHP1|SLC22A17|SLC38A2|ZDHHC13|CNNM2|KCNK12|SLC17A6|KCNT1|STIM2|SLC30A5|TMEM38A|TRPM3|KCNH6|ORAI3|MMGT1|NIPA1|ANO6|LRRC55|SLC46A3|SLC24A5|MICU3|SLC6A17|NALF1,-3.4,MyList
GO Biological Processes,19,GO:0048284,organelle fusion,19_GO:0009987 cellular process,-6.8,3.9,6.8,30293,128,1201,20,1.7,0.37,4976|6812|6843|7879|9066|9482|10451|10939|23339|51479|54927|54974|55014|55669|55823|56112|80124|84895|91782|112755,OPA1|STXBP1|VAMP1|RAB7A|SYT7|STX8|VAV3|AFG3L2|VPS39|ANKFY1|CHCHD3|THG1L|STX17|MFN1|VPS11|PCDHGA3|VCPIP1|MIGA2|CHMP7|STX1B,-3.4,MyList
GO Biological Processes,19,GO:0098660,inorganic ion transmembrane transport,19_GO:0051179 localization,-6.8,2.1,5.8,30293,724,1201,59,4.9,0.62,22|478|491|492|526|610|775|785|1181|1182|1346|1908|2561|2621|3746|3748|3749|3752|5332|6323|6324|6339|6546|6553|6575|7222|7809|7922|9022|9167|9196|9213|9498|10369|10939|11261|54503|54805|56262|56660|57084|57582|57620|64924|79041|80036|81033|92736|93129|93380|123606|196527|206358|219527|283537|283652|286097|388662|728215,ABCB7|ATP1A3|ATP2B2|ATP2B3|ATP6V1B2|HCN2|CACNA1C|CACNB4|CLCN2|CLCN3|COX7A1|EDN3|GABRB2|GAS6|KCNC1|KCNC3|KCNC4|KCND3|PLCB4|SCN1A|SCN1B|SCNN1D|SLC8A1|SLC9A5|SLC20A2|TRPC3|BSND|SLC39A7|CLIC3|COX7A2L|KCNAB3|XPR1|SLC4A8|CACNG2|AFG3L2|CHP1|ZDHHC13|CNNM2|LRRC8A|KCNK12|SLC17A6|KCNT1|STIM2|SLC30A5|TMEM38A|TRPM3|KCNH6|OTOP2|ORAI3|MMGT1|NIPA1|ANO6|SLC36A1|LRRC55|SLC46A3|SLC24A5|MICU3|SLC6A17|NALF1,-3.4,MyList
GO Biological Processes,19,GO:0098662,inorganic cation transmembrane transport,19_GO:0051179 localization,-6.6,2.1,5.8,30293,628,1201,53,4.4,0.59,22|478|491|492|526|610|775|785|1182|1346|1908|2621|3746|3748|3749|3752|5332|6323|6324|6339|6546|6553|6575|7222|7922|9167|9196|9498|10369|10939|11261|54503|54805|56660|57084|57582|57620|64924|79041|80036|81033|92736|93129|93380|123606|196527|206358|219527|283537|283652|286097|388662|728215,ABCB7|ATP1A3|ATP2B2|ATP2B3|ATP6V1B2|HCN2|CACNA1C|CACNB4|CLCN3|COX7A1|EDN3|GAS6|KCNC1|KCNC3|KCNC4|KCND3|PLCB4|SCN1A|SCN1B|SCNN1D|SLC8A1|SLC9A5|SLC20A2|TRPC3|SLC39A7|COX7A2L|KCNAB3|SLC4A8|CACNG2|AFG3L2|CHP1|ZDHHC13|CNNM2|KCNK12|SLC17A6|KCNT1|STIM2|SLC30A5|TMEM38A|TRPM3|KCNH6|OTOP2|ORAI3|MMGT1|NIPA1|ANO6|SLC36A1|LRRC55|SLC46A3|SLC24A5|MICU3|SLC6A17|NALF1,-3.3,MyList
GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-6.6,2.2,5.8,30293,546,1201,48,4,0.57,47|740|1654|1737|1956|1968|2617|3396|3960|4677|5007|6059|6785|7453|8050|8565|8869|9100|10318|10643|23181|23305|25929|27165|51095|51318|51373|51389|51520|54534|55750|56624|56648|59344|64745|64949|64981|65008|79048|79071|79094|83723|83939|85476|92086|92170|113251|165679,ACLY|MRPL49|DDX3X|DLAT|EGFR|EIF2S3|GARS1|MRPL58|LGALS4|NARS1|OSBP|ABCE1|ELOVL4|WARS1|PDHX|YARS1|ST3GAL5|USP10|TNIP1|IGF2BP3|DIP2A|ACSL6|GEMIN5|GLS2|TRNT1|MRPL35|MRPS17|RWDD1|LARS1|MRPL50|AGK|ASAH2|EIF5A2|ALOXE3|METTL17|MRPS26|MRPL34|MRPL1|SECISBP2|ELOVL6|CHAC1|TLCD3B|EIF2A|GFM1|GGTLC1|MTG1|LARP4|SPTSSB,-3.3,MyList
GO Biological Processes,19,GO:0034660,ncRNA metabolic process,19_GO:0008152 metabolic process,-6.5,2.2,5.8,30293,532,1201,47,3.9,0.56,2617|4677|6949|7453|7737|8565|8570|8602|9692|10849|23053|23223|26523|51002|51095|51520|54487|54853|54888|54974|55035|55127|55656|55756|56165|56931|57109|64852|64863|79050|79074|79670|79871|81556|81605|84128|84172|84365|84524|92675|117246|129563|161424|192669|196074|339175|339487,GARS1|NARS1|TCOF1|WARS1|RNF113A|YARS1|KHSRP|NOP14|PRORP|POLR1G|ZSWIM8|RRP12|AGO1|TPRKB|TRNT1|LARS1|DGCR8|WDR55|NSUN2|THG1L|NOL8|HEATR1|INTS8|INTS9|TDRD1|DUS3L|REXO4|TUT1|METTL4|NOC4L|C2orf49|TUT7|RPAP2|INTS14|URM1|WDR75|POLR1B|NIFK|ZC3H8|DTD1|FTSJ3|DIS3L2|NOP9|AGO3|METTL15|METTL2A|ZBTB8OS,-3.3,MyList
