Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0008152 metabolic process,-8.8,2.5,7,30293,648,1025,54,5.3,0.7,708|1054|3182|3191|3192|4841|6426|6431|6873|6882|6883|7376|7737|8161|8570|8621|9169|9410|9716|9811|10180|10262|10659|10921|22890|23210|23248|25929|26019|26523|27254|28960|54888|55015|55280|55571|55599|55677|55692|55696|56931|64852|64895|79670|79869|83640|83860|84305|90826|123169|129563|143884|144983|192669,C1QBP|CEBPG|HNRNPAB|HNRNPL|HNRNPU|NONO|SRSF1|SRSF6|TAF2|TAF11|TAF12|NR1H2|RNF113A|COIL|KHSRP|CDK13|SCAF11|SNRNP40|AQR|CTIF|RBM6|SF3B4|CELF2|RNPS1|ZBTB1|JMJD6|RPRD2|GEMIN5|UPF2|AGO1|CSDC2|DCPS|NSUN2|PRPF39|CWF19L1|CNOT11|RNPC3|IWS1|LUC7L|RBM22|DUS3L|TUT1|PAPOLG|TUT7|CPSF7|RAMAC|TAF3|PYM1|PRMT9|LEO1|DIS3L2|CWF19L2|HNRNPA1L2|AGO3,-4.7
MyList,GO Biological Processes,19,GO:0006325,chromatin organization,19_GO:0009987 cellular process,-8.2,2.2,6.6,30293,791,1025,60,5.9,0.73,545|546|1616|3007|3008|3024|3070|3192|3717|4297|4675|5290|5929|6046|6597|6885|7150|8085|8202|8242|8295|8932|10498|10771|22890|23198|23210|23270|23304|23411|23421|23512|25788|29104|51341|51366|51564|54069|54531|55213|55257|55677|55904|56946|57492|57634|79829|80218|80853|83743|84289|93624|121504|122953|165918|195814|266812|284058|339287|493861,ATR|ATRX|DAXX|H1-3|H1-4|H1-1|HELLS|HNRNPU|JAK2|KMT2A|NAP1L3|PIK3CA|RBBP5|BRD2|SMARCA4|MAP3K7|TOP1|KMT2D|NCOA3|KDM5C|TRRAP|MBD2|CARM1|ZMYND11|ZBTB1|PSME4|JMJD6|TSPYL4|UBR2|SIRT1|ITGB3BP|SUZ12|RAD54B|N6AMT1|ZBTB7A|UBR5|HDAC7|MIS18A|MIER2|RCBTB1|MRGBP|IWS1|KMT2E|EMSY|ARID1B|EP400|NAA40|NAA50|KDM7A|GRWD1|ING5|TADA2B|H4C16|JDP2|RNF168|SDR16C5|NAP1L5|KANSL1|MSL1|EID3,-4.6
MyList,GO Biological Processes,19,GO:0034660,ncRNA metabolic process,19_GO:0008152 metabolic process,-8.1,2.6,6.8,30293,532,1025,46,4.5,0.65,2617|4677|6949|7453|7737|8565|8570|8602|9692|10849|23053|23223|26523|51002|51095|51520|54487|54853|54888|54974|55035|55127|55656|55756|56165|56931|57109|64852|79050|79074|79670|79871|81556|81605|84128|84172|84365|84524|92675|117246|129563|161424|192669|196074|339175|339487,GARS1|NARS1|TCOF1|WARS1|RNF113A|YARS1|KHSRP|NOP14|PRORP|POLR1G|ZSWIM8|RRP12|AGO1|TPRKB|TRNT1|LARS1|DGCR8|WDR55|NSUN2|THG1L|NOL8|HEATR1|INTS8|INTS9|TDRD1|DUS3L|REXO4|TUT1|NOC4L|C2orf49|TUT7|RPAP2|INTS14|URM1|WDR75|POLR1B|NIFK|ZC3H8|DTD1|FTSJ3|DIS3L2|NOP9|AGO3|METTL15|METTL2A|ZBTB8OS,-4.6
MyList,GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-8.1,2.3,6.6,30293,757,1025,58,5.7,0.72,225|1182|1453|1956|2621|4155|4363|4976|5007|6812|6843|7879|8775|9482|9525|9892|10243|10254|10451|10484|10939|11252|11261|22848|22872|23023|23136|23339|29763|30846|51054|51271|51308|51479|54927|55014|55288|55735|55750|55823|57198|57476|57502|63932|64083|80124|84501|84725|85358|91782|93380|112755|132320|196527|221496|284361|400916|440026,ABCD2|CLCN3|CSNK1D|EGFR|GAS6|MBP|ABCC1|OPA1|OSBP|STXBP1|VAMP1|RAB7A|NAPA|STX8|VPS4B|SNAP91|GPHN|STAM2|VAV3|SEC23A|AFG3L2|PACSIN2|CHP1|AAK1|SEC31A|TMCC1|EPB41L3|VPS39|PACSIN3|EHD2|PLEKHA8P1|UBAP1|REEP2|ANKFY1|CHCHD3|STX17|RHOT1|DNAJC11|AGK|VPS11|ATP8B2|GRAMD1B|NLGN4X|STEEP1|GOLPH3|VCPIP1|SPIRE2|PLEKHA8|SHANK3|CHMP7|MMGT1|STX1B|SCLT1|ANO6|LEMD2|EMC10|CHCHD10|TMEM41B,-4.6
MyList,GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-8,2.2,6.5,30293,780,1025,59,5.8,0.73,133|178|367|478|673|836|1616|1956|2101|2104|2322|2822|3192|3291|3480|3716|3717|3953|4306|4824|4841|4882|5290|5443|5467|5573|5929|6339|6382|6387|6431|6772|6777|6794|6885|7349|7376|8031|8085|8202|8614|8660|8754|9663|9882|10011|10424|10580|10728|23411|23433|25948|51141|51366|51389|51719|57492|84109|84709,ADM|AGL|AR|ATP1A3|BRAF|CASP3|DAXX|EGFR|ESRRA|ESRRG|FLT3|GPLD1|HNRNPU|HSD11B2|IGF1R|JAK1|JAK2|LEPR|NR3C2|NKX3-1|NONO|NPR2|PIK3CA|POMC|PPARD|PRKAR1A|RBBP5|SCNN1D|SDC1|CXCL12|SRSF6|STAT1|STAT5B|STK11|MAP3K7|UCN|NR1H2|NCOA4|KMT2D|NCOA3|STC2|IRS2|ADAM9|LPIN2|TBC1D4|SRA1|PGRMC2|SORBS1|PTGES3|SIRT1|RHOQ|KBTBD2|INSIG2|UBR5|RWDD1|CAB39|ARID1B|QRFPR|MGARP,-4.6
MyList,GO Biological Processes,19,GO:0016310,phosphorylation,19_GO:0008152 metabolic process,-7.7,2.3,6.4,30293,720,1025,55,5.4,0.7,90|545|673|1024|1453|1456|1956|2242|2321|2322|2621|2872|3480|3551|3716|3717|4750|5209|5218|5290|5291|5292|5609|5871|5979|6046|6794|6885|7150|7371|8476|8621|8737|8798|8877|9064|9201|10922|11113|22848|23139|23262|27102|51719|51727|53354|55361|55750|64781|80271|83931|84930|146057|157285|415116,ACVR1|ATR|BRAF|CDK8|CSNK1D|CSNK1G3|EGFR|FES|FLT1|FLT3|GAS6|MKNK2|IGF1R|IKBKB|JAK1|JAK2|NEK1|PFKFB3|CDK14|PIK3CA|PIK3CB|PIM1|MAP2K7|MAP4K2|RET|BRD2|STK11|MAP3K7|TOP1|UCK2|CDC42BPA|CDK13|RIPK1|DYRK4|SPHK1|MAP3K6|DCLK1|FASTK|CIT|AAK1|MAST2|PPIP5K2|EIF2AK1|CAB39|CMPK1|PANK1|PI4K2A|AGK|CERK|ITPKC|STK40|MASTL|TTBK2|PRAG1|PIM3,-4.3
MyList,GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-7.5,2.5,6.4,30293,522,1025,44,4.3,0.63,133|949|1053|1182|1453|1456|2621|3688|3953|4973|5290|5291|5869|5899|6382|7879|9372|9892|10369|10451|11252|22848|22876|23032|23210|23221|23301|23433|25977|26130|27102|29763|30846|50618|51293|51479|54940|55681|57502|58513|79767|127833|132299|163486,ADM|SCARB1|CEBPE|CLCN3|CSNK1D|CSNK1G3|GAS6|ITGB1|LEPR|OLR1|PIK3CA|PIK3CB|RAB5B|RALB|SDC1|RAB7A|ZFYVE9|SNAP91|CACNG2|VAV3|PACSIN2|AAK1|INPP5F|USP33|JMJD6|RHOBTB2|EHBP1|RHOQ|NECAP1|GAPVD1|EIF2AK1|PACSIN3|EHD2|ITSN2|CD320|ANKFY1|OCIAD1|SCYL2|NLGN4X|EPS15L1|ELMO3|SYT2|OCIAD2|DENND1B,-4.1
MyList,GO Biological Processes,19,GO:0006338,chromatin remodeling,19_GO:0009987 cellular process,-7.1,2.3,6.2,30293,649,1025,50,4.9,0.67,545|546|1616|3007|3008|3024|3070|3192|3717|4297|4675|5290|5929|6046|6597|6885|7150|8085|8202|8242|8932|10498|22890|23210|23270|23304|23411|23421|23512|25788|29104|51341|51366|51564|54069|54531|55677|57492|57634|79829|80218|80853|83743|93624|121504|122953|165918|195814|266812|339287,ATR|ATRX|DAXX|H1-3|H1-4|H1-1|HELLS|HNRNPU|JAK2|KMT2A|NAP1L3|PIK3CA|RBBP5|BRD2|SMARCA4|MAP3K7|TOP1|KMT2D|NCOA3|KDM5C|MBD2|CARM1|ZBTB1|JMJD6|TSPYL4|UBR2|SIRT1|ITGB3BP|SUZ12|RAD54B|N6AMT1|ZBTB7A|UBR5|HDAC7|MIS18A|MIER2|IWS1|ARID1B|EP400|NAA40|NAA50|KDM7A|GRWD1|TADA2B|H4C16|JDP2|RNF168|SDR16C5|NAP1L5|MSL1,-3.9
MyList,GO Biological Processes,19,GO:0098657,import into cell,19_GO:0051179 localization,-6.8,2.2,5.9,30293,708,1025,52,5.1,0.69,133|478|775|949|1053|1182|1453|1456|2621|3688|3953|4973|5290|5291|5869|5899|6339|6382|6546|6553|7879|9372|9892|10369|10451|11252|22848|22876|23032|23210|23221|23301|23433|25977|26130|27102|29763|30846|50618|51293|51479|54407|54940|55681|56262|57502|58513|79767|127833|132299|163486|206358,ADM|ATP1A3|CACNA1C|SCARB1|CEBPE|CLCN3|CSNK1D|CSNK1G3|GAS6|ITGB1|LEPR|OLR1|PIK3CA|PIK3CB|RAB5B|RALB|SCNN1D|SDC1|SLC8A1|SLC9A5|RAB7A|ZFYVE9|SNAP91|CACNG2|VAV3|PACSIN2|AAK1|INPP5F|USP33|JMJD6|RHOBTB2|EHBP1|RHOQ|NECAP1|GAPVD1|EIF2AK1|PACSIN3|EHD2|ITSN2|CD320|ANKFY1|SLC38A2|OCIAD1|SCYL2|LRRC8A|NLGN4X|EPS15L1|ELMO3|SYT2|OCIAD2|DENND1B|SLC36A1,-3.5
MyList,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-6.7,2.4,6,30293,501,1025,41,4,0.61,367|478|1616|1956|2101|2104|2322|2822|3192|3480|3716|3717|3953|4306|4824|4841|5290|5467|5573|6339|6772|6777|6885|7376|8031|8202|8660|9663|9882|10011|10424|10580|10728|23411|23433|51141|51366|51389|57492|84109|84709,AR|ATP1A3|DAXX|EGFR|ESRRA|ESRRG|FLT3|GPLD1|HNRNPU|IGF1R|JAK1|JAK2|LEPR|NR3C2|NKX3-1|NONO|PIK3CA|PPARD|PRKAR1A|SCNN1D|STAT1|STAT5B|MAP3K7|NR1H2|NCOA4|NCOA3|IRS2|LPIN2|TBC1D4|SRA1|PGRMC2|SORBS1|PTGES3|SIRT1|RHOQ|INSIG2|UBR5|RWDD1|ARID1B|QRFPR|MGARP,-3.5
