Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
2242,3.0,1,1,1
9459,3.0,1,1,1
1040,3.0,1,1,1
708,3.0,1,1,1
55327,3.0,1,1,1
8775,3.0,1,1,1
55972,3.0,1,1,1
5144,3.0,1,1,1
79041,3.0,1,1,1
112755,3.0,1,1,1
55711,3.0,1,1,1
6498,3.0,1,1,1
23329,3.0,1,1,1
4297,3.0,1,1,1
51479,3.0,1,1,1
6382,3.0,1,1,1
246330,3.0,1,1,1
1054,3.0,1,1,1
27115,3.0,1,1,1
6670,3.0,1,1,1
51141,3.0,1,1,1
29126,3.0,1,1,1
8754,3.0,1,1,1
5576,3.0,1,1,1
545,3.0,1,1,1
57489,3.0,1,1,1
7074,3.0,1,1,1
7422,3.0,1,1,1
79869,3.0,1,1,1
55212,3.0,1,1,1
55361,3.0,1,1,1
23300,3.0,1,1,1
79670,3.0,1,1,1
2322,3.0,1,1,1
6095,3.0,1,1,1
51271,3.0,1,1,1
8482,3.0,1,1,1
5292,3.0,1,1,1
23498,3.0,1,1,1
10318,3.0,1,1,1
5264,3.0,1,1,1
80271,3.0,1,1,1
79867,3.0,1,1,1
7326,3.0,1,1,1
11060,3.0,1,1,1
1908,3.0,1,1,1
25831,3.0,1,1,1
60682,3.0,1,1,1
3658,3.0,1,1,1
85476,3.0,1,1,1
51095,3.0,1,1,1
92840,3.0,1,1,1
6843,3.0,1,1,1
154865,3.0,1,1,1
372,3.0,1,1,1
79612,3.0,1,1,1
2620,3.0,1,1,1
91782,3.0,1,1,1
367,3.0,1,1,1
114880,3.0,1,1,1
6785,3.0,1,1,1
7321,3.0,1,1,1
51286,3.0,1,1,1
84524,3.0,1,1,1
6777,3.0,1,1,1
9525,3.0,1,1,1
192669,3.0,1,1,1
8928,3.0,1,1,1
8050,3.0,1,1,1
23023,3.0,1,1,1
6873,3.0,1,1,1
28512,3.0,1,1,1
54407,3.0,1,1,1
54949,3.0,1,1,1
4363,3.0,1,1,1
1182,3.0,1,1,1
79809,3.0,1,1,1
83860,3.0,1,1,1
56112,3.0,1,1,1
79888,3.0,1,1,1
5979,3.0,1,1,1
400916,3.0,1,1,1
