_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-9.3,GO:1901137,carbohydrate derivative biosynthetic process,M1,1,0
1,-2.2,GO:0007215,glutamate receptor signaling pathway,M1,1,0
1,-2.9,GO:0035567,non-canonical Wnt signaling pathway,M1,1,0
1,-2.7,GO:2000146,negative regulation of cell motility,M1,1,0
1,-2.3,GO:0018958,phenol-containing compound metabolic process,M1,1,0
1,-3.3,GO:0009101,glycoprotein biosynthetic process,M1,1,0
1,-2.1,GO:0043304,regulation of mast cell degranulation,M1,1,0
1,-3.8,GO:1901606,alpha-amino acid catabolic process,M1,1,0
1,-2.1,GO:0007035,vacuolar acidification,M1,1,0
1,-4.1,GO:0045862,positive regulation of proteolysis,M1,1,0
1,-2.9,GO:0002699,positive regulation of immune effector process,M1,1,0
1,-5,GO:0006887,exocytosis,M1,1,0
1,-2.3,GO:0006906,vesicle fusion,M1,1,0
1,-2.5,GO:0045070,positive regulation of viral genome replication,M1,1,0
1,-3,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-14,GO:0007005,mitochondrion organization,M1,1,0
1,-3.7,GO:0071241,cellular response to inorganic substance,M1,1,0
1,-2.9,GO:0001952,regulation of cell-matrix adhesion,M1,1,0
1,-2.7,GO:0031333,negative regulation of protein-containing complex assembly,M1,1,0
1,-2.7,GO:0006631,fatty acid metabolic process,M1,1,0
1,-8.6,GO:0051098,regulation of binding,M1,1,0
1,-3.8,GO:0090026,positive regulation of monocyte chemotaxis,M1,1,0
1,-2.3,GO:0006552,leucine catabolic process,M1,1,0
1,-8.6,GO:0009165,nucleotide biosynthetic process,M1,1,0
1,-10,GO:0031647,regulation of protein stability,M1,1,0
1,-3.6,GO:0150064,vertebrate eye-specific patterning,M1,1,0
1,-9.1,GO:0031401,positive regulation of protein modification process,M1,1,0
1,-2.7,GO:1903531,negative regulation of secretion by cell,M1,1,0
1,-2.3,GO:0007268,chemical synaptic transmission,M1,1,0
1,-4.3,GO:0047496,vesicle transport along microtubule,M1,1,0
1,-5.6,GO:0030705,cytoskeleton-dependent intracellular transport,M1,1,0
1,-2.6,GO:0046113,nucleobase catabolic process,M1,1,0
1,-3.4,GO:0045055,regulated exocytosis,M1,1,0
1,-3.6,GO:0007409,axonogenesis,M1,1,0
1,-2,GO:0009127,purine nucleoside monophosphate biosynthetic process,M1,1,0
1,-2.3,GO:0033239,negative regulation of amine metabolic process,M1,1,0
1,-4.1,GO:0042063,gliogenesis,M1,1,0
1,-3.8,GO:0051345,positive regulation of hydrolase activity,M1,1,0
1,-5.7,GO:0002262,myeloid cell homeostasis,M1,1,0
1,-3.6,GO:0060633,negative regulation of transcription initiation by RNA polymerase II,M1,1,0
1,-2.2,GO:0031503,protein-containing complex localization,M1,1,0
1,-3.6,GO:0043371,"negative regulation of CD4-positive, alpha-beta T cell differentiation",M1,1,0
1,-5.7,GO:0009199,ribonucleoside triphosphate metabolic process,M1,1,0
1,-2.4,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-4.4,GO:0090025,regulation of monocyte chemotaxis,M1,1,0
1,-2.6,GO:0051924,regulation of calcium ion transport,M1,1,0
1,-2.9,GO:1904814,"regulation of protein localization to chromosome, telomeric region",M1,1,0
1,-10,GO:0009259,ribonucleotide metabolic process,M1,1,0
1,-3.1,GO:0071478,cellular response to radiation,M1,1,0
1,-2.9,GO:0051701,biological process involved in interaction with host,M1,1,0
1,-5.9,GO:0099111,microtubule-based transport,M1,1,0
1,-4.1,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",M1,1,0
1,-3.6,GO:0001649,osteoblast differentiation,M1,1,0
1,-2.4,GO:0060159,regulation of dopamine receptor signaling pathway,M1,1,0
1,-2.1,GO:0021978,telencephalon regionalization,M1,1,0
1,-2.1,GO:0051216,cartilage development,M1,1,0
1,-2.2,GO:0072665,protein localization to vacuole,M1,1,0
1,-4.9,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-2.1,GO:0072386,plus-end-directed organelle transport along microtubule,M1,1,0
1,-2.6,GO:1901909,diadenosine hexaphosphate catabolic process,M1,1,0
1,-6,GO:0006605,protein targeting,M1,1,0
1,-2.4,GO:1903311,regulation of mRNA metabolic process,M1,1,0
1,-2.3,GO:0061952,midbody abscission,M1,1,0
1,-5.3,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-6.9,GO:1903532,positive regulation of secretion by cell,M1,1,0
1,-5.4,GO:0009154,purine ribonucleotide catabolic process,M1,1,0
1,-4,GO:0042274,ribosomal small subunit biogenesis,M1,1,0
1,-2.4,GO:0070884,regulation of calcineurin-NFAT signaling cascade,M1,1,0
1,-2.6,GO:0038163,thrombopoietin-mediated signaling pathway,M1,1,0
1,-2.2,GO:0021700,developmental maturation,M1,1,0
