_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-32.022558478980386,GO:0002181,M1,1,0,GO Biological Processes,19,cytoplasmic translation,19_GO:0008152 metabolic process,-32.022558478980386,6.914573969629437,17.28286014178171,30293,123,1959,55,2.807554874936192,0.3732184997481816,2107|3646|4736|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6168|6171|6173|6175|6176|6187|6188|6189|6191|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|7884|8664|8665|8667|8669|8894|11224|51386|55854,ETF1|EIF3E|RPL10A|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|SLBP|EIF3D|EIF3F|EIF3H|EIF3J|EIF2S2|RPL35|EIF3L|ZC3H15,-27.845079696438063,0,1,1,1,-32.022558478980386,6.914573969629437,
1,-27.691279830746073,GO:0006412,M1,1,0,GO Biological Processes,19,translation,19_GO:0008152 metabolic process,-27.691279830746073,3.659301949506876,13.952614020867896,30293,393,1959,93,4.747320061255743,0.480447170451105,1734|1915|1933|1965|2058|2107|3376|3646|4736|5188|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6166|6168|6171|6173|6175|6176|6187|6188|6189|6191|6192|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|7284|7458|7884|7965|8664|8665|8667|8669|8890|8894|9086|9652|10209|11224|23438|25898|51021|51023|51253|51258|51263|51386|51649|51714|54952|55037|55052|55168|55699|55854|64976|80349|84340|118487|124454|124995|140032|347744,DIO2|EEF1A1|EEF1B2|EIF2S1|EPRS1|ETF1|IARS1|EIF3E|RPL10A|GATB|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL36AL|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS4Y1|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|TUFM|EIF4H|SLBP|AIMP2|EIF3D|EIF3F|EIF3H|EIF3J|EIF2B4|EIF2S2|EIF1AY|SKIC3|EIF1|RPL35|HARS2|RCHY1|MRPS16|MRPS18C|MRPL37|MRPL51|MRPL30|EIF3L|MRPS23|SELENOT|TRNAU1AP|PTCD3|MRPL20|MRPS18A|IARS2|ZC3H15|MRPL40|SKIC8|GFM2|CHCHD1|EARS2|MRPL10|RPS4Y2|C6orf52,-23.81483104386773,0,1,0,0,-32.022558478980386,6.914573969629437,
1,-27.152470304031734,GO:0043043,M1,1,0,GO Biological Processes,19,peptide biosynthetic process,19_GO:0008152 metabolic process,-27.152470304031734,3.517763439611563,13.695361955024845,30293,422,1959,96,4.900459418070444,0.4877422641438865,1734|1915|1933|1965|2058|2107|2681|3376|3646|4736|5125|5188|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6166|6168|6171|6173|6175|6176|6187|6188|6189|6191|6192|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|6505|7284|7458|7884|7965|8664|8665|8667|8669|8890|8894|9086|9652|10209|11224|23438|25898|51021|51023|51253|51258|51263|51386|51649|51714|54952|55037|55052|55168|55699|55854|64976|80349|84340|118487|124454|124995|140032|347744,DIO2|EEF1A1|EEF1B2|EIF2S1|EPRS1|ETF1|GGTA1|IARS1|EIF3E|RPL10A|PCSK5|GATB|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL36AL|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS4Y1|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|SLC1A1|TUFM|EIF4H|SLBP|AIMP2|EIF3D|EIF3F|EIF3H|EIF3J|EIF2B4|EIF2S2|EIF1AY|SKIC3|EIF1|RPL35|HARS2|RCHY1|MRPS16|MRPS18C|MRPL37|MRPL51|MRPL30|EIF3L|MRPS23|SELENOT|TRNAU1AP|PTCD3|MRPL20|MRPS18A|IARS2|ZC3H15|MRPL40|SKIC8|GFM2|CHCHD1|EARS2|MRPL10|RPS4Y2|C6orf52,-23.452112776209074,0,1,0,0,-32.022558478980386,6.914573969629437,
1,-26.10706031394877,GO:0006518,M1,1,0,GO Biological Processes,19,peptide metabolic process,19_GO:0008152 metabolic process,-26.10706031394877,3.182779008509394,13.136899201073945,30293,515,1959,106,5.410923940786115,0.5111389639045917,165|1363|1734|1915|1933|1965|2058|2107|2681|3376|3646|4736|5034|5125|5188|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6166|6168|6171|6173|6175|6176|6187|6188|6189|6191|6192|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|6505|7284|7458|7884|7941|7965|8664|8665|8667|8669|8678|8890|8894|9086|9520|9652|10209|11224|23438|25898|51021|51023|51253|51258|51263|51386|51649|51714|54952|55037|55052|55168|55486|55699|55854|64976|80349|84340|90701|118487|121665|124454|124995|140032|347744|440434,AEBP1|CPE|DIO2|EEF1A1|EEF1B2|EIF2S1|EPRS1|ETF1|GGTA1|IARS1|EIF3E|RPL10A|P4HB|PCSK5|GATB|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL36AL|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS4Y1|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|SLC1A1|TUFM|EIF4H|SLBP|PLA2G7|AIMP2|EIF3D|EIF3F|EIF3H|EIF3J|BECN1|EIF2B4|EIF2S2|EIF1AY|NPEPPS|SKIC3|EIF1|RPL35|HARS2|RCHY1|MRPS16|MRPS18C|MRPL37|MRPL51|MRPL30|EIF3L|MRPS23|SELENOT|TRNAU1AP|PTCD3|MRPL20|MRPS18A|PARL|IARS2|ZC3H15|MRPL40|SKIC8|GFM2|SEC11C|CHCHD1|SPPL3|EARS2|MRPL10|RPS4Y2|C6orf52|NPEPPSP1,-22.53164152273441,0,1,0,0,-32.022558478980386,6.914573969629437,
1,-25.674379958246732,GO:0043604,M1,1,0,GO Biological Processes,19,amide biosynthetic process,19_GO:0008152 metabolic process,-25.674379958246732,3.0870360709564384,12.939930301832014,30293,546,1959,109,5.564063297600817,0.5179018461999154,38|435|1050|1734|1738|1915|1933|1965|2058|2107|2681|3376|3646|4594|4736|5125|5162|5188|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6166|6168|6171|6173|6175|6176|6187|6188|6189|6191|6192|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|6505|6609|7284|7458|7884|7965|8664|8665|8667|8669|8703|8890|8894|9086|9200|9652|10209|10715|11001|11224|23438|25898|30815|51021|51023|51253|51258|51263|51386|51649|51714|54952|55037|55052|55168|55699|55854|64976|80349|84340|118487|124454|124995|140032|142891|347744,ACAT1|ASL|CEBPA|DIO2|DLD|EEF1A1|EEF1B2|EIF2S1|EPRS1|ETF1|GGTA1|IARS1|EIF3E|MMUT|RPL10A|PCSK5|PDHB|GATB|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL36AL|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS4Y1|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|SLC1A1|SMPD1|TUFM|EIF4H|SLBP|AIMP2|EIF3D|EIF3F|EIF3H|EIF3J|B4GALT3|EIF2B4|EIF2S2|EIF1AY|HACD1|SKIC3|EIF1|CERS1|SLC27A2|RPL35|HARS2|RCHY1|ST6GALNAC6|MRPS16|MRPS18C|MRPL37|MRPL51|MRPL30|EIF3L|MRPS23|SELENOT|TRNAU1AP|PTCD3|MRPL20|MRPS18A|IARS2|ZC3H15|MRPL40|SKIC8|GFM2|CHCHD1|EARS2|MRPL10|RPS4Y2|SAMD8|C6orf52,-22.195871180040427,0,1,0,0,-32.022558478980386,6.914573969629437,
1,-16.05978324872725,GO:0022613,M1,1,0,GO Biological Processes,19,ribonucleoprotein complex biogenesis,19_GO:0009987 cellular process,-16.05978324872725,2.671539942811373,9.829040822597406,30293,492,1959,85,4.338948443083206,0.46030172468959274,103|1662|2752|3646|4736|5822|6125|6129|6130|6134|6135|6154|6155|6175|6189|6191|6203|6206|6208|6209|6210|6218|6223|6228|6629|6631|6634|6635|6636|6637|6838|6880|7248|7514|7536|8451|8487|8575|8664|8665|8667|8669|8894|9188|9326|9724|10181|10200|10412|10419|10421|10438|10521|10528|10772|10885|10907|10969|11157|11224|22827|23016|23020|23450|23560|26747|51386|51491|51639|54433|55052|55341|55651|57050|57819|58155|60680|64282|79033|79707|79863|90121|90441|135295|404672,ADAR|DDX10|GLUL|EIF3E|RPL10A|PWP2|RPL5|RPL7|RPL7A|RPL10|RPL11|RPL26|RPL27|RPLP0|RPS3A|RPS4X|RPS9|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS19|RPS23|SNRPB2|SNRPC|SNRPD3|SNRPE|SNRPF|SNRPG|SURF6|TAF9|TSC1|XPO1|SF1|CUL4A|GEMIN2|PRKRA|EIF3D|EIF3F|EIF3H|EIF3J|EIF2S2|DDX21|ZNHIT3|UTP14C|RBM5|MPHOSPH6|NSA2|PRMT5|CD2BP2|C1D|DDX17|NOP56|SRSF10|WDR3|TXNL4A|EBNA1BP2|LSM6|RPL35|PUF60|EXOSC7|SNRNP200|SF3B3|GTPBP4|NUFIP1|EIF3L|NOP16|SF3B6|GAR1|MRPL20|LSG1|NHP2|UTP3|LSM2|PTBP2|CELF5|TENT4B|ERI3|NOL9|RBFA|TSR2|ZNF622|SRSF12|GTF2H5,-12.66045571656857,0,2,1,1,-16.05978324872725,3.2094060311864925,
1,-9.304912542682692,GO:0071826,M1,1,0,GO Biological Processes,19,protein-RNA complex organization,19_GO:0009987 cellular process,-9.304912542682692,2.7999756321462406,7.407553070901219,30293,243,1959,44,2.2460438999489534,0.3347796672775381,103|3646|5822|6125|6134|6135|6175|6208|6209|6223|6629|6631|6634|6635|6636|6637|6880|7536|8444|8487|8575|8664|8665|8667|8669|8894|9326|10181|10419|10421|10772|10907|22827|23020|23450|24144|26747|51386|51639|55052|57819|58155|60680|135295,ADAR|EIF3E|PWP2|RPL5|RPL10|RPL11|RPLP0|RPS14|RPS15|RPS19|SNRPB2|SNRPC|SNRPD3|SNRPE|SNRPF|SNRPG|TAF9|SF1|DYRK3|GEMIN2|PRKRA|EIF3D|EIF3F|EIF3H|EIF3J|EIF2S2|ZNHIT3|RBM5|PRMT5|CD2BP2|SRSF10|TXNL4A|PUF60|SNRNP200|SF3B3|TFIP11|NUFIP1|EIF3L|SF3B6|MRPL20|LSM2|PTBP2|CELF5|SRSF12,-6.632583738460275,0,2,0,0,-16.05978324872725,3.2094060311864925,
1,-8.91775998272776,GO:0000377,M1,1,0,GO Biological Processes,19,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0008152 metabolic process,-8.91775998272776,2.6237710612686427,7.138640649393625,30293,277,1959,47,2.399183256763655,0.34573330592280754,3178|3181|3183|3189|3312|4236|4670|5356|5936|6427|6629|6631|6634|6635|6636|6637|7536|8487|9939|10181|10286|10419|10421|10465|10521|10772|10907|11017|11157|22827|23020|23450|23658|24144|27238|27258|51362|51639|51645|57819|58155|59286|60680|84950|118924|135295|153527,HNRNPA1|HNRNPA2B1|HNRNPC|HNRNPH3|HSPA8|MFAP1|HNRNPM|PLRG1|RBM4|SRSF2|SNRPB2|SNRPC|SNRPD3|SNRPE|SNRPF|SNRPG|SF1|GEMIN2|RBM8A|RBM5|BCAS2|PRMT5|CD2BP2|PPIH|DDX17|SRSF10|TXNL4A|SNRNP27|LSM6|PUF60|SNRNP200|SF3B3|LSM5|TFIP11|GPKOW|LSM3|CDC40|SF3B6|PPIL1|LSM2|PTBP2|UBL5|CELF5|PRPF38A|FRA10AC1|SRSF12|ZMAT2,-6.342341191513401,0,2,0,0,-16.05978324872725,3.2094060311864925,
1,-8.91775998272776,GO:0000398,M1,1,0,GO Biological Processes,19,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-8.91775998272776,2.6237710612686427,7.138640649393625,30293,277,1959,47,2.399183256763655,0.34573330592280754,3178|3181|3183|3189|3312|4236|4670|5356|5936|6427|6629|6631|6634|6635|6636|6637|7536|8487|9939|10181|10286|10419|10421|10465|10521|10772|10907|11017|11157|22827|23020|23450|23658|24144|27238|27258|51362|51639|51645|57819|58155|59286|60680|84950|118924|135295|153527,HNRNPA1|HNRNPA2B1|HNRNPC|HNRNPH3|HSPA8|MFAP1|HNRNPM|PLRG1|RBM4|SRSF2|SNRPB2|SNRPC|SNRPD3|SNRPE|SNRPF|SNRPG|SF1|GEMIN2|RBM8A|RBM5|BCAS2|PRMT5|CD2BP2|PPIH|DDX17|SRSF10|TXNL4A|SNRNP27|LSM6|PUF60|SNRNP200|SF3B3|LSM5|TFIP11|GPKOW|LSM3|CDC40|SF3B6|PPIL1|LSM2|PTBP2|UBL5|CELF5|PRPF38A|FRA10AC1|SRSF12|ZMAT2,-6.342341191513401,0,2,0,0,-16.05978324872725,3.2094060311864925,
1,-8.853077567875594,GO:0022618,M1,1,0,GO Biological Processes,19,protein-RNA complex assembly,19_GO:0009987 cellular process,-8.853077567875594,2.787412339220107,7.201707384434677,30293,233,1959,42,2.1439509954058193,0.3272533097996475,103|3646|5822|6125|6134|6135|6175|6208|6209|6223|6629|6631|6634|6635|6636|6637|6880|7536|8487|8575|8664|8665|8667|8669|8894|9326|10181|10419|10421|10772|10907|22827|23020|23450|26747|51386|51639|55052|57819|58155|60680|135295,ADAR|EIF3E|PWP2|RPL5|RPL10|RPL11|RPLP0|RPS14|RPS15|RPS19|SNRPB2|SNRPC|SNRPD3|SNRPE|SNRPF|SNRPG|TAF9|SF1|GEMIN2|PRKRA|EIF3D|EIF3F|EIF3H|EIF3J|EIF2S2|ZNHIT3|RBM5|PRMT5|CD2BP2|SRSF10|TXNL4A|PUF60|SNRNP200|SF3B3|NUFIP1|EIF3L|SF3B6|MRPL20|LSM2|PTBP2|CELF5|SRSF12,-6.298848075731172,0,2,0,0,-16.05978324872725,3.2094060311864925,
