Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
23291,3.0,1,1,1
9446,3.0,1,1,1
55366,3.0,1,1,1
10170,3.0,1,1,1
26115,3.0,1,1,1
10449,3.0,1,1,1
9337,3.0,1,1,1
5245,3.0,1,1,1
6399,3.0,1,1,1
4886,3.0,1,1,1
4856,3.0,1,1,1
10419,3.0,1,1,1
1398,3.0,1,1,1
528,3.0,1,1,1
79902,3.0,1,1,1
5996,3.0,1,1,1
1428,3.0,1,1,1
23410,3.0,1,1,1
8550,3.0,1,1,1
2521,3.0,1,1,1
5478,3.0,1,1,1
4794,3.0,1,1,1
7071,3.0,1,1,1
29883,3.0,1,1,1
1892,3.0,1,1,1
7468,3.0,1,1,1
3822,3.0,1,1,1
2018,3.0,1,1,1
5162,3.0,1,1,1
170685,3.0,1,1,1
4086,3.0,1,1,1
8325,3.0,1,1,1
27445,3.0,1,1,1
3155,3.0,1,1,1
22977,3.0,1,1,1
57007,3.0,1,1,1
358,3.0,1,1,1
79003,3.0,1,1,1
8487,3.0,1,1,1
84309,3.0,1,1,1
529,3.0,1,1,1
1627,3.0,1,1,1
57630,3.0,1,1,1
4351,3.0,1,1,1
91663,3.0,1,1,1
10483,3.0,1,1,1
2821,3.0,1,1,1
128866,3.0,1,1,1
11163,3.0,1,1,1
1176,3.0,1,1,1
57533,3.0,1,1,1
10459,3.0,1,1,1
23515,3.0,1,1,1
22948,3.0,1,1,1
10901,3.0,1,1,1
80224,3.0,1,1,1
5191,3.0,1,1,1
4852,3.0,1,1,1
6277,3.0,1,1,1
283489,3.0,1,1,1
9536,3.0,1,1,1
4947,3.0,1,1,1
10456,3.0,1,1,1
55190,3.0,1,1,1
5217,3.0,1,1,1
56270,3.0,1,1,1
3275,3.0,1,1,1
392,3.0,1,1,1
51478,3.0,1,1,1
10490,3.0,1,1,1
594,3.0,1,1,1
7846,3.0,1,1,1
9256,3.0,1,1,1
3094,3.0,1,1,1
2850,3.0,1,1,1
55718,3.0,1,1,1
1734,3.0,1,1,1
5034,3.0,1,1,1
226,3.0,1,1,1
11020,3.0,1,1,1
6188,3.0,1,1,1
6189,3.0,1,1,1
27018,3.0,1,1,1
7037,3.0,1,1,1
200942,3.0,1,1,1
51728,3.0,1,1,1
10006,3.0,1,1,1
10715,3.0,1,1,1
4522,3.0,1,1,1
55959,3.0,1,1,1
404672,3.0,1,1,1
3689,3.0,1,1,1
79443,3.0,1,1,1
11345,3.0,1,1,1
7385,3.0,1,1,1
254887,3.0,1,1,1
88,3.0,1,1,1
8665,3.0,1,1,1
27122,3.0,1,1,1
4718,3.0,1,1,1
60626,3.0,1,1,1
9270,3.0,1,1,1
6154,3.0,1,1,1
51019,3.0,1,1,1
55625,3.0,1,1,1
3642,3.0,1,1,1
6303,3.0,1,1,1
9615,3.0,1,1,1
92196,3.0,1,1,1
5636,3.0,1,1,1
5824,3.0,1,1,1
2550,3.0,1,1,1
11001,3.0,1,1,1
9646,3.0,1,1,1
9535,3.0,1,1,1
55486,3.0,1,1,1
54952,3.0,1,1,1
5223,3.0,1,1,1
5170,3.0,1,1,1
1393,3.0,1,1,1
1363,3.0,1,1,1
57472,3.0,1,1,1
22911,3.0,1,1,1
5092,3.0,1,1,1
598,3.0,1,1,1
7320,3.0,1,1,1
79751,3.0,1,1,1
23034,3.0,1,1,1
5138,3.0,1,1,1
155066,3.0,1,1,1
301,3.0,1,1,1
26468,3.0,1,1,1
10840,3.0,1,1,1
1855,3.0,1,1,1
6993,3.0,1,1,1
2735,3.0,1,1,1
84750,3.0,1,1,1
55553,3.0,1,1,1
23327,3.0,1,1,1
7480,3.0,1,1,1
10040,3.0,1,1,1
800,3.0,1,1,1
1746,3.0,1,1,1
80319,3.0,1,1,1
9637,3.0,1,1,1
55746,3.0,1,1,1
51699,3.0,1,1,1
3821,3.0,1,1,1
80339,3.0,1,1,1
166336,3.0,1,1,1
79090,3.0,1,1,1
6134,3.0,1,1,1
5471,3.0,1,1,1
259307,3.0,1,1,1
79893,3.0,1,1,1
6048,3.0,1,1,1
2900,3.0,1,1,1
801,3.0,1,1,1
10590,3.0,1,1,1
2109,3.0,1,1,1
6880,3.0,1,1,1
3269,3.0,1,1,1
