Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0050789 regulation of biological process,-11,3.7,8.7,30293,460,633,36,5.7,0.92,785|2048|2561|2903|2908|3355|3708|3749|3798|4155|5179|5530|5579|6197|6620|6812|6833|8825|10497|10814|10815|22865|23236|23396|23551|30819|56122|57468|91683|93664|112755|120892|127833|353174|388135|440279,CACNB4|EPHB2|GABRB2|GRIN2A|NR3C1|HTR1F|ITPR1|KCNC4|KIF5A|MBP|PENK|PPP3CA|PRKCB|RPS6KA3|SNCB|STXBP1|ABCC8|LIN7A|UNC13B|CPLX2|CPLX1|SLITRK3|PLCB1|PIP5K1C|RASD2|KCNIP2|PCDHB14|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|ZACN|INSYN1|UNC13C,-6.6,MyList
GO Biological Processes,19,GO:0099537,trans-synaptic signaling,19_GO:0050789 regulation of biological process,-9.7,3.7,8.1,30293,431,633,33,5.2,0.88,785|2048|2561|2903|2908|3355|3749|3798|4155|5179|5530|6197|6620|6812|6833|8825|10497|10814|10815|22865|23396|23551|30819|56122|57468|91683|93664|112755|120892|127833|353174|388135|440279,CACNB4|EPHB2|GABRB2|GRIN2A|NR3C1|HTR1F|KCNC4|KIF5A|MBP|PENK|PPP3CA|RPS6KA3|SNCB|STXBP1|ABCC8|LIN7A|UNC13B|CPLX2|CPLX1|SLITRK3|PIP5K1C|RASD2|KCNIP2|PCDHB14|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|ZACN|INSYN1|UNC13C,-6,MyList
GO Biological Processes,19,GO:0007268,chemical synaptic transmission,19_GO:0050789 regulation of biological process,-9.5,3.7,8.1,30293,414,633,32,5.1,0.87,785|2561|2903|2908|3355|3749|3798|4155|5179|5530|6197|6620|6812|6833|8825|10497|10814|10815|22865|23396|23551|30819|56122|57468|91683|93664|112755|120892|127833|353174|388135|440279,CACNB4|GABRB2|GRIN2A|NR3C1|HTR1F|KCNC4|KIF5A|MBP|PENK|PPP3CA|RPS6KA3|SNCB|STXBP1|ABCC8|LIN7A|UNC13B|CPLX2|CPLX1|SLITRK3|PIP5K1C|RASD2|KCNIP2|PCDHB14|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|ZACN|INSYN1|UNC13C,-6,MyList
GO Biological Processes,19,GO:0098916,anterograde trans-synaptic signaling,19_GO:0050789 regulation of biological process,-9.5,3.7,8.1,30293,414,633,32,5.1,0.87,785|2561|2903|2908|3355|3749|3798|4155|5179|5530|6197|6620|6812|6833|8825|10497|10814|10815|22865|23396|23551|30819|56122|57468|91683|93664|112755|120892|127833|353174|388135|440279,CACNB4|GABRB2|GRIN2A|NR3C1|HTR1F|KCNC4|KIF5A|MBP|PENK|PPP3CA|RPS6KA3|SNCB|STXBP1|ABCC8|LIN7A|UNC13B|CPLX2|CPLX1|SLITRK3|PIP5K1C|RASD2|KCNIP2|PCDHB14|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|ZACN|INSYN1|UNC13C,-6,MyList
GO Biological Processes,19,GO:0071805,potassium ion transmembrane transport,19_GO:0051179 localization,-8.7,5.5,8.5,30293,165,633,19,3,0.68,495|3745|3746|3748|3749|3783|3788|6553|6833|9196|23415|30819|56660|57468|57582|79041|84561|169522|348980,ATP4A|KCNB1|KCNC1|KCNC3|KCNC4|KCNN4|KCNS2|SLC9A5|ABCC8|KCNAB3|KCNH4|KCNIP2|KCNK12|SLC12A5|KCNT1|TMEM38A|SLC12A8|KCNV2|HCN1,-5.2,MyList
GO Biological Processes,19,GO:0006813,potassium ion transport,19_GO:0051179 localization,-8.2,5.2,8.1,30293,176,633,19,3,0.68,495|3745|3746|3748|3749|3783|3788|6553|6833|9196|23415|30819|56660|57468|57582|79041|84561|169522|348980,ATP4A|KCNB1|KCNC1|KCNC3|KCNC4|KCNN4|KCNS2|SLC9A5|ABCC8|KCNAB3|KCNH4|KCNIP2|KCNK12|SLC12A5|KCNT1|TMEM38A|SLC12A8|KCNV2|HCN1,-4.8,MyList
GO Biological Processes,19,GO:0030001,metal ion transport,19_GO:0051179 localization,-8,2.9,6.9,30293,636,633,38,6,0.94,490|491|492|495|775|785|2903|3708|3745|3746|3748|3749|3783|3788|5530|5579|6262|6324|6553|6833|7222|9196|23236|23415|26249|30819|51312|56660|57468|57582|57620|79041|83697|84561|151258|169522|286097|348980,ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|GRIN2A|ITPR1|KCNB1|KCNC1|KCNC3|KCNC4|KCNN4|KCNS2|PPP3CA|PRKCB|RYR2|SCN1B|SLC9A5|ABCC8|TRPC3|KCNAB3|PLCB1|KCNH4|KLHL3|KCNIP2|SLC25A37|KCNK12|SLC12A5|KCNT1|STIM2|TMEM38A|SLC4A9|SLC12A8|SLC38A11|KCNV2|MICU3|HCN1,-4.7,MyList
GO Biological Processes,19,GO:0098662,inorganic cation transmembrane transport,19_GO:0051179 localization,-7.7,2.8,6.7,30293,628,633,37,5.8,0.93,490|491|492|495|775|785|1346|2903|3708|3745|3746|3748|3749|3783|3788|6262|6324|6553|6833|7222|8604|9196|23236|23415|30819|51312|56660|57468|57582|57620|79041|83697|84561|169522|206358|286097|348980,ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|GRIN2A|ITPR1|KCNB1|KCNC1|KCNC3|KCNC4|KCNN4|KCNS2|RYR2|SCN1B|SLC9A5|ABCC8|TRPC3|SLC25A12|KCNAB3|PLCB1|KCNH4|KCNIP2|SLC25A37|KCNK12|SLC12A5|KCNT1|STIM2|TMEM38A|SLC4A9|SLC12A8|KCNV2|SLC36A1|MICU3|HCN1,-4.4,MyList
GO Biological Processes,19,GO:0098660,inorganic ion transmembrane transport,19_GO:0051179 localization,-7.5,2.6,6.5,30293,724,633,40,6.3,0.97,490|491|492|495|775|785|1346|2542|2561|2903|3708|3745|3746|3748|3749|3783|3788|6262|6324|6553|6833|7222|8604|9196|23236|23415|30819|51312|56172|56660|57468|57582|57620|79041|83697|84561|169522|206358|286097|348980,ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|SLC37A4|GABRB2|GRIN2A|ITPR1|KCNB1|KCNC1|KCNC3|KCNC4|KCNN4|KCNS2|RYR2|SCN1B|SLC9A5|ABCC8|TRPC3|SLC25A12|KCNAB3|PLCB1|KCNH4|KCNIP2|SLC25A37|ANKH|KCNK12|SLC12A5|KCNT1|STIM2|TMEM38A|SLC4A9|SLC12A8|KCNV2|SLC36A1|MICU3|HCN1,-4.3,MyList
GO Biological Processes,19,GO:0098655,monoatomic cation transmembrane transport,19_GO:0051179 localization,-7.4,2.7,6.6,30293,644,633,37,5.8,0.93,490|491|492|495|775|785|1346|2903|3708|3745|3746|3748|3749|3783|3788|6262|6324|6553|6833|7222|8604|9196|23236|23415|30819|51312|56660|57468|57582|57620|79041|83697|84561|169522|206358|286097|348980,ATP2B1|ATP2B2|ATP2B3|ATP4A|CACNA1C|CACNB4|COX7A1|GRIN2A|ITPR1|KCNB1|KCNC1|KCNC3|KCNC4|KCNN4|KCNS2|RYR2|SCN1B|SLC9A5|ABCC8|TRPC3|SLC25A12|KCNAB3|PLCB1|KCNH4|KCNIP2|SLC25A37|KCNK12|SLC12A5|KCNT1|STIM2|TMEM38A|SLC4A9|SLC12A8|KCNV2|SLC36A1|MICU3|HCN1,-4.2,MyList
