_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.5,GO:0034330,cell junction organization,M1,1,0
1,-2.3,GO:0051588,regulation of neurotransmitter transport,M1,1,0
1,-3.8,GO:0030522,intracellular receptor signaling pathway,M1,1,0
1,-3.5,GO:0010807,regulation of synaptic vesicle priming,M1,1,0
1,-4.4,GO:0006887,exocytosis,M1,1,0
1,-2.2,GO:0007159,leukocyte cell-cell adhesion,M1,1,0
1,-4.3,GO:0045055,regulated exocytosis,M1,1,0
1,-2.3,GO:0007409,axonogenesis,M1,1,0
1,-3.2,GO:0040007,growth,M1,1,0
1,-3.5,GO:0035249,"synaptic transmission, glutamatergic",M1,1,0
1,-2.5,GO:0140029,exocytic process,M1,1,0
1,-6.6,GO:0099643,signal release from synapse,M1,1,0
1,-2,GO:1903018,regulation of glycoprotein metabolic process,M1,1,0
1,-3.8,GO:0034764,positive regulation of transmembrane transport,M1,1,0
1,-3.1,GO:0051924,regulation of calcium ion transport,M1,1,0
1,-2.8,GO:0140056,organelle localization by membrane tethering,M1,1,0
1,-4,GO:0034767,positive regulation of monoatomic ion transmembrane transport,M1,1,0
1,-3,GO:0055082,intracellular chemical homeostasis,M1,1,0
1,-2.1,GO:0017158,regulation of calcium ion-dependent exocytosis,M1,1,0
1,-2.2,GO:0051098,regulation of binding,M1,1,0
1,-2.5,GO:0060766,negative regulation of androgen receptor signaling pathway,M1,1,0
1,-9.5,GO:0007268,chemical synaptic transmission,M1,1,0
1,-2.6,GO:0019233,sensory perception of pain,M1,1,0
1,-2.7,GO:0048736,appendage development,M1,1,0
1,-3.5,GO:0099175,regulation of postsynapse organization,M1,1,0
1,-2.2,GO:0048311,mitochondrion distribution,M1,1,0
1,-2.9,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,M1,1,0
1,-4.4,GO:0032964,collagen biosynthetic process,M1,1,0
1,-2.3,GO:0048841,regulation of axon extension involved in axon guidance,M1,1,0
1,-2.5,GO:0007610,behavior,M1,1,0
1,-2.2,GO:0022604,regulation of cell morphogenesis,M1,1,0
1,-2.9,GO:1903532,positive regulation of secretion by cell,M1,1,0
1,-3.8,GO:0018103,protein C-linked glycosylation,M1,1,0
1,-2.4,GO:0099149,regulation of postsynaptic neurotransmitter receptor internalization,M1,1,0
1,-3.8,GO:1904377,positive regulation of protein localization to cell periphery,M1,1,0
1,-2.7,GO:0046427,positive regulation of receptor signaling pathway via JAK-STAT,M1,1,0
