Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0050789 regulation of biological process,-13,4.9,10,30293,460,457,34,7.4,1.2,785|2048|2561|2903|2908|3355|3708|3749|3798|4155|5179|5530|5579|6197|6620|6812|8825|10497|10814|10815|23236|23396|23551|30819|56122|57468|91683|93664|112755|120892|127833|353174|388135|440279,CACNB4|EPHB2|GABRB2|GRIN2A|NR3C1|HTR1F|ITPR1|KCNC4|KIF5A|MBP|PENK|PPP3CA|PRKCB|RPS6KA3|SNCB|STXBP1|LIN7A|UNC13B|CPLX2|CPLX1|PLCB1|PIP5K1C|RASD2|KCNIP2|PCDHB14|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|ZACN|INSYN1|UNC13C,-9.8
MyList,GO Biological Processes,19,GO:0099537,trans-synaptic signaling,19_GO:0050789 regulation of biological process,-12,4.8,9.8,30293,431,457,31,6.8,1.2,785|2048|2561|2903|2908|3355|3749|3798|4155|5179|5530|6197|6620|6812|8825|10497|10814|10815|23396|23551|30819|56122|57468|91683|93664|112755|120892|127833|353174|388135|440279,CACNB4|EPHB2|GABRB2|GRIN2A|NR3C1|HTR1F|KCNC4|KIF5A|MBP|PENK|PPP3CA|RPS6KA3|SNCB|STXBP1|LIN7A|UNC13B|CPLX2|CPLX1|PIP5K1C|RASD2|KCNIP2|PCDHB14|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|ZACN|INSYN1|UNC13C,-8.9
MyList,GO Biological Processes,19,GO:0098916,anterograde trans-synaptic signaling,19_GO:0050789 regulation of biological process,-12,4.8,9.6,30293,414,457,30,6.6,1.2,785|2561|2903|2908|3355|3749|3798|4155|5179|5530|6197|6620|6812|8825|10497|10814|10815|23396|23551|30819|56122|57468|91683|93664|112755|120892|127833|353174|388135|440279,CACNB4|GABRB2|GRIN2A|NR3C1|HTR1F|KCNC4|KIF5A|MBP|PENK|PPP3CA|RPS6KA3|SNCB|STXBP1|LIN7A|UNC13B|CPLX2|CPLX1|PIP5K1C|RASD2|KCNIP2|PCDHB14|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|ZACN|INSYN1|UNC13C,-8.7
MyList,GO Biological Processes,19,GO:0007268,chemical synaptic transmission,19_GO:0050789 regulation of biological process,-12,4.8,9.6,30293,414,457,30,6.6,1.2,785|2561|2903|2908|3355|3749|3798|4155|5179|5530|6197|6620|6812|8825|10497|10814|10815|23396|23551|30819|56122|57468|91683|93664|112755|120892|127833|353174|388135|440279,CACNB4|GABRB2|GRIN2A|NR3C1|HTR1F|KCNC4|KIF5A|MBP|PENK|PPP3CA|RPS6KA3|SNCB|STXBP1|LIN7A|UNC13B|CPLX2|CPLX1|PIP5K1C|RASD2|KCNIP2|PCDHB14|SLC12A5|SYT12|CADPS2|STX1B|LRRK2|SYT2|ZACN|INSYN1|UNC13C,-8.7
MyList,GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-8.7,3.3,7.5,30293,656,457,33,7.2,1.2,816|1523|1946|2048|4957|5530|6324|7074|7473|8482|8536|10198|10602|10716|23072|23237|23316|23329|23345|25791|26051|27020|27067|53335|54437|55835|57489|83999|91584|112755|120892|126520|257194,CAMK2B|CUX1|EFNA5|EPHB2|ODF2|PPP3CA|SCN1B|TIAM1|WNT3|SEMA7A|CAMK1|MPHOSPH9|CDC42EP3|TBR1|HECW1|ARC|CUX2|TBC1D30|SYNE1|NGEF|PPP1R16B|NPTN|STAU2|BCL11A|SEMA5B|CENPJ|ODF2L|KREMEN1|PLXNA4|STX1B|LRRK2|PLK5|NEGR1,-6
MyList,GO Biological Processes,19,GO:0044057,regulation of system process,19_GO:0032501 multicellular organismal process,-8.6,3.6,7.5,30293,560,457,30,6.6,1.2,490|491|492|775|816|1113|2035|2903|3720|4205|4824|5530|6262|6324|7124|7125|7222|9475|9759|10038|10497|23316|23345|26011|27086|30012|30819|79041|112755|120892,ATP2B1|ATP2B2|ATP2B3|CACNA1C|CAMK2B|CHGA|EPB41|GRIN2A|JARID2|MEF2A|NKX3-1|PPP3CA|RYR2|SCN1B|TNF|TNNC2|TRPC3|ROCK2|HDAC4|PARP2|UNC13B|CUX2|SYNE1|TENM4|FOXP1|TLX3|KCNIP2|TMEM38A|STX1B|LRRK2,-6
MyList,GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-8.4,3.3,7.3,30293,672,457,33,7.2,1.2,816|1523|1946|2048|4957|5530|6324|7074|7473|8482|8536|10198|10602|10716|23072|23237|23316|23329|23345|25791|26051|27020|27067|53335|54437|55835|57489|83999|91584|112755|120892|126520|257194,CAMK2B|CUX1|EFNA5|EPHB2|ODF2|PPP3CA|SCN1B|TIAM1|WNT3|SEMA7A|CAMK1|MPHOSPH9|CDC42EP3|TBR1|HECW1|ARC|CUX2|TBC1D30|SYNE1|NGEF|PPP1R16B|NPTN|STAU2|BCL11A|SEMA5B|CENPJ|ODF2L|KREMEN1|PLXNA4|STX1B|LRRK2|PLK5|NEGR1,-5.9
MyList,GO Biological Processes,19,GO:0070201,regulation of establishment of protein localization,19_GO:0051179 localization,-8.4,3.6,7.5,30293,535,457,29,6.3,1.1,908|1113|1946|2822|3708|3717|3745|3783|5116|5530|5579|7074|7124|8536|9478|9515|9572|9747|10023|10497|10815|23236|23255|55638|55691|55835|84455|120892|163882,CCT6A|CHGA|EFNA5|GPLD1|ITPR1|JAK2|KCNB1|KCNN4|PCNT|PPP3CA|PRKCB|TIAM1|TNF|CAMK1|CABP1|STXBP5L|NR1D1|TCAF1|FRAT1|UNC13B|CPLX1|PLCB1|MTCL1|SYBU|FRMD4A|CENPJ|EFCAB7|LRRK2|CNST,-5.9
MyList,GO Biological Processes,19,GO:0071805,potassium ion transmembrane transport,19_GO:0051179 localization,-8.3,6.4,8.7,30293,165,457,16,3.5,0.86,495|3745|3746|3748|3749|3783|3788|6553|9196|23415|30819|57468|79041|84561|169522|348980,ATP4A|KCNB1|KCNC1|KCNC3|KCNC4|KCNN4|KCNS2|SLC9A5|KCNAB3|KCNH4|KCNIP2|SLC12A5|TMEM38A|SLC12A8|KCNV2|HCN1,-5.8
MyList,GO Biological Processes,19,GO:0010975,regulation of neuron projection development,19_GO:0032502 developmental process,-8,3.8,7.4,30293,459,457,26,5.7,1.1,816|1523|1946|2048|5530|6324|7074|7473|8482|8536|10716|23072|23237|23316|23345|25791|27020|27067|53335|54437|83999|91584|112755|120892|126520|257194,CAMK2B|CUX1|EFNA5|EPHB2|PPP3CA|SCN1B|TIAM1|WNT3|SEMA7A|CAMK1|TBR1|HECW1|ARC|CUX2|SYNE1|NGEF|NPTN|STAU2|BCL11A|SEMA5B|KREMEN1|PLXNA4|STX1B|LRRK2|PLK5|NEGR1,-5.5
