Cluster,Score,Type,Gene,Symbol,Network
3,3.7777777777777777,Seed,23415,KCNH4,MyList_SUB1
3,3.7777777777777777,Clustered,3748,KCNC3,MyList_SUB1
3,3.7777777777777777,Clustered,3746,KCNC1,MyList_SUB1
3,3.7777777777777777,Clustered,3788,KCNS2,MyList_SUB1
3,3.7777777777777777,Clustered,3745,KCNB1,MyList_SUB1
3,3.7777777777777777,Clustered,6138,RPL15,MyList_SUB1
3,3.7777777777777777,Clustered,9196,KCNAB3,MyList_SUB1
3,3.7777777777777777,Clustered,3749,KCNC4,MyList_SUB1
3,3.7777777777777777,Clustered,169522,KCNV2,MyList_SUB1
5,2.857142857142857,Clustered,9170,LPAR2,MyList_SUB1
5,2.857142857142857,Clustered,3827,KNG1,MyList_SUB1
5,2.857142857142857,Clustered,10803,CCR9,MyList_SUB1
5,2.857142857142857,Seed,259289,TAS2R43,MyList_SUB1
5,2.857142857142857,Clustered,3355,HTR1F,MyList_SUB1
5,2.857142857142857,Clustered,5179,PENK,MyList_SUB1
5,2.857142857142857,Clustered,4987,OPRL1,MyList_SUB1
6,2.857142857142857,Clustered,121504,H4C16,MyList_SUB1
6,2.857142857142857,Clustered,8360,H4C4,MyList_SUB1
6,2.857142857142857,Clustered,7703,PCGF2,MyList_SUB1
6,2.857142857142857,Seed,3720,JARID2,MyList_SUB1
6,2.857142857142857,Clustered,8361,H4C6,MyList_SUB1
6,2.857142857142857,Clustered,8366,H4C2,MyList_SUB1
6,2.857142857142857,Clustered,80853,KDM7A,MyList_SUB1
2,2.111111111111111,Clustered,10497,UNC13B,MyList_SUB1
2,2.111111111111111,Clustered,3798,KIF5A,MyList_SUB1
2,2.111111111111111,Clustered,6262,RYR2,MyList_SUB1
2,2.111111111111111,Clustered,8497,PPFIA4,MyList_SUB1
2,2.111111111111111,Clustered,3708,ITPR1,MyList_SUB1
2,2.111111111111111,Clustered,9055,PRC1,MyList_SUB1
2,2.111111111111111,Seed,5528,PPP2R5D,MyList_SUB1
2,2.111111111111111,Clustered,55844,PPP2R2D,MyList_SUB1
2,2.111111111111111,Clustered,6843,VAMP1,MyList_SUB1
2,2.111111111111111,Clustered,8825,LIN7A,MyList_SUB1
2,2.111111111111111,Clustered,10814,CPLX2,MyList_SUB1
2,2.111111111111111,Clustered,9515,STXBP5L,MyList_SUB1
2,2.111111111111111,Clustered,9493,KIF23,MyList_SUB1
2,2.111111111111111,Clustered,112755,STX1B,MyList_SUB1
2,2.111111111111111,Clustered,64837,KLC2,MyList_SUB1
2,2.111111111111111,Clustered,5521,PPP2R2B,MyList_SUB1
2,2.111111111111111,Clustered,6812,STXBP1,MyList_SUB1
2,2.111111111111111,Clustered,11004,KIF2C,MyList_SUB1
4,1.7777777777777777,Clustered,4957,ODF2,MyList_SUB1
4,1.7777777777777777,Clustered,54839,LRRC49,MyList_SUB1
4,1.7777777777777777,Seed,10318,TNIP1,MyList_SUB1
4,1.7777777777777777,Clustered,4215,MAP3K3,MyList_SUB1
4,1.7777777777777777,Clustered,126520,PLK5,MyList_SUB1
4,1.7777777777777777,Clustered,23329,TBC1D30,MyList_SUB1
4,1.7777777777777777,Clustered,22995,CEP152,MyList_SUB1
4,1.7777777777777777,Clustered,117178,SSX2IP,MyList_SUB1
4,1.7777777777777777,Clustered,84251,SGIP1,MyList_SUB1
8,1.5,Clustered,10536,P3H3,MyList_SUB1
8,1.5,Clustered,1310,COL19A1,MyList_SUB1
8,1.5,Clustered,1289,COL5A1,MyList_SUB1
