Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
8817,3.0,1,1,1
3745,3.0,1,1,1
10198,3.0,1,1,1
119,3.0,1,1,1
2104,3.0,1,1,1
3416,3.0,1,1,1
9218,3.0,1,1,1
22841,3.0,1,1,1
1620,3.0,1,1,1
2254,3.0,1,1,1
10605,3.0,1,1,1
5771,3.0,1,1,1
4155,3.0,1,1,1
816,3.0,1,1,1
84251,3.0,1,1,1
2035,3.0,1,1,1
2191,3.0,1,1,1
5291,3.0,1,1,1
55054,3.0,1,1,1
54344,3.0,1,1,1
23334,3.0,1,1,1
57489,3.0,1,1,1
491,3.0,1,1,1
338811,3.0,1,1,1
6812,3.0,1,1,1
91746,3.0,1,1,1
55809,3.0,1,1,1
2717,3.0,1,1,1
1289,3.0,1,1,1
126695,3.0,1,1,1
23072,3.0,1,1,1
775,3.0,1,1,1
116255,3.0,1,1,1
4987,3.0,1,1,1
9572,3.0,1,1,1
2903,3.0,1,1,1
284001,3.0,1,1,1
23329,3.0,1,1,1
163183,3.0,1,1,1
23316,3.0,1,1,1
120892,3.0,1,1,1
9201,3.0,1,1,1
5806,3.0,1,1,1
9475,3.0,1,1,1
10497,3.0,1,1,1
3708,3.0,1,1,1
10815,3.0,1,1,1
3717,3.0,1,1,1
7222,3.0,1,1,1
9759,3.0,1,1,1
7074,3.0,1,1,1
9063,3.0,1,1,1
10716,3.0,1,1,1
8825,3.0,1,1,1
6095,3.0,1,1,1
286,3.0,1,1,1
490,3.0,1,1,1
91683,3.0,1,1,1
7473,3.0,1,1,1
84561,3.0,1,1,1
5328,3.0,1,1,1
55835,3.0,1,1,1
143098,3.0,1,1,1
9265,3.0,1,1,1
55638,3.0,1,1,1
55691,3.0,1,1,1
10038,3.0,1,1,1
2908,3.0,1,1,1
133522,3.0,1,1,1
7124,3.0,1,1,1
3783,3.0,1,1,1
6262,3.0,1,1,1
51571,3.0,1,1,1
23345,3.0,1,1,1
8360,3.0,1,1,1
57468,3.0,1,1,1
132299,3.0,1,1,1
54437,3.0,1,1,1
27020,3.0,1,1,1
342667,3.0,1,1,1
23236,3.0,1,1,1
10536,3.0,1,1,1
6324,3.0,1,1,1
56925,3.0,1,1,1
22852,3.0,1,1,1
3746,3.0,1,1,1
80271,3.0,1,1,1
64783,3.0,1,1,1
8482,3.0,1,1,1
1305,3.0,1,1,1
284273,3.0,1,1,1
10318,3.0,1,1,1
79041,3.0,1,1,1
2048,3.0,1,1,1
80168,3.0,1,1,1
3798,3.0,1,1,1
92370,3.0,1,1,1
3575,3.0,1,1,1
4205,3.0,1,1,1
22995,3.0,1,1,1
2784,3.0,1,1,1
10580,3.0,1,1,1
112755,3.0,1,1,1
5179,3.0,1,1,1
163882,3.0,1,1,1
51174,3.0,1,1,1
2822,3.0,1,1,1
4157,3.0,1,1,1
23396,3.0,1,1,1
5329,3.0,1,1,1
122953,3.0,1,1,1
93664,3.0,1,1,1
23237,3.0,1,1,1
8174,3.0,1,1,1
8366,3.0,1,1,1
26249,3.0,1,1,1
1113,3.0,1,1,1
51341,3.0,1,1,1
121504,3.0,1,1,1
84896,3.0,1,1,1
79048,3.0,1,1,1
146713,3.0,1,1,1
27067,3.0,1,1,1
785,3.0,1,1,1
127833,3.0,1,1,1
64101,3.0,1,1,1
10814,3.0,1,1,1
84444,3.0,1,1,1
53335,3.0,1,1,1
10585,3.0,1,1,1
440279,3.0,1,1,1
23767,3.0,1,1,1
1893,3.0,1,1,1
84455,3.0,1,1,1
59352,3.0,1,1,1
3720,3.0,1,1,1
3235,3.0,1,1,1
23543,3.0,1,1,1
5579,3.0,1,1,1
8536,3.0,1,1,1
27086,3.0,1,1,1
492,3.0,1,1,1
8361,3.0,1,1,1
2710,3.0,1,1,1
5597,3.0,1,1,1
9747,3.0,1,1,1
30819,3.0,1,1,1
91584,3.0,1,1,1
495,3.0,1,1,1
80179,3.0,1,1,1
7059,3.0,1,1,1
1523,3.0,1,1,1
340419,3.0,1,1,1
25791,3.0,1,1,1
4824,3.0,1,1,1
1946,3.0,1,1,1
5530,3.0,1,1,1
79659,3.0,1,1,1
494470,3.0,1,1,1
54715,3.0,1,1,1
23255,3.0,1,1,1
2355,3.0,1,1,1
1775,2.0,1,1,0
54897,2.0,1,0,1
131076,2.0,1,0,1
26278,2.0,1,0,1
57703,2.0,1,0,1
26011,2.0,1,0,1
3423,2.0,1,0,1
9515,2.0,1,0,1
51308,2.0,1,0,1
4050,2.0,1,0,1
169522,2.0,1,0,1
92610,2.0,1,0,1
53616,2.0,1,0,1
84940,2.0,1,0,1
10388,2.0,1,0,1
5016,2.0,1,0,1
8565,2.0,1,0,1
55735,2.0,1,0,1
54522,2.0,1,0,1
7849,2.0,1,0,1
148223,2.0,1,0,1
348980,2.0,1,0,1
6096,2.0,1,0,1
259289,2.0,1,0,1
254531,2.0,1,0,1
22865,2.0,1,1,0
6710,2.0,1,0,1
9170,2.0,1,0,1
51278,2.0,1,0,1
60468,2.0,1,0,1
57795,2.0,1,0,1
56052,2.0,1,0,1
11281,2.0,1,0,1
57646,2.0,1,0,1
89886,2.0,1,0,1
79960,2.0,1,0,1
55339,2.0,1,0,1
10803,2.0,1,0,1
81605,2.0,1,0,1
219899,2.0,1,0,1
257194,2.0,1,0,1
728743,2.0,1,0,1
23762,2.0,1,0,1
5218,2.0,1,0,1
2135,2.0,1,0,1
10147,2.0,1,0,1
642475,2.0,1,0,1
8718,2.0,1,0,1
79836,2.0,1,0,1
9055,2.0,1,0,1
83541,2.0,1,0,1
10602,2.0,1,0,1
9671,2.0,1,0,1
8045,2.0,1,0,1
80119,2.0,1,0,1
4215,2.0,1,0,1
51750,2.0,1,0,1
145957,2.0,1,0,1
126520,2.0,1,0,1
1005,2.0,1,0,1
3902,2.0,1,0,1
56981,2.0,1,0,1
11202,2.0,1,0,1
343263,2.0,1,0,1
84838,2.0,1,0,1
148979,2.0,1,0,1
157848,2.0,1,0,1
9762,2.0,1,1,0
57620,2.0,1,1,0
7125,2.0,1,0,1
642658,2.0,1,1,0
55892,2.0,1,0,1
9493,2.0,1,0,1
114088,2.0,1,0,1
2289,2.0,1,0,1
63941,2.0,1,1,0
79058,2.0,1,0,1
388135,2.0,1,0,1
200634,2.0,1,0,1
79412,2.0,1,0,1
51195,2.0,1,0,1
386683,2.0,1,0,1
63893,2.0,1,0,1
5325,2.0,1,0,1
162494,2.0,1,0,1
85004,2.0,1,0,1
8646,2.0,1,0,1
163702,2.0,1,0,1
222642,2.0,1,0,1
10069,2.0,1,0,1
124923,2.0,1,0,1
9715,2.0,1,0,1
84448,2.0,1,0,1
8202,2.0,1,0,1
23005,2.0,1,0,1
5521,2.0,1,0,1
7791,2.0,1,0,1
353322,2.0,1,0,1
9949,2.0,1,0,1
255374,2.0,1,0,1
54212,2.0,1,0,1
285190,2.0,1,0,1
117178,2.0,1,0,1
79809,2.0,1,1,0
283417,2.0,1,1,0
2976,2.0,1,0,1
2582,2.0,1,0,1
55844,2.0,1,0,1
145389,2.0,1,0,1
26051,2.0,1,0,1
55320,2.0,1,0,1
22877,2.0,1,0,1
80854,2.0,1,0,1
83999,2.0,1,0,1
131566,2.0,1,0,1
94086,2.0,1,0,1
80853,2.0,1,0,1
10023,2.0,1,0,1
63027,2.0,1,0,1
6843,2.0,1,0,1
7321,2.0,1,0,1
7019,2.0,1,0,1
114815,2.0,1,0,1
9020,2.0,1,0,1
349152,2.0,1,1,0
79612,2.0,1,0,1
8848,2.0,1,0,1
54851,2.0,1,0,1
64118,2.0,1,0,1
26523,2.0,1,0,1
286826,2.0,1,0,1
56256,2.0,1,0,1
1164,2.0,1,0,1
84708,2.0,1,0,1
8785,2.0,1,0,1
83723,2.0,1,1,0
51592,2.0,1,0,1
9861,2.0,1,0,1
148206,2.0,1,0,1
9815,2.0,1,0,1
23266,2.0,1,0,1
23616,2.0,1,1,0
23415,2.0,1,0,1
55208,2.0,1,0,1
138429,2.0,1,0,1
57541,2.0,1,0,1
5264,2.0,1,0,1
83482,2.0,1,0,1
55728,2.0,1,0,1
9645,2.0,1,0,1
6197,2.0,1,0,1
6650,2.0,1,0,1
221806,2.0,1,0,1
23259,2.0,1,1,0
11004,2.0,1,0,1
196074,2.0,1,0,1
22901,2.0,1,0,1
92092,2.0,1,0,1
5891,2.0,1,0,1
3007,2.0,1,0,1
23421,2.0,1,0,1
94032,2.0,1,0,1
376940,2.0,1,0,1
353141,2.0,1,0,1
8497,2.0,1,0,1
30012,2.0,1,0,1
22801,2.0,1,0,1
3355,2.0,1,0,1
6676,2.0,1,0,1
134553,2.0,1,0,1
22866,2.0,1,0,1
54674,2.0,1,1,0
55361,2.0,1,0,1
11227,2.0,1,0,1
57333,2.0,1,1,0
898,2.0,1,0,1
27165,2.0,1,0,1
23506,2.0,1,0,1
145581,2.0,1,1,0
2872,2.0,1,0,1
56261,2.0,1,0,1
153443,2.0,1,0,1
56776,2.0,1,0,1
7799,2.0,1,0,1
286097,2.0,1,0,1
26033,2.0,1,0,1
89782,2.0,1,0,1
3270,2.0,1,1,0
10103,2.0,1,0,1
129563,2.0,1,0,1
203074,2.0,1,0,1
149076,2.0,1,0,1
63876,2.0,1,0,1
9781,2.0,1,0,1
283948,2.0,1,0,1
54704,2.0,1,0,1
84254,2.0,1,0,1
9945,2.0,1,0,1
1850,2.0,1,0,1
4957,2.0,1,0,1
6100,2.0,1,0,1
80778,2.0,1,0,1
152992,2.0,1,0,1
6553,2.0,1,0,1
189,2.0,1,0,1
79754,2.0,1,0,1
23101,2.0,1,0,1
353174,2.0,1,0,1
27163,2.0,1,0,1
57446,2.0,1,0,1
1310,2.0,1,0,1
84541,2.0,1,0,1
3788,2.0,1,0,1
26268,2.0,1,0,1
57476,2.0,1,0,1
7433,2.0,1,0,1
91392,2.0,1,1,0
93474,2.0,1,0,1
95681,2.0,1,0,1
7554,2.0,1,0,1
2886,2.0,1,0,1
10309,2.0,1,0,1
10332,2.0,1,1,0
3749,2.0,1,0,1
10884,2.0,1,0,1
23305,2.0,1,0,1
3097,2.0,1,0,1
