Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0016126,sterol biosynthetic process,19_GO:0008152 metabolic process,-13,10,12,30293,44,1140,17,1.5,0.36,1595|1717|1718|3157|3422|3638|4047|4598|6307|6309|6720|7108|9023|10449|50814|51478|51706,CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LSS|MVK|MSMO1|SC5D|SREBF1|TM7SF2|CH25H|ACAA2|NSDHL|HSD17B7|CYB5R1,-8.8,MyList
GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0008152 metabolic process,-13,3.1,9,30293,463,1140,54,4.7,0.63,240|445|834|1109|1595|1717|1718|2023|2628|2681|2746|2747|2752|2950|3028|3155|3157|3422|3638|3992|3995|4047|4598|4860|5092|5831|5947|5950|6307|6309|6576|6720|7108|8309|8644|8912|9104|9200|9415|10170|10449|23205|23743|26227|50814|51478|55256|63826|65263|79966|84532|92126|113189|171546,ALOX5|ASS1|CASP1|AKR1C4|CYP51A1|DHCR7|DHCR24|ENO1|GATM|GGTA1|GLUD1|GLUD2|GLUL|GSTP1|HSD17B10|HMGCL|HMGCS1|IDI1|INSIG1|FADS1|FADS3|LSS|MVK|PNP|PCBD1|PYCR1|RBP1|RBP4|MSMO1|SC5D|SLC25A1|SREBF1|TM7SF2|ACOX2|AKR1C3|CACNA1H|RGN|HACD1|FADS2|DHRS9|ACAA2|ACSBG1|BHMT2|PHGDH|NSDHL|HSD17B7|ADI1|SRR|PYCR3|SCD5|ACSS1|DSEL|CHST14|SPTSSA,-8.8,MyList
GO Biological Processes,19,GO:0006066,alcohol metabolic process,19_GO:0008152 metabolic process,-12,3.5,9,30293,326,1140,43,3.8,0.56,217|348|1050|1109|1595|1645|1717|1718|1910|3157|3418|3422|3638|3949|4047|4598|5092|5950|6307|6309|6609|6720|7108|7436|8574|8613|8630|8644|8912|9023|10170|10449|10577|10901|22845|27233|50814|51478|51573|57171|84532|170685|171546,ALDH2|APOE|CEBPA|AKR1C4|CYP51A1|AKR1C1|DHCR7|DHCR24|EDNRB|HMGCS1|IDH2|IDI1|INSIG1|LDLR|LSS|MVK|PCBD1|RBP4|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|AKR7A2|PLPP3|HSD17B6|AKR1C3|CACNA1H|CH25H|DHRS9|ACAA2|NPC2|DHRS4|DOLK|SULT1C4|NSDHL|HSD17B7|GDE1|DOLPP1|ACSS1|NUDT10|SPTSSA,-8.4,MyList
GO Biological Processes,19,GO:1901615,organic hydroxy compound metabolic process,19_GO:0008152 metabolic process,-12,3,8.7,30293,482,1140,54,4.7,0.63,30|217|348|1050|1109|1595|1645|1717|1718|1910|2184|3028|3067|3157|3418|3422|3638|3949|4047|4129|4598|5092|5950|6307|6309|6567|6609|6720|7108|7274|7436|8309|8574|8613|8630|8644|8912|9023|10170|10449|10577|10901|22845|27233|50814|51478|51573|51706|57171|84532|84650|170685|171546|197257,ACAA1|ALDH2|APOE|CEBPA|AKR1C4|CYP51A1|AKR1C1|DHCR7|DHCR24|EDNRB|FAH|HSD17B10|HDC|HMGCS1|IDH2|IDI1|INSIG1|LDLR|LSS|MAOB|MVK|PCBD1|RBP4|MSMO1|SC5D|SLC16A2|SMPD1|SREBF1|TM7SF2|TTPA|VLDLR|ACOX2|AKR7A2|PLPP3|HSD17B6|AKR1C3|CACNA1H|CH25H|DHRS9|ACAA2|NPC2|DHRS4|DOLK|SULT1C4|NSDHL|HSD17B7|GDE1|CYB5R1|DOLPP1|ACSS1|EBPL|NUDT10|SPTSSA|LDHD,-8.4,MyList
GO Biological Processes,19,GO:1902653,secondary alcohol biosynthetic process,19_GO:0008152 metabolic process,-12,11,12,30293,37,1140,15,1.3,0.34,1595|1717|1718|3157|3422|3638|4047|4598|6307|6309|6720|7108|10449|50814|51478,CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LSS|MVK|MSMO1|SC5D|SREBF1|TM7SF2|ACAA2|NSDHL|HSD17B7,-8.4,MyList
GO Biological Processes,19,GO:0006695,cholesterol biosynthetic process,19_GO:0008152 metabolic process,-12,11,12,30293,37,1140,15,1.3,0.34,1595|1717|1718|3157|3422|3638|4047|4598|6307|6309|6720|7108|10449|50814|51478,CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LSS|MVK|MSMO1|SC5D|SREBF1|TM7SF2|ACAA2|NSDHL|HSD17B7,-8.4,MyList
GO Biological Processes,19,GO:0008202,steroid metabolic process,19_GO:0008152 metabolic process,-12,3.8,9,30293,258,1140,37,3.2,0.52,30|348|1050|1109|1595|1645|1717|1718|1910|3028|3157|3422|3638|3949|4047|4598|5156|6307|6309|6609|6720|7108|7436|8309|8630|8644|8912|9023|10170|10449|10577|10901|25976|50814|51478|51706|84650,ACAA1|APOE|CEBPA|AKR1C4|CYP51A1|AKR1C1|DHCR7|DHCR24|EDNRB|HSD17B10|HMGCS1|IDI1|INSIG1|LDLR|LSS|MVK|PDGFRA|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|ACOX2|HSD17B6|AKR1C3|CACNA1H|CH25H|DHRS9|ACAA2|NPC2|DHRS4|TIPARP|NSDHL|HSD17B7|CYB5R1|EBPL,-8.2,MyList
GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0008152 metabolic process,-11,3.2,8.4,30293,352,1140,43,3.8,0.56,30|33|217|594|1757|1891|2023|2109|2110|2184|2639|2746|2747|2752|3028|3067|3155|3176|3712|4329|4860|7263|8309|8630|8644|10247|10449|10455|22875|23576|26275|27233|51071|51084|55556|55577|55862|56898|84706|84750|130589|137872|197257,ACAA1|ACADL|ALDH2|BCKDHB|SARDH|ECH1|ENO1|ETFB|ETFDH|FAH|GCDH|GLUD1|GLUD2|GLUL|HSD17B10|HDC|HMGCL|HNMT|IVD|ALDH6A1|PNP|TST|ACOX2|HSD17B6|AKR1C3|RIDA|ACAA2|ECI2|ENPP4|DDAH1|HIBCH|SULT1C4|DERA|CRYL1|ENOSF1|NAGK|ECHDC1|BDH2|GPT2|FUT10|GALM|ADHFE1|LDHD,-7.6,MyList
GO Biological Processes,19,GO:0006694,steroid biosynthetic process,19_GO:0008152 metabolic process,-10,5.3,9.2,30293,115,1140,23,2,0.42,1109|1595|1717|1718|3028|3157|3422|3638|4047|4598|6307|6309|6720|7108|8309|8630|8644|8912|9023|10449|50814|51478|51706,AKR1C4|CYP51A1|DHCR7|DHCR24|HSD17B10|HMGCS1|IDI1|INSIG1|LSS|MVK|MSMO1|SC5D|SREBF1|TM7SF2|ACOX2|HSD17B6|AKR1C3|CACNA1H|CH25H|ACAA2|NSDHL|HSD17B7|CYB5R1,-7.1,MyList
GO Biological Processes,19,GO:0046395,carboxylic acid catabolic process,19_GO:0008152 metabolic process,-10,3.8,8.4,30293,232,1140,33,2.9,0.5,30|33|594|1757|1891|2109|2110|2184|2639|2746|2747|2752|3028|3067|3155|3176|3712|4329|7263|8309|10247|10449|10455|23576|26275|51084|55556|55577|55862|56898|84706|137872|197257,ACAA1|ACADL|BCKDHB|SARDH|ECH1|ETFB|ETFDH|FAH|GCDH|GLUD1|GLUD2|GLUL|HSD17B10|HDC|HMGCL|HNMT|IVD|ALDH6A1|TST|ACOX2|RIDA|ACAA2|ECI2|DDAH1|HIBCH|CRYL1|ENOSF1|NAGK|ECHDC1|BDH2|GPT2|ADHFE1|LDHD,-7.1,MyList
