_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.6,GO:0034330,cell junction organization,M1,1,0
1,-8.5,GO:0030029,actin filament-based process,M1,1,0
1,-2.8,GO:0007409,axonogenesis,M1,1,0
1,-2.5,GO:0040007,growth,M1,1,0
1,-4.2,GO:0048608,reproductive structure development,M1,1,0
1,-2.3,GO:0061299,retina vasculature morphogenesis in camera-type eye,M1,1,0
1,-4,GO:0045055,regulated exocytosis,M1,1,0
1,-2.5,GO:0090130,tissue migration,M1,1,0
1,-2.5,GO:0035567,non-canonical Wnt signaling pathway,M1,1,0
1,-3.2,GO:0035150,regulation of tube size,M1,1,0
1,-2.7,GO:2000146,negative regulation of cell motility,M1,1,0
1,-2,GO:0009101,glycoprotein biosynthetic process,M1,1,0
1,-2.3,GO:0051238,sequestering of metal ion,M1,1,0
1,-3.5,GO:0030647,aminoglycoside antibiotic metabolic process,M1,1,0
1,-5.3,GO:1901606,alpha-amino acid catabolic process,M1,1,0
1,-2.3,GO:0061333,renal tubule morphogenesis,M1,1,0
1,-3.5,GO:0002699,positive regulation of immune effector process,M1,1,0
1,-2.9,GO:0046634,regulation of alpha-beta T cell activation,M1,1,0
1,-4.5,GO:0006887,exocytosis,M1,1,0
1,-2.3,GO:0061045,negative regulation of wound healing,M1,1,0
1,-3.1,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-6.8,GO:0071241,cellular response to inorganic substance,M1,1,0
1,-5,GO:0009084,glutamine family amino acid biosynthetic process,M1,1,0
1,-5.3,GO:0001952,regulation of cell-matrix adhesion,M1,1,0
1,-2.7,GO:0007005,mitochondrion organization,M1,1,0
1,-2.6,GO:0031333,negative regulation of protein-containing complex assembly,M1,1,0
1,-7.1,GO:0006631,fatty acid metabolic process,M1,1,0
1,-2.3,GO:1901616,organic hydroxy compound catabolic process,M1,1,0
1,-2,GO:0097191,extrinsic apoptotic signaling pathway,M1,1,0
1,-3.4,GO:0008584,male gonad development,M1,1,0
1,-2.2,GO:0051701,biological process involved in interaction with host,M1,1,0
1,-4.7,GO:0072210,metanephric nephron development,M1,1,0
1,-6.2,GO:0006882,intracellular zinc ion homeostasis,M1,1,0
1,-3.4,GO:0048565,digestive tract development,M1,1,0
1,-3.2,GO:0007369,gastrulation,M1,1,0
1,-3,GO:0016331,morphogenesis of embryonic epithelium,M1,1,0
1,-9.4,GO:0009636,response to toxic substance,M1,1,0
1,-4.1,GO:1990849,vacuolar localization,M1,1,0
1,-7,GO:0006897,endocytosis,M1,1,0
1,-3.4,GO:0001934,positive regulation of protein phosphorylation,M1,1,0
1,-8.3,GO:0031175,neuron projection development,M1,1,0
1,-12,GO:1901615,organic hydroxy compound metabolic process,M1,1,0
1,-5.3,GO:0007018,microtubule-based movement,M1,1,0
1,-2.5,GO:0017158,regulation of calcium ion-dependent exocytosis,M1,1,0
1,-4.3,GO:0070372,regulation of ERK1 and ERK2 cascade,M1,1,0
1,-4.5,GO:0055082,intracellular chemical homeostasis,M1,1,0
1,-3,GO:0060412,ventricular septum morphogenesis,M1,1,0
1,-6.8,GO:0042063,gliogenesis,M1,1,0
1,-3.3,GO:0051345,positive regulation of hydrolase activity,M1,1,0
1,-2.3,GO:0046839,phospholipid dephosphorylation,M1,1,0
1,-2.1,GO:0010866,regulation of triglyceride biosynthetic process,M1,1,0
1,-4.1,GO:0048753,pigment granule organization,M1,1,0
1,-3.7,GO:0046661,male sex differentiation,M1,1,0
1,-4,GO:0099111,microtubule-based transport,M1,1,0
1,-3.1,GO:0045229,external encapsulating structure organization,M1,1,0
1,-2.6,GO:0001649,osteoblast differentiation,M1,1,0
1,-2.2,GO:0051216,cartilage development,M1,1,0
1,-4.5,GO:0045669,positive regulation of osteoblast differentiation,M1,1,0
1,-2.9,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-2,GO:0002861,regulation of inflammatory response to antigenic stimulus,M1,1,0
1,-3.7,GO:1903531,negative regulation of secretion by cell,M1,1,0
1,-3.6,GO:0031401,positive regulation of protein modification process,M1,1,0
1,-2.8,GO:0048736,appendage development,M1,1,0
1,-3.5,GO:1905906,regulation of amyloid fibril formation,M1,1,0
1,-2.2,GO:0007610,behavior,M1,1,0
1,-2.2,GO:0030501,positive regulation of bone mineralization,M1,1,0
1,-3.8,GO:0006720,isoprenoid metabolic process,M1,1,0
1,-2,GO:0045860,positive regulation of protein kinase activity,M1,1,0
1,-5.8,GO:0030258,lipid modification,M1,1,0
1,-2.2,GO:0032689,negative regulation of type II interferon production,M1,1,0
1,-2.3,GO:0051224,negative regulation of protein transport,M1,1,0
1,-4.8,GO:0050678,regulation of epithelial cell proliferation,M1,1,0
1,-3.9,GO:0002253,activation of immune response,M1,1,0
1,-2.3,GO:0000165,MAPK cascade,M1,1,0
1,-5.8,GO:0050865,regulation of cell activation,M1,1,0
1,-2.1,GO:0046718,viral entry into host cell,M1,1,0
1,-5.2,GO:0022604,regulation of cell morphogenesis,M1,1,0
1,-7.7,GO:0009063,amino acid catabolic process,M1,1,0
1,-2.9,GO:0045137,development of primary sexual characteristics,M1,1,0
1,-2.6,GO:0035188,hatching,M1,1,0
1,-2.6,GO:0003279,cardiac septum development,M1,1,0
1,-3.6,GO:0035592,establishment of protein localization to extracellular region,M1,1,0
1,-3,GO:0032102,negative regulation of response to external stimulus,M1,1,0
