Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0008152 metabolic process,-15,3.6,10,30293,463,953,53,5.6,0.74,240|445|834|1109|1595|1717|1718|2023|2628|2746|2747|2752|2950|3028|3155|3157|3422|3638|3992|3995|4047|4598|4860|5092|5831|5947|5950|6307|6309|6576|6720|7108|8309|8644|8912|9104|9200|9415|10170|10449|23205|23743|26227|50814|51478|55256|63826|65263|79966|84532|92126|113189|171546,ALOX5|ASS1|CASP1|AKR1C4|CYP51A1|DHCR7|DHCR24|ENO1|GATM|GLUD1|GLUD2|GLUL|GSTP1|HSD17B10|HMGCL|HMGCS1|IDI1|INSIG1|FADS1|FADS3|LSS|MVK|PNP|PCBD1|PYCR1|RBP1|RBP4|MSMO1|SC5D|SLC25A1|SREBF1|TM7SF2|ACOX2|AKR1C3|CACNA1H|RGN|HACD1|FADS2|DHRS9|ACAA2|ACSBG1|BHMT2|PHGDH|NSDHL|HSD17B7|ADI1|SRR|PYCR3|SCD5|ACSS1|DSEL|CHST14|SPTSSA,-11
MyList,GO Biological Processes,19,GO:0016126,sterol biosynthetic process,19_GO:0008152 metabolic process,-14,12,13,30293,44,953,17,1.8,0.43,1595|1717|1718|3157|3422|3638|4047|4598|6307|6309|6720|7108|9023|10449|50814|51478|51706,CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LSS|MVK|MSMO1|SC5D|SREBF1|TM7SF2|CH25H|ACAA2|NSDHL|HSD17B7|CYB5R1,-10
MyList,GO Biological Processes,19,GO:0006066,alcohol metabolic process,19_GO:0008152 metabolic process,-13,4,9.8,30293,326,953,41,4.3,0.66,217|348|1050|1109|1595|1645|1717|1718|1910|3157|3418|3422|3638|3949|4047|4598|5092|5950|6307|6309|6609|6720|7108|7436|8574|8613|8630|8644|8912|9023|10170|10449|10577|10901|22845|27233|50814|51478|57171|84532|171546,ALDH2|APOE|CEBPA|AKR1C4|CYP51A1|AKR1C1|DHCR7|DHCR24|EDNRB|HMGCS1|IDH2|IDI1|INSIG1|LDLR|LSS|MVK|PCBD1|RBP4|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|AKR7A2|PLPP3|HSD17B6|AKR1C3|CACNA1H|CH25H|DHRS9|ACAA2|NPC2|DHRS4|DOLK|SULT1C4|NSDHL|HSD17B7|DOLPP1|ACSS1|SPTSSA,-9.6
MyList,GO Biological Processes,19,GO:0008202,steroid metabolic process,19_GO:0008152 metabolic process,-13,4.4,10,30293,258,953,36,3.8,0.62,30|348|1050|1109|1595|1645|1717|1718|1910|3028|3157|3422|3638|3949|4047|4598|5156|6307|6309|6609|6720|7108|7436|8309|8630|8644|8912|9023|10170|10449|10577|10901|25976|50814|51478|51706,ACAA1|APOE|CEBPA|AKR1C4|CYP51A1|AKR1C1|DHCR7|DHCR24|EDNRB|HSD17B10|HMGCS1|IDI1|INSIG1|LDLR|LSS|MVK|PDGFRA|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|ACOX2|HSD17B6|AKR1C3|CACNA1H|CH25H|DHRS9|ACAA2|NPC2|DHRS4|TIPARP|NSDHL|HSD17B7|CYB5R1,-9.5
MyList,GO Biological Processes,19,GO:1902653,secondary alcohol biosynthetic process,19_GO:0008152 metabolic process,-13,13,13,30293,37,953,15,1.6,0.4,1595|1717|1718|3157|3422|3638|4047|4598|6307|6309|6720|7108|10449|50814|51478,CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LSS|MVK|MSMO1|SC5D|SREBF1|TM7SF2|ACAA2|NSDHL|HSD17B7,-9.5
MyList,GO Biological Processes,19,GO:0006695,cholesterol biosynthetic process,19_GO:0008152 metabolic process,-13,13,13,30293,37,953,15,1.6,0.4,1595|1717|1718|3157|3422|3638|4047|4598|6307|6309|6720|7108|10449|50814|51478,CYP51A1|DHCR7|DHCR24|HMGCS1|IDI1|INSIG1|LSS|MVK|MSMO1|SC5D|SREBF1|TM7SF2|ACAA2|NSDHL|HSD17B7,-9.5
MyList,GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0008152 metabolic process,-13,3.8,9.5,30293,352,953,42,4.4,0.66,30|33|217|594|1757|1891|2023|2109|2110|2184|2639|2746|2747|2752|3028|3067|3155|3176|3712|4329|4860|7263|8309|8630|8644|10247|10449|10455|22875|23576|26275|27233|51071|51084|55577|55862|56898|84706|84750|130589|137872|197257,ACAA1|ACADL|ALDH2|BCKDHB|SARDH|ECH1|ENO1|ETFB|ETFDH|FAH|GCDH|GLUD1|GLUD2|GLUL|HSD17B10|HDC|HMGCL|HNMT|IVD|ALDH6A1|PNP|TST|ACOX2|HSD17B6|AKR1C3|RIDA|ACAA2|ECI2|ENPP4|DDAH1|HIBCH|SULT1C4|DERA|CRYL1|NAGK|ECHDC1|BDH2|GPT2|FUT10|GALM|ADHFE1|LDHD,-9.5
MyList,GO Biological Processes,19,GO:1901615,organic hydroxy compound metabolic process,19_GO:0008152 metabolic process,-12,3.2,8.9,30293,482,953,49,5.1,0.72,30|217|348|1050|1109|1595|1645|1717|1718|1910|2184|3028|3067|3157|3418|3422|3638|3949|4047|4129|4598|5092|5950|6307|6309|6609|6720|7108|7436|8309|8574|8613|8630|8644|8912|9023|10170|10449|10577|10901|22845|27233|50814|51478|51706|57171|84532|171546|197257,ACAA1|ALDH2|APOE|CEBPA|AKR1C4|CYP51A1|AKR1C1|DHCR7|DHCR24|EDNRB|FAH|HSD17B10|HDC|HMGCS1|IDH2|IDI1|INSIG1|LDLR|LSS|MAOB|MVK|PCBD1|RBP4|MSMO1|SC5D|SMPD1|SREBF1|TM7SF2|VLDLR|ACOX2|AKR7A2|PLPP3|HSD17B6|AKR1C3|CACNA1H|CH25H|DHRS9|ACAA2|NPC2|DHRS4|DOLK|SULT1C4|NSDHL|HSD17B7|CYB5R1|DOLPP1|ACSS1|SPTSSA|LDHD,-8.9
MyList,GO Biological Processes,19,GO:0008610,lipid biosynthetic process,19_GO:0008152 metabolic process,-12,2.9,8.6,30293,594,953,55,5.8,0.76,240|1109|1595|1717|1718|2171|2639|2950|3028|3155|3157|3422|3638|3992|3995|4047|4598|5293|5947|6307|6309|6576|6609|6720|7108|8309|8613|8630|8644|8897|8912|9023|9200|9415|10170|10449|10715|11145|22845|23205|23683|50814|51478|51706|54947|57153|57171|79966|80339|84002|84532|129642|171546|221395|253558,ALOX5|AKR1C4|CYP51A1|DHCR7|DHCR24|FABP5|GCDH|GSTP1|HSD17B10|HMGCL|HMGCS1|IDI1|INSIG1|FADS1|FADS3|LSS|MVK|PIK3CD|RBP1|MSMO1|SC5D|SLC25A1|SMPD1|SREBF1|TM7SF2|ACOX2|PLPP3|HSD17B6|AKR1C3|MTMR3|CACNA1H|CH25H|HACD1|FADS2|DHRS9|ACAA2|CERS1|PLAAT3|DOLK|ACSBG1|PRKD3|NSDHL|HSD17B7|CYB5R1|LPCAT2|SLC44A2|DOLPP1|SCD5|PNPLA3|B3GNT5|ACSS1|MBOAT2|SPTSSA|ADGRF5|LCLAT1,-8.7
MyList,GO Biological Processes,19,GO:0006694,steroid biosynthetic process,19_GO:0008152 metabolic process,-12,6.4,10,30293,115,953,23,2.4,0.5,1109|1595|1717|1718|3028|3157|3422|3638|4047|4598|6307|6309|6720|7108|8309|8630|8644|8912|9023|10449|50814|51478|51706,AKR1C4|CYP51A1|DHCR7|DHCR24|HSD17B10|HMGCS1|IDI1|INSIG1|LSS|MVK|MSMO1|SC5D|SREBF1|TM7SF2|ACOX2|HSD17B6|AKR1C3|CACNA1H|CH25H|ACAA2|NSDHL|HSD17B7|CYB5R1,-8.7
