Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
9263,3.0,1,1,1
223,3.0,1,1,1
3418,3.0,1,1,1
4134,3.0,1,1,1
1462,3.0,1,1,1
7439,3.0,1,1,1
71,3.0,1,1,1
64081,3.0,1,1,1
6444,3.0,1,1,1
10100,3.0,1,1,1
2752,3.0,1,1,1
84750,3.0,1,1,1
55577,3.0,1,1,1
4935,3.0,1,1,1
55256,3.0,1,1,1
26001,3.0,1,1,1
3176,3.0,1,1,1
5831,3.0,1,1,1
6993,3.0,1,1,1
8613,3.0,1,1,1
66000,3.0,1,1,1
187,3.0,1,1,1
5987,3.0,1,1,1
81848,3.0,1,1,1
26508,3.0,1,1,1
3949,3.0,1,1,1
25976,3.0,1,1,1
4598,3.0,1,1,1
2512,3.0,1,1,1
5786,3.0,1,1,1
5950,3.0,1,1,1
89846,3.0,1,1,1
6299,3.0,1,1,1
10160,3.0,1,1,1
4129,3.0,1,1,1
7098,3.0,1,1,1
5803,3.0,1,1,1
51760,3.0,1,1,1
9734,3.0,1,1,1
865,3.0,1,1,1
5080,3.0,1,1,1
29887,3.0,1,1,1
92196,3.0,1,1,1
115209,3.0,1,1,1
57537,3.0,1,1,1
4489,3.0,1,1,1
3821,3.0,1,1,1
8673,3.0,1,1,1
4047,3.0,1,1,1
25911,3.0,1,1,1
84062,3.0,1,1,1
8682,3.0,1,1,1
8912,3.0,1,1,1
54541,3.0,1,1,1
221074,3.0,1,1,1
284021,3.0,1,1,1
6422,3.0,1,1,1
590,3.0,1,1,1
64221,3.0,1,1,1
55907,3.0,1,1,1
4502,3.0,1,1,1
28965,3.0,1,1,1
79443,3.0,1,1,1
3987,3.0,1,1,1
6609,3.0,1,1,1
10758,3.0,1,1,1
26471,3.0,1,1,1
11006,3.0,1,1,1
55612,3.0,1,1,1
2742,3.0,1,1,1
117583,3.0,1,1,1
8897,3.0,1,1,1
6480,3.0,1,1,1
3109,3.0,1,1,1
64359,3.0,1,1,1
121665,3.0,1,1,1
6814,3.0,1,1,1
8644,3.0,1,1,1
23673,3.0,1,1,1
22919,3.0,1,1,1
834,3.0,1,1,1
